Taxonomy	Species_name
Amoebozoa-Evosea	Dictyostelium discoideum
Amoebozoa-Evosea	Physarum polycephalum
Amoebozoa-Evosea	Protostelium aurantium
Amoebozoa-Evosea	Entamoeba histolytica
Amoebozoa-Discosea	Acanthamoeba castellanii
Amoebozoa-Discosea	Vermamoeba vermiformis
Obazoa-Apusomonadida	Thecamonas trahens
Obazoa-Holomycota-Nucleariida	Fonticula alba
Obazoa-Holomycota-Microsporidia	Encephalitozoon cuniculi
Obazoa-Holomycota-Chytridiomycota	Batrachochytrium dendrobatidis
Obazoa-Holomycota-Mucoromycota	Rhizopus delemar
Obazoa-Holomycota-Glomeromycota	Rhizophagus irregularis
Obazoa-Holomycota-Ascomycota	Saccharomyces cerevisiae
Obazoa-Holomycota-Ascomycota	Schizosaccharomyces pombe
Obazoa-Holomycota-Ascomycota	Neurospora crassa
Obazoa-Holomycota-Basidiomycota	Ustilago maydis
Obazoa-Holozoa-Ichthyosporea	Sphaeroforma arctica
Obazoa-Holozoa-Filasterea	Capsaspora owczarzaki
Obazoa-Holozoa-Choanoflagellatea	Monosiga brevicollis
Obazoa-Holozoa-Choanoflagellatea	Salpingoeca rosetta
Obazoa-Holozoa-Metazoa	Amphimedon queenslandica
Obazoa-Holozoa-Metazoa	Bolinopsis microptera
Obazoa-Holozoa-Metazoa	Homo sapiens
Obazoa-Holozoa-Metazoa-Echinodermata	Strongylocentrotus purpuratus
Obazoa-Holozoa-Metazoa-Hemichordata	Saccoglossus kowalevskii
Obazoa-Holozoa-Metazoa-Chordata-Cephalochordata	Branchiostoma floridae
Obazoa-Holozoa-Metazoa-Chordata-Tunicata	Ciona intestinalis
Obazoa-Holozoa-Metazoa-Chordata-Tunicata	Oikopleura dioica
Obazoa-Holozoa-Metazoa-Chordata-Cyclostomata	Petromyzon marinus
Obazoa-Holozoa-Metazoa-Chordata-Chondrichthyes	Callorhinchus milii
Obazoa-Holozoa-Metazoa-Chordata-Sarcopterygii	Latimeria chalumnae
Obazoa-Holozoa-Metazoa-Porifera	Ephydatia muelleri
Obazoa-Holozoa-Metazoa-Ctenophora	Mnemiopsis leidyi
Obazoa-Holozoa-Metazoa-Cnidaria	Hydra vulgaris
Obazoa-Holozoa-Metazoa-Cnidaria	Acropora millepora
Obazoa-Holozoa-Metazoa-Xenacoelomorpha	Hofstenia miamia
Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Tardigrada	Hypsibius exemplaris
Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Tardigrada	Ramazzottius varieornatus
Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Onychophora	Euperipatoides rowelli
Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Nematomorpha	Gordius aquaticus
Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Kinorhyncha	Echinoderes dujardini
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Rotifera	Brachionus calyciflorus
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Rotifera	Adineta vaga
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Bryozoa	Watersipora subatra
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Phoronida	Phoronis australis
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Chaetognatha	Spadella cephaloptera
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Gastrotricha	Lepidodermella squamata
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Annelida	Capitella teleta
Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Nematoda	Caenorhabditis elegans
Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Arthropoda-Myriapoda	Strigamia maritima
Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Arthropoda-Chelicerata	Limulus polyphemus
Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Arthropoda-Crustacea	Daphnia pulex
Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Arthropoda-Insecta	Apis mellifera
Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Arthropoda-Insecta	Bombyx mori
Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Arthropoda-Chelicerata	Ixodes scapularis
Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Nematoda	Brugia malayi
Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Priapulida	Priapulus caudatus
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Annelida	Helobdella robusta
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Brachiopoda	Lingula anatina
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Nemertea	Lineus longissimus
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Platyhelminthes	Schistosoma mansoni
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Mollusca-Gastropoda	Lottia gigantea
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Mollusca-Gastropoda	Biomphalaria glabrata
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Mollusca-Gastropoda	Pomacea canaliculata
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Mollusca-Bivalvia	Magallana gigas
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Mollusca-Cephalopoda	Octopus bimaculoides
Obazoa-Holozoa-Metazoa	Trichoplax adhaerens
Obazoa-Holozoa-Metazoa	Nematostella vectensis
Discoba-Heterolobosea	Naegleria gruberi
Discoba-Euglenozoa	Trypanosoma brucei
Discoba-Euglenozoa	Leishmania major
Discoba-Euglenozoa	Leptomonas pyrrhocoris
SAR-Stramenopila	Phaeodactylum tricornutum
SAR-Stramenopila	Thalassiosira pseudonana
SAR-Stramenopila	Phytophthora infestans
SAR-Alveolata	Tetrahymena thermophila
SAR-Alveolata	Paramecium tetraurelia
SAR-Alveolata	Plasmodium falciparum
SAR-Alveolata	Toxoplasma gondii
SAR-Rhizaria	Bigelowiella natans
SAR-Rhizaria	Plasmodiophora brassicae
Archaeplastida-Rhodophyta	Cyanidioschyzon merolae
Archaeplastida-Rhodophyta	Chondrus crispus
Archaeplastida-Chlorophyta	Chlamydomonas reinhardtii
Archaeplastida-Chlorophyta	Ostreococcus tauri
Archaeplastida-Chlorophyta	Micromonas commoda
Archaeplastida-Bryophyta	Marchantia polymorpha
Archaeplastida-Bryophyta	Physcomitrium patens
Archaeplastida-Angiosperm	Amborella trichopoda
Archaeplastida-Angiosperm	Oryza sativa
Archaeplastida-Angiosperm	Arabidopsis thaliana
Cryptista	Guillardia theta
Haptophyta-Haptista	Emiliania huxleyi
Metamonada	Giardia duodenalis
Metamonada	Trichomonas vaginalis
Metamonada	Spironucleus salmonicida
Metamonada	Monocercomonoides exilis
SAR-Stramenopila	Saprolegnia parasitica
SAR-Stramenopila	Aureococcus anophagefferens
SAR-Stramenopila	Blastocystis hominis
SAR-Alveolata	Perkinsus marinus
SAR-Rhizaria	Reticulomyxa filosa
Archaeplastida-Rhodophyta	Galdieria sulphuraria
Archaeplastida-Chlorophyta	Volvox carteri
Archaeplastida-Chlorophyta	Chlorella variabilis
Archaeplastida-Lycophyta	Selaginella moellendorffii
Archaeplastida-Angiosperm	Nymphaea colorata
Archaeplastida-Angiosperm	Vitis vinifera
