species	taxid	in_refseq_protein	total	NP_	XP_	WP_	YP_	OTHER	XP_ratio
Bacteria	2	YES	69064	0	0	69064	0	0	0.0000
Azorhizobium	6	YES	1762	0	0	1762	0	0	0.0000
Azorhizobium caulinodans	7	YES	10748	0	0	10748	0	0	0.0000
Buchnera aphidicola	9	YES	52072	0	0	52072	0	0	0.0000
Cellvibrio	10	YES	2386	0	0	2386	0	0	0.0000
Cellulomonas gilvus	11	YES	2695	0	0	2695	0	0	0.0000
Dictyoglomus	13	YES	2469	0	0	2469	0	0	0.0000
Dictyoglomus thermophilum	14	YES	3730	0	0	3730	0	0	0.0000
Methylophilus	16	YES	2461	0	0	2461	0	0	0.0000
Methylophilus methylotrophus	17	YES	4275	0	0	4275	0	0	0.0000
Syntrophotalea carbinolica	19	YES	3156	0	0	3156	0	0	0.0000
Phenylobacterium	20	YES	5008	0	0	5008	0	0	0.0000
Phenylobacterium immobile	21	YES	3145	0	0	3145	0	0	0.0000
Shewanella	22	YES	172753	0	0	172753	0	0	0.0000
Shewanella colwelliana	23	YES	17992	0	0	17992	0	0	0.0000
Shewanella putrefaciens	24	YES	17761	0	0	17761	0	0	0.0000
Shewanella hanedai	25	YES	5011	0	0	5011	0	0	0.0000
Myxococcaceae	31	YES	6347	0	0	6347	0	0	0.0000
Myxococcus	32	YES	43366	0	0	43366	0	0	0.0000
Myxococcus fulvus	33	YES	26569	0	0	26569	0	0	0.0000
Myxococcus xanthus	34	YES	45141	0	0	45141	0	0	0.0000
Corallococcus macrosporus	35	YES	19788	0	0	19788	0	0	0.0000
Archangiaceae	39	YES	88	0	0	88	0	0	0.0000
Allostigmatella	40	YES	913	0	0	913	0	0	0.0000
Allostigmatella aurantiaca	41	YES	15631	0	0	15631	0	0	0.0000
Cystobacter	42	YES	132	0	0	132	0	0	0.0000
Cystobacter fuscus	43	YES	38093	0	0	38093	0	0	0.0000
Melittangium	44	YES	733	0	0	733	0	0	0.0000
Archangium	47	YES	2553	0	0	2553	0	0	0.0000
Archangium gephyra	48	YES	28182	0	0	28182	0	0	0.0000
Polyangiaceae	49	YES	7	0	0	7	0	0	0.0000
Chondromyces	50	YES	8	0	0	8	0	0	0.0000
Chondromyces apiculatus	51	YES	8539	0	0	8539	0	0	0.0000
Chondromyces crocatus	52	YES	8131	0	0	8131	0	0	0.0000
Nannocystis	53	YES	1098	0	0	1098	0	0	0.0000
Nannocystis exedens	54	YES	9859	0	0	9859	0	0	0.0000
Polyangium	55	YES	1415	0	0	1415	0	0	0.0000
Sorangium cellulosum	56	YES	48385	0	0	48385	0	0	0.0000
Vitreoscilla	59	YES	1360	0	0	1360	0	0	0.0000
Vitreoscilla stercoraria	61	YES	1174	0	0	1174	0	0	0.0000
Vitreoscilla filiformis	63	YES	3295	0	0	3295	0	0	0.0000
Herpetosiphon	64	YES	971	0	0	971	0	0	0.0000
Lysobacter	68	YES	16982	0	0	16982	0	0	0.0000
Lysobacter enzymogenes	69	YES	42344	0	0	42344	0	0	0.0000
Simonsiella muelleri	72	YES	6806	0	0	6806	0	0	0.0000
Caulobacter	75	YES	9819	0	0	9819	0	0	0.0000
Caulobacter sp.	78	YES	22075	0	0	22075	0	0	0.0000
