Taxonomy	requested_species	selected_taxon	taxid	in_refseq_protein	total	NP_	XP_	WP_	YP_	OTHER	XP_ratio
Amoebozoa-Evosea	Dictyostelium discoideum	Dictyostelium discoideum AX4	352472	YES	13266	0	13266	0	0	0	1.0000
Amoebozoa-Evosea	Physarum polycephalum	Badhamia polycephala	5791	YES	20	20	0	0	0	0	0.0000
Amoebozoa-Evosea	Protostelium aurantium	NA	NA	NO	0	0	0	0	0	0	NA
Amoebozoa-Evosea	Entamoeba histolytica	Entamoeba histolytica HM-1:IMSS	294381	YES	8151	0	8151	0	0	0	1.0000
Amoebozoa-Discosea	Acanthamoeba castellanii	Acanthamoeba castellanii str. Neff	1257118	YES	14969	0	14969	0	0	0	1.0000
Amoebozoa-Discosea	Vermamoeba vermiformis	Vermamoeba vermiformis	5778	YES	46	0	0	0	46	0	0.0000
Obazoa-Apusomonadida	Thecamonas trahens	Thecamonas trahens ATCC 50062	461836	YES	10598	0	10598	0	0	0	1.0000
Obazoa-Holomycota-Nucleariida	Fonticula alba	Fonticula alba	691883	YES	6309	0	6309	0	0	0	1.0000
Obazoa-Holomycota-Microsporidia	Encephalitozoon cuniculi	Encephalitozoon cuniculi GB-M1	284813	YES	2122	2122	0	0	0	0	0.0000
Obazoa-Holomycota-Chytridiomycota	Batrachochytrium dendrobatidis	Batrachochytrium dendrobatidis JAM81	684364	YES	8386	0	8386	0	0	0	1.0000
Obazoa-Holomycota-Mucoromycota	Rhizopus delemar	Rhizopus delemar RA 99-880	246409	YES	17459	0	17459	0	0	0	1.0000
Obazoa-Holomycota-Glomeromycota	Rhizophagus irregularis	Rhizophagus irregularis	588596	YES	31183	0	31153	0	30	0	0.9990
Obazoa-Holomycota-Ascomycota	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C	559292	YES	6021	6021	0	0	0	0	0.0000
Obazoa-Holomycota-Ascomycota	Schizosaccharomyces pombe	Schizosaccharomyces pombe	4896	YES	5134	5123	0	0	11	0	0.0000
Obazoa-Holomycota-Ascomycota	Neurospora crassa	Neurospora crassa OR74A	367110	YES	10812	0	10784	0	28	0	0.9974
Obazoa-Holomycota-Basidiomycota	Ustilago maydis	Mycosarcoma maydis	5270	YES	6806	0	6780	0	26	0	0.9962
Obazoa-Holozoa-Ichthyosporea	Sphaeroforma arctica	Sphaeroforma arctica JP610	667725	YES	18730	0	18730	0	0	0	1.0000
Obazoa-Holozoa-Filasterea	Capsaspora owczarzaki	Capsaspora owczarzaki ATCC 30864	595528	YES	8792	0	8792	0	0	0	1.0000
Obazoa-Holozoa-Choanoflagellatea	Monosiga brevicollis	Monosiga brevicollis MX1	431895	YES	9170	0	9170	0	0	0	1.0000
Obazoa-Holozoa-Choanoflagellatea	Salpingoeca rosetta	Salpingoeca rosetta	946362	YES	11725	0	11725	0	0	0	1.0000
Obazoa-Holozoa-Metazoa	Amphimedon queenslandica	Amphimedon queenslandica	400682	YES	23523	46	23464	0	13	0	0.9975
Obazoa-Holozoa-Metazoa	Bolinopsis microptera	Bolinopsis microptera	2820187	YES	21734	0	21734	0	0	0	1.0000
Obazoa-Holozoa-Metazoa	Homo sapiens	Homo sapiens	9606	YES	197865	70913	126939	0	13	0	0.6415
Obazoa-Holozoa-Metazoa-Echinodermata	Strongylocentrotus purpuratus	Strongylocentrotus purpuratus	7668	YES	38469	441	38028	0	0	0	0.9885
Obazoa-Holozoa-Metazoa-Hemichordata	Saccoglossus kowalevskii	Saccoglossus kowalevskii	10224	YES	23497	474	23010	0	13	0	0.9793
Obazoa-Holozoa-Metazoa-Chordata-Cephalochordata	Branchiostoma floridae	Branchiostoma floridae	7739	YES	43041	13	43028	0	0	0	0.9997
