qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_029826437.2	NP_001317647.1	0	N/A	48.148	513	34	1.30e-148	474	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_047272384.1	0	N/A	55.841	428	29	2.15e-144	467	terminal uridylyltransferase 4 isoform X46 [Homo sapiens]	TRUE	Tut4
XP_029826437.2	XP_005252265.1	0	N/A	53.409	440	30	7.60e-144	478	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_016870620.1	0	N/A	52.902	448	30	5.67e-142	475	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_016870619.1	0	N/A	52.902	448	30	5.67e-142	475	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	NP_078893.2	0	N/A	52.902	448	30	5.67e-142	475	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	NP_001171988.1	0	N/A	52.902	448	30	5.67e-142	475	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_047279825.1	0	N/A	52.902	448	30	6.54e-142	475	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_047279824.1	0	N/A	52.902	448	30	6.54e-142	475	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_005252264.1	0	N/A	52.902	448	30	6.54e-142	475	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_047279823.1	0	N/A	52.902	448	30	6.84e-142	476	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_006717346.1	0	N/A	52.902	448	30	6.84e-142	476	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_011517318.1	0	N/A	52.902	448	30	1.19e-141	474	terminal uridylyltransferase 7 isoform X5 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_011517317.1	0	N/A	52.902	448	30	1.66e-141	475	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_011517316.1	0	N/A	52.902	448	30	2.43e-141	474	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_011517315.1	0	N/A	52.902	448	30	2.43e-141	474	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_011517314.1	0	N/A	52.902	448	30	2.43e-141	474	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_011517313.1	0	N/A	52.902	448	30	2.43e-141	474	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_029826437.2	XP_005270739.1	0	N/A	55.841	428	29	2.79e-140	471	terminal uridylyltransferase 4 isoform X33 [Homo sapiens]	TRUE	Tut4
XP_029826437.2	XP_016856299.1	0	N/A	56.103	426	29	4.05e-140	471	terminal uridylyltransferase 4 isoform X40 [Homo sapiens]	TRUE	Tut4
XP_029826437.2	XP_047272365.1	0	N/A	55.972	427	29	4.06e-140	471	terminal uridylyltransferase 4 isoform X38 [Homo sapiens]	TRUE	Tut4
XP_029826437.2	XP_016856297.1	0	N/A	56.103	426	29	4.47e-140	471	terminal uridylyltransferase 4 isoform X36 [Homo sapiens]	TRUE	Tut4
XP_029826437.2	XP_047272345.1	0	N/A	56.103	426	29	5.65e-140	471	terminal uridylyltransferase 4 isoform X31 [Homo sapiens]	TRUE	Tut4
XP_029826437.2	XP_047272285.1	0	N/A	55.972	427	29	5.72e-140	472	terminal uridylyltransferase 4 isoform X7 [Homo sapiens]	TRUE	Tut4
XP_029826437.2	XP_011539401.1	0	N/A	55.841	428	29	6.92e-140	471	terminal uridylyltransferase 4 isoform X29 [Homo sapiens]	TRUE	Tut4
