qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_046449361.1	NP_001317647.1	0	N/A	44.125	417	31	2.18e-115	382	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_046449361.1	XP_047272384.1	0	N/A	47.330	412	30	1.03e-113	381	terminal uridylyltransferase 4 isoform X46 [Homo sapiens]	TRUE	Tut4
XP_046449361.1	XP_016856297.1	0	N/A	47.330	412	30	3.99e-111	386	terminal uridylyltransferase 4 isoform X36 [Homo sapiens]	TRUE	Tut4
XP_046449361.1	XP_005270739.1	0	N/A	47.330	412	30	4.27e-111	386	terminal uridylyltransferase 4 isoform X33 [Homo sapiens]	TRUE	Tut4
XP_046449361.1	XP_016856299.1	0	N/A	47.330	412	30	5.59e-111	385	terminal uridylyltransferase 4 isoform X40 [Homo sapiens]	TRUE	Tut4
XP_046449361.1	XP_047272365.1	0	N/A	47.330	412	30	6.39e-111	385	terminal uridylyltransferase 4 isoform X38 [Homo sapiens]	TRUE	Tut4
XP_046449361.1	XP_011539401.1	0	N/A	47.330	412	30	6.40e-111	386	terminal uridylyltransferase 4 isoform X29 [Homo sapiens]	TRUE	Tut4
XP_046449361.1	XP_005252265.1	0	N/A	43.662	426	32	6.79e-111	384	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
XP_046449361.1	XP_047272345.1	0	N/A	47.330	412	30	7.27e-111	385	terminal uridylyltransferase 4 isoform X31 [Homo sapiens]	TRUE	Tut4
XP_046449361.1	XP_047272288.1	0	N/A	47.330	412	30	7.94e-111	386	terminal uridylyltransferase 4 isoform X10 [Homo sapiens]	TRUE	Tut4
XP_046449361.1	XP_047272285.1	0	N/A	47.330	412	30	8.01e-111	386	terminal uridylyltransferase 4 isoform X7 [Homo sapiens]	TRUE	Tut4
XP_046449361.1	XP_016856293.1	0	N/A	47.330	412	30	8.64e-111	386	terminal uridylyltransferase 4 isoform X16 [Homo sapiens]	TRUE	Tut4
