qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_004987785.1	XP_016870620.1	0	N/A	34.529	223	80	1.99e-36	139	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	XP_016870619.1	0	N/A	34.529	223	80	1.99e-36	139	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	NP_078893.2	0	N/A	34.529	223	80	1.99e-36	139	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	NP_001171988.1	0	N/A	34.529	223	80	1.99e-36	139	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	NP_001172003.1	0	N/A	34.529	223	80	2.15e-36	139	terminal uridylyltransferase 7 isoform 2 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	XP_047279825.1	0	N/A	34.529	223	80	2.17e-36	139	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	XP_047279824.1	0	N/A	34.529	223	80	2.17e-36	139	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	XP_005252264.1	0	N/A	34.529	223	80	2.17e-36	139	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	XP_011517318.1	0	N/A	34.667	225	80	2.21e-36	139	terminal uridylyltransferase 7 isoform X5 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	XP_047279823.1	0	N/A	34.529	223	80	2.29e-36	139	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	XP_006717346.1	0	N/A	34.529	223	80	2.29e-36	139	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	XP_005252265.1	0	N/A	34.529	223	80	2.29e-36	139	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	NP_001317647.1	0	N/A	34.667	225	80	2.36e-36	139	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	XP_011517317.1	0	N/A	34.667	225	80	2.64e-36	139	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	XP_011517316.1	0	N/A	34.529	223	80	2.88e-36	139	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	XP_011517315.1	0	N/A	34.529	223	80	2.88e-36	139	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	XP_011517314.1	0	N/A	34.529	223	80	2.88e-36	139	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	XP_011517313.1	0	N/A	34.529	223	80	2.88e-36	139	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_004987785.1	XP_016856297.1	0	N/A	34.821	224	80	7.01e-36	138	terminal uridylyltransferase 4 isoform X36 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272290.1	0	N/A	34.821	224	80	7.20e-36	138	terminal uridylyltransferase 4 isoform X11 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_005270739.1	0	N/A	34.821	224	80	7.36e-36	138	terminal uridylyltransferase 4 isoform X33 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272286.1	0	N/A	34.821	224	80	7.70e-36	138	terminal uridylyltransferase 4 isoform X8 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272285.1	0	N/A	34.821	224	80	7.70e-36	138	terminal uridylyltransferase 4 isoform X7 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272280.1	0	N/A	34.821	224	80	7.72e-36	138	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_005270736.1	0	N/A	34.821	224	80	7.72e-36	138	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272345.1	0	N/A	34.821	224	80	7.73e-36	138	terminal uridylyltransferase 4 isoform X31 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_016856295.1	0	N/A	34.821	224	80	7.89e-36	138	terminal uridylyltransferase 4 isoform X25 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_011539401.1	0	N/A	34.821	224	80	7.95e-36	138	terminal uridylyltransferase 4 isoform X29 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_005270735.1	0	N/A	34.821	224	80	8.18e-36	138	terminal uridylyltransferase 4 isoform X2 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272372.1	0	N/A	34.821	224	80	8.30e-36	137	terminal uridylyltransferase 4 isoform X42 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_011539399.1	0	N/A	34.821	224	80	8.34e-36	138	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_005270733.1	0	N/A	34.821	224	80	8.34e-36	138	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272325.1	0	N/A	34.821	224	80	8.36e-36	137	terminal uridylyltransferase 4 isoform X23 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272344.1	0	N/A	34.821	224	80	8.67e-36	137	terminal uridylyltransferase 4 isoform X30 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_016856292.1	0	N/A	34.821	224	80	8.98e-36	137	terminal uridylyltransferase 4 isoform X9 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_016856299.1	0	N/A	34.821	224	80	8.99e-36	137	terminal uridylyltransferase 4 isoform X40 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272365.1	0	N/A	34.821	224	80	9.16e-36	137	terminal uridylyltransferase 4 isoform X38 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272296.1	0	N/A	34.821	224	80	9.50e-36	137	terminal uridylyltransferase 4 isoform X13 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272295.1	0	N/A	34.821	224	80	9.60e-36	137	terminal uridylyltransferase 4 isoform X12 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272305.1	0	N/A	34.821	224	80	1.03e-35	137	terminal uridylyltransferase 4 isoform X17 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272350.1	0	N/A	34.821	224	80	1.03e-35	137	terminal uridylyltransferase 4 isoform X34 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272337.1	0	N/A	34.821	224	80	1.07e-35	137	terminal uridylyltransferase 4 isoform X27 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_016856296.1	0	N/A	34.821	224	80	1.10e-35	137	terminal uridylyltransferase 4 isoform X28 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_016856293.1	0	N/A	34.821	224	80	1.11e-35	137	terminal uridylyltransferase 4 isoform X16 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272281.1	0	N/A	34.821	224	80	1.12e-35	137	terminal uridylyltransferase 4 isoform X4 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	NP_001009881.1	0	N/A	34.821	224	80	1.12e-35	137	terminal uridylyltransferase 4 isoform a [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272282.1	0	N/A	34.821	224	80	1.13e-35	137	terminal uridylyltransferase 4 isoform X5 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	NP_056084.1	0	N/A	34.821	224	80	1.13e-35	137	terminal uridylyltransferase 4 isoform b [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272283.1	0	N/A	34.821	224	80	1.15e-35	137	terminal uridylyltransferase 4 isoform X6 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_005270737.1	0	N/A	34.821	224	80	1.15e-35	137	terminal uridylyltransferase 4 isoform X6 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272288.1	0	N/A	34.821	224	80	1.17e-35	137	terminal uridylyltransferase 4 isoform X10 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272384.1	0	N/A	34.821	224	80	1.51e-35	137	terminal uridylyltransferase 4 isoform X46 [Homo sapiens]	TRUE	Tut4
XP_004987785.1	XP_047272820.1	0	N/A	33.005	203	74	2.75e-30	116	poly(A) RNA polymerase GLD2 isoform X11 [Homo sapiens]	TRUE	TENT2
XP_004987785.1	NP_001336477.1	0	N/A	34.574	188	68	6.36e-30	115	poly(A) RNA polymerase GLD2 isoform 4 [Homo sapiens]	TRUE	TENT2
XP_004987785.1	NP_001375065.1	0	N/A	34.392	189	68	7.12e-29	114	poly(A) RNA polymerase GLD2 isoform 14 [Homo sapiens]	TRUE	TENT2
XP_004987785.1	NP_001375027.1	0	N/A	33.005	203	74	7.49e-29	116	poly(A) RNA polymerase GLD2 isoform 7 [Homo sapiens]	TRUE	TENT2
XP_004987785.1	XP_047272805.1	0	N/A	32.843	204	74	8.09e-29	116	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
XP_004987785.1	XP_047272804.1	0	N/A	32.843	204	74	8.09e-29	116	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
XP_004987785.1	XP_047272803.1	0	N/A	32.843	204	74	8.09e-29	116	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
XP_004987785.1	XP_047272802.1	0	N/A	32.843	204	74	8.09e-29	116	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
