qseqid	saccver	pident	length	qcovs	evalue	bitscore	stitle	source_file	organism	filepath
TENT5A_Homo_sapiens	XP_070567423.1	63.089	382	85	1.55e-161	461	terminal nucleotidyltransferase 5A-like [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
TENT5A_Homo_sapiens	XP_070535315.1	27.941	68	15	2.5	31.2	uncharacterized protein [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
TENT5B_Homo_sapiens	XP_070567423.1	56.430	381	88	1.00e-143	416	terminal nucleotidyltransferase 5A-like [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
TENT5B_Homo_sapiens	XP_070579983.1	26.667	210	44	5.1	30.4	uncharacterized protein [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
TENT5B_Homo_sapiens	XP_070545407.1	33.333	45	11	8.8	29.6	outer mitochondrial transmembrane helix translocase-like [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
TENT5B_Homo_sapiens	XP_070554747.1	27.586	58	14	9.6	29.6	beta-1,4 N-acetylgalactosaminyltransferase 2-like [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_070567423.1	58.690	397	100	2.27e-158	451	terminal nucleotidyltransferase 5A-like [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_070537657.1	46.154	26	7	5.0	28.9	uncharacterized protein [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_070553624.1	19.388	98	20	8.6	29.6	uncharacterized protein [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_070554596.1	31.707	41	10	8.8	29.3	2-Hydroxyacid oxidase 1-like [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
TENT5D_Homo_sapiens	XP_070567423.1	58.683	334	86	4.08e-140	405	terminal nucleotidyltransferase 5A-like [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
