qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_011452105.3	NP_001035375.2	0	N/A	65.323	372	53	7.58e-165	489	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
XP_011452105.3	XP_011521578.1	0	N/A	65.323	372	53	7.82e-165	489	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
XP_011452105.3	XP_047290432.1	0	N/A	65.323	372	53	1.05e-164	489	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
XP_011452105.3	NP_001035374.2	0	N/A	65.323	372	53	1.18e-164	491	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
XP_011452105.3	NP_001352252.1	0	N/A	65.323	372	53	1.18e-164	491	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
XP_011452105.3	XP_011521577.1	0	N/A	65.323	372	53	1.21e-164	491	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
XP_011452105.3	XP_047290431.1	0	N/A	65.323	372	53	2.56e-164	489	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
XP_011452105.3	NP_001352253.1	0	N/A	65.323	372	53	3.80e-164	490	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
XP_011452105.3	NP_008930.2	0	N/A	55.963	436	63	1.72e-162	488	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
XP_011452105.3	NP_001165276.2	0	N/A	55.963	436	63	1.90e-162	488	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
XP_011452105.3	XP_047290433.1	0	N/A	70.607	313	46	3.80e-157	464	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
XP_011452105.3	XP_011521580.1	0	N/A	70.607	313	46	5.97e-157	465	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
XP_011452105.3	XP_047272622.1	0	N/A	59.053	359	53	1.28e-146	439	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_011452105.3	XP_047272621.1	0	N/A	59.053	359	53	1.28e-146	439	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_011452105.3	XP_047272620.1	0	N/A	59.053	359	53	1.28e-146	439	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_011452105.3	XP_047272623.1	0	N/A	58.857	350	52	1.82e-142	428	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_011452105.3	XP_016864477.1	0	N/A	58.857	350	52	1.82e-142	428	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_011452105.3	XP_047272624.1	0	N/A	58.857	350	52	2.21e-142	428	terminal nucleotidyltransferase 4A isoform X3 [Homo sapiens]	TRUE	TENT4A
XP_011452105.3	XP_047272811.1	0	N/A	22.150	307	40	8.79e-11	67.4	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_011452105.3	XP_047272810.1	0	N/A	22.150	307	40	8.79e-11	67.4	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_011452105.3	XP_047272809.1	0	N/A	22.150	307	40	8.79e-11	67.4	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_011452105.3	NP_001375058.1	0	N/A	22.150	307	40	8.79e-11	67.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_011452105.3	NP_001375057.1	0	N/A	22.150	307	40	8.79e-11	67.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_011452105.3	NP_001375056.1	0	N/A	22.150	307	40	8.79e-11	67.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_011452105.3	NP_001375055.1	0	N/A	22.150	307	40	8.79e-11	67.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_011452105.3	NP_001375054.1	0	N/A	22.150	307	40	8.79e-11	67.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_011452105.3	NP_001375053.1	0	N/A	22.150	307	40	8.79e-11	67.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_011452105.3	NP_001375052.1	0	N/A	22.150	307	40	8.79e-11	67.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_011452105.3	NP_001375051.1	0	N/A	22.150	307	40	8.79e-11	67.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
