UCE_ID	Total_Species_Count	Deep_Species_Count	Shallow_Species_Count	Median_Identity
uce-544	70	59	11	84.7
uce-4738	54	43	11	84.8
uce-1216	54	43	11	83.25
uce-9496	50	39	11	84.35
uce-9064	43	32	11	85.2
uce-1360	63	53	10	84.4
uce-2217	50	40	10	84.85
uce-8463	33	23	10	83.7
uce-9071	55	46	9	84.2
uce-9089	49	40	9	83.3
uce-3828	40	32	8	83.6
uce-1808	38	30	8	83.8
uce-2263	35	27	8	84.4
uce-1516	34	27	7	83.3
uce-9144	25	18	7	83.1
uce-3634	16	9	7	84.05
uce-6173	11	4	7	83
uce-8437	35	29	6	83
uce-364	30	24	6	84.1
uce-3588	23	17	6	82.5
uce-7351	22	16	6	83.7
uce-7020	19	13	6	82.9
uce-2041	15	9	6	83.1
uce-2366	9	3	6	83.3
uce-3521	50	45	5	84
uce-1593	29	24	5	83.7
uce-4984	25	20	5	84.2
uce-3040	21	16	5	84
uce-2811	19	14	5	84.7
uce-2664	19	14	5	82.9
uce-8703	18	13	5	82.9
uce-3194	17	12	5	83.3
uce-1949	15	10	5	82.7
uce-9220	14	9	5	83
uce-8359	13	8	5	82.9
uce-1103	12	7	5	82.75
uce-9477	9	4	5	83.6
uce-1295	8	3	5	82.65
uce-3408	45	41	4	83.7
uce-8499	31	27	4	84.5
uce-4587	30	26	4	84
uce-2382	27	23	4	82.9
uce-1720	26	22	4	84
uce-984	17	13	4	83.3
uce-5026	17	13	4	84.2
uce-7048	16	12	4	83.3
uce-3788	13	9	4	83.8
uce-1621	13	9	4	82.8
uce-6045	12	8	4	83.25
uce-9280	12	8	4	83
uce-6353	12	8	4	83.6
uce-1106	12	8	4	82.5
uce-8482	11	7	4	83.7
uce-5137	11	7	4	83.5
uce-2657	7	3	4	84.3
uce-5363	6	2	4	82.85
uce-1278	5	1	4	83.3
uce-6149	4	0	4	82.8
uce-7312	4	0	4	84.8
uce-2209	28	25	3	85.7
uce-6141	23	20	3	83.2
uce-6986	22	19	3	84.05
uce-2296	19	16	3	82.5
uce-8674	19	16	3	83.2
uce-7605	15	12	3	83.3
uce-8368	14	11	3	82.55
uce-9038	11	8	3	82.1
uce-4742	11	8	3	82.7
uce-8704	10	7	3	83.05
uce-7887	10	7	3	82.9
uce-643	8	5	3	83.15
uce-7807	6	3	3	82.4
uce-8028	5	2	3	82.2
uce-7062	5	2	3	82.8
uce-1215	4	1	3	83.75
uce-1459	4	1	3	84.85
uce-6533	4	1	3	82.45
uce-5942	3	0	3	83.2
uce-5724	35	33	2	82.8
uce-5391	19	17	2	83.8
uce-7262	19	17	2	82.7
uce-3683	18	16	2	83.3
uce-1045	17	15	2	82.2
uce-1943	11	9	2	82.5
uce-2971	10	8	2	82.5
uce-6381	10	8	2	83.3
uce-2034	10	8	2	83
uce-1709	9	7	2	82.4
uce-4241	9	7	2	83.3
uce-6557	7	5	2	84.5
uce-3926	7	5	2	82.9
uce-8008	6	4	2	83.4
uce-5716	5	3	2	83
uce-4551	5	3	2	83.7
uce-2424	4	2	2	82.6
uce-3410	4	2	2	83.1
uce-7376	3	1	2	83.5
uce-3099	2	0	2	84.15
uce-1497	2	0	2	85.4
uce-1154	19	18	1	82.4
uce-5038	17	16	1	83.5
uce-314	17	16	1	83.5
uce-3726	16	15	1	82.95
uce-6818	11	10	1	82.6
uce-8494	8	7	1	82.25
uce-3281	7	6	1	82.8
uce-365	7	6	1	83.5
uce-3387	7	6	1	82.8
uce-1797	6	5	1	84.9
uce-3622	6	5	1	83.2
uce-6555	5	4	1	84.6
uce-9016	5	4	1	83.2
uce-9010	5	4	1	83.6
uce-4041	5	4	1	82.9
uce-2156	5	4	1	82.9
uce-4340	5	4	1	82.7
uce-2850	5	4	1	82.9
uce-6414	5	4	1	82.7
uce-2144	5	4	1	83.3
uce-1160	4	3	1	82.3
uce-5144	4	3	1	84.05
uce-6351	4	3	1	83.1
uce-590	4	3	1	83.3
uce-2969	4	3	1	83.35
uce-3417	4	3	1	84.45
uce-5409	4	3	1	82.4
uce-7512	3	2	1	83.5
uce-5152	3	2	1	83.5
uce-8362	3	2	1	82
uce-3474	2	1	1	82.75
uce-1584	2	1	1	82.7
uce-9325	2	1	1	82.9
uce-2470	2	1	1	82.75
uce-2868	2	1	1	84.75
uce-2394	1	0	1	83.9
uce-7877	1	0	1	83.2
uce-6196	1	0	1	84.8
uce-2089	1	0	1	82.2
uce-7009	1	0	1	82.8
uce-9048	1	0	1	83.8
uce-2119	1	0	1	82.4
uce-6826	1	0	1	83.3
uce-4082	1	0	1	82.5
uce-363	1	0	1	83.2
uce-6981	1	0	1	82.5
uce-7565	1	0	1	82.1
uce-8546	1	0	1	83.5
uce-4491	1	0	1	82.5
uce-6014	1	0	1	83.3
uce-5072	1	0	1	83
uce-7697	1	0	1	86.3
uce-9372	1	0	1	83.2
uce-5612	1	0	1	82.1
uce-9118	1	0	1	86.4
uce-5208	1	0	1	83.9
uce-2262	1	0	1	85.6
uce-3694	1	0	1	84.3
uce-8987	22	22	0	82.9
uce-228	18	18	0	83.5
uce-4878	16	16	0	83.15
uce-1250	16	16	0	85.1
uce-5412	16	16	0	85.6
uce-7396	13	13	0	83
uce-3692	12	12	0	83.2
uce-3272	11	11	0	82.7
uce-6954	11	11	0	83.6
uce-1859	10	10	0	83.3
uce-1953	9	9	0	83.7
uce-7231	8	8	0	82.4
uce-6415	8	8	0	83.6
uce-3843	7	7	0	83.5
uce-5342	7	7	0	82
uce-1571	6	6	0	82.5
uce-6823	6	6	0	82.85
uce-3487	5	5	0	82.8
uce-1962	5	5	0	83.3
uce-3255	5	5	0	83.3
uce-9358	5	5	0	82.3
uce-7746	5	5	0	82.5
uce-7448	5	5	0	82.5
uce-8091	5	5	0	82.3
uce-4710	5	5	0	83.8
uce-5972	4	4	0	82.65
