qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_001431836.1	XP_047290431.1	0	N/A	26.496	234	34	4.46e-14	78.2	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
XP_001431836.1	XP_047290433.1	0	N/A	27.064	218	31	5.17e-14	77.4	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
XP_001431836.1	XP_047290432.1	0	N/A	26.496	234	34	5.25e-14	78.2	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
XP_001431836.1	NP_001035375.2	0	N/A	26.923	234	34	5.66e-14	78.2	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
XP_001431836.1	XP_011521578.1	0	N/A	26.923	234	34	5.67e-14	78.2	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
XP_001431836.1	NP_001352253.1	0	N/A	26.496	234	34	6.12e-14	78.2	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
XP_001431836.1	XP_011521580.1	0	N/A	27.064	218	31	7.95e-14	77.0	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
XP_001431836.1	NP_001352252.1	0	N/A	26.496	234	34	7.96e-14	77.8	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
XP_001431836.1	NP_001035374.2	0	N/A	26.496	234	34	8.66e-14	77.4	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
XP_001431836.1	XP_011521577.1	0	N/A	26.496	234	34	8.67e-14	77.4	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
XP_001431836.1	XP_047272623.1	0	N/A	25.641	195	28	1.05e-12	73.6	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_001431836.1	XP_016864477.1	0	N/A	25.641	195	28	1.05e-12	73.6	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_001431836.1	XP_047272624.1	0	N/A	25.641	195	28	1.08e-12	73.6	terminal nucleotidyltransferase 4A isoform X3 [Homo sapiens]	TRUE	TENT4A
XP_001431836.1	XP_047272622.1	0	N/A	25.641	195	28	1.11e-12	73.6	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_001431836.1	XP_047272621.1	0	N/A	25.641	195	28	1.11e-12	73.6	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_001431836.1	XP_047272620.1	0	N/A	25.641	195	28	1.11e-12	73.6	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_001431836.1	NP_008930.2	0	N/A	25.248	202	29	3.08e-12	72.8	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
XP_001431836.1	NP_001165276.2	0	N/A	25.248	202	29	3.19e-12	72.4	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
XP_001431836.1	NP_001341184.1	0	N/A	26.238	202	28	6.98e-08	58.9	ankyrin-2 isoform 24 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341183.1	0	N/A	26.238	202	28	6.98e-08	58.9	ankyrin-2 isoform 23 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373090.1	0	N/A	26.238	202	28	7.10e-08	58.9	ankyrin-2 isoform 25 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341185.1	0	N/A	26.238	202	28	7.10e-08	58.9	ankyrin-2 isoform 25 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341191.1	0	N/A	26.238	202	28	7.14e-08	58.9	ankyrin-2 isoform 30 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341203.1	0	N/A	26.238	202	28	7.17e-08	58.9	ankyrin-2 isoform 41 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341172.1	0	N/A	26.238	202	28	7.36e-08	58.9	ankyrin-2 isoform 16 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373091.1	0	N/A	26.238	202	28	7.41e-08	58.9	ankyrin-2 isoform 43 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341205.1	0	N/A	26.238	202	28	7.41e-08	58.9	ankyrin-2 isoform 43 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341204.1	0	N/A	26.238	202	28	7.55e-08	58.9	ankyrin-2 isoform 42 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373072.1	0	N/A	26.238	202	28	7.59e-08	58.9	ankyrin-2 isoform 51 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001120965.1	0	N/A	26.238	202	28	7.61e-08	58.9	ankyrin-2 isoform 3 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341173.1	0	N/A	26.238	202	28	7.62e-08	58.9	ankyrin-2 isoform 17 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341181.1	0	N/A	26.238	202	28	7.74e-08	58.9	ankyrin-2 isoform 21 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341168.1	0	N/A	26.238	202	28	7.82e-08	58.5	ankyrin-2 isoform 12 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341190.1	0	N/A	26.238	202	28	7.91e-08	58.5	ankyrin-2 isoform 29 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373082.1	0	N/A	26.238	202	28	8.03e-08	58.5	ankyrin-2 isoform 60 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373081.1	0	N/A	26.238	202	28	8.04e-08	58.5	ankyrin-2 isoform 59 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341196.1	0	N/A	26.238	202	28	8.04e-08	58.5	ankyrin-2 isoform 33 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341195.1	0	N/A	26.238	202	28	8.04e-08	58.5	ankyrin-2 isoform 33 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373078.1	0	N/A	26.238	202	28	8.28e-08	58.5	ankyrin-2 isoform 56 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341178.1	0	N/A	26.238	202	28	8.29e-08	58.5	ankyrin-2 isoform 20 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341193.1	0	N/A	26.238	202	28	8.32e-08	58.5	ankyrin-2 isoform 31 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341154.1	0	N/A	26.238	202	28	8.47e-08	58.5	ankyrin-2 isoform 4 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373079.1	0	N/A	26.238	202	28	8.47e-08	58.5	ankyrin-2 isoform 57 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373083.1	0	N/A	26.238	202	28	8.52e-08	58.5	ankyrin-2 isoform 61 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373115.1	0	N/A	26.238	202	28	8.54e-08	58.5	ankyrin-2 isoform 69 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341201.1	0	N/A	26.238	202	28	8.65e-08	58.5	ankyrin-2 isoform 39 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341160.1	0	N/A	26.238	202	28	8.68e-08	58.5	ankyrin-2 isoform 7 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373077.1	0	N/A	26.238	202	28	8.72e-08	58.5	ankyrin-2 isoform 55 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341170.1	0	N/A	26.238	202	28	8.73e-08	58.5	ankyrin-2 isoform 14 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373075.1	0	N/A	26.238	202	28	8.73e-08	58.5	ankyrin-2 isoform 53 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_066187.2	0	N/A	26.238	202	28	8.87e-08	58.5	ankyrin-2 isoform 2 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373076.1	0	N/A	26.238	202	28	8.87e-08	58.5	ankyrin-2 isoform 54 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373073.1	0	N/A	26.238	202	28	8.90e-08	58.5	ankyrin-2 isoform 52 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373116.1	0	N/A	26.238	202	28	8.92e-08	58.5	ankyrin-2 isoform 70 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341175.1	0	N/A	26.238	202	28	8.95e-08	58.5	ankyrin-2 isoform 19 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341194.1	0	N/A	26.238	202	28	8.98e-08	58.5	ankyrin-2 isoform 32 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341169.1	0	N/A	26.203	187	26	9.19e-08	58.5	ankyrin-2 isoform 13 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341164.1	0	N/A	26.238	202	28	9.20e-08	58.5	ankyrin-2 isoform 9 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373089.1	0	N/A	26.238	202	28	9.34e-08	58.5	ankyrin-2 isoform 71 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341171.1	0	N/A	26.203	187	26	9.35e-08	58.5	ankyrin-2 isoform 15 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341166.1	0	N/A	26.203	187	26	9.43e-08	58.5	ankyrin-2 isoform 11 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341161.1	0	N/A	26.238	202	28	9.44e-08	58.5	ankyrin-2 isoform 8 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341165.1	0	N/A	26.238	202	28	1.00e-07	58.5	ankyrin-2 isoform 10 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341187.1	0	N/A	26.238	202	28	1.05e-07	58.2	ankyrin-2 isoform 27 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341159.1	0	N/A	26.203	187	26	1.06e-07	58.2	ankyrin-2 isoform 6 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341157.1	0	N/A	26.238	202	28	1.16e-07	58.2	ankyrin-2 isoform 5 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341206.1	0	N/A	28.108	185	25	1.31e-07	58.2	ankyrin-2 isoform 44 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341198.1	0	N/A	28.108	185	25	1.43e-07	57.8	ankyrin-2 isoform 36 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001373086.1	0	N/A	28.108	185	25	1.55e-07	57.8	ankyrin-2 isoform 63 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341202.1	0	N/A	28.108	185	25	1.61e-07	57.8	ankyrin-2 isoform 40 [Homo sapiens]	FALSE	NA
XP_001431836.1	NP_001341200.1	0	N/A	25.143	175	24	6.79e-07	55.8	ankyrin-2 isoform 38 [Homo sapiens]	FALSE	NA
