NP_001006550.1	NP_853551.1	0.0	614	83.149	362	100	replication factor C subunit 4 [Homo sapiens]
NP_001006903.1	NP_001309408.1	0.0	852	61.070	673	100	BLOC-3 complex member HPS1 isoform f [Homo sapiens]
NP_001007906.1	NP_002784.1	8.92e-151	421	84.810	237	100	proteasome subunit beta type-1 [Homo sapiens]
NP_001007973.1	NP_060179.2	0.0	723	89.258	391	100	terminal nucleotidyltransferase 5C [Homo sapiens]
NP_001017206.1	NP_060103.2	0.0	588	72.280	386	97	terminal nucleotidyltransferase 5A [Homo sapiens]
NP_001017346.1	NP_001713.2	6.33e-159	454	62.500	400	99	DNA-directed RNA polymerase III subunit RPC4 [Homo sapiens]
NP_001026256.1	NP_060103.2	0.0	750	93.557	388	97	terminal nucleotidyltransferase 5A [Homo sapiens]
NP_001123382.1	NP_665873.1	0.0	1266	89.894	663	99	frizzled-3 isoform 1 precursor [Homo sapiens]
NP_001135552.1	NP_056163.1	0.0	2513	71.698	1855	98	transmembrane protein 131 precursor [Homo sapiens]
NP_001136424.1	NP_060179.2	0.0	783	95.908	391	100	terminal nucleotidyltransferase 5C [Homo sapiens]
NP_001153850.1	NP_060103.2	0.0	847	93.665	442	96	terminal nucleotidyltransferase 5A [Homo sapiens]
NP_001153851.1	NP_060103.2	0.0	848	93.665	442	100	terminal nucleotidyltransferase 5A [Homo sapiens]
NP_001156576.1	NP_689843.1	0.0	625	77.121	389	99	terminal nucleotidyltransferase 5D [Homo sapiens]
NP_001164045.1	NP_689843.1	0.0	808	100.000	389	100	terminal nucleotidyltransferase 5D [Homo sapiens]
NP_001279528.1	NP_005678.3	0.0	1010	81.017	590	100	phenylalanine--tRNA ligase beta subunit [Homo sapiens]
NP_001404551.1	NP_005426.2	0.0	1804	64.378	1617	100	rho guanine nucleotide exchange factor 5 [Homo sapiens]
NP_060103.2	NP_060103.2	0.0	918	100.000	442	100	terminal nucleotidyltransferase 5A [Homo sapiens]
NP_060179.2	NP_060179.2	0.0	812	100.000	391	100	terminal nucleotidyltransferase 5C [Homo sapiens]
