qseqid	saccver	pident	length	qcovs	evalue	bitscore	stitle	source_file	organism	filepath
TENT5A_Homo_sapiens	XP_007903243.1	87.895	380	86	0	699	terminal nucleotidyltransferase 5A [Callorhinchus milii]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_TENT5A-B-C-D.txt
TENT5A_Homo_sapiens	XP_007894052.1	75.789	380	86	0	599	terminal nucleotidyltransferase 5C [Callorhinchus milii]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_TENT5A-B-C-D.txt
TENT5A_Homo_sapiens	XP_007890286.2	73.475	377	85	0	568	terminal nucleotidyltransferase 5C-like [Callorhinchus milii]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_TENT5A-B-C-D.txt
TENT5B_Homo_sapiens	XP_007903243.1	67.81	379	88	0	535	terminal nucleotidyltransferase 5A [Callorhinchus milii]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_007894052.1	81.432	377	96	0	640	terminal nucleotidyltransferase 5C [Callorhinchus milii]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_007903243.1	72.335	394	100	0	588	terminal nucleotidyltransferase 5A [Callorhinchus milii]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_007890286.2	71.582	373	95	0	558	terminal nucleotidyltransferase 5C-like [Callorhinchus milii]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_TENT5A-B-C-D.txt
TENT5D_Homo_sapiens	XP_007890286.2	66.927	384	99	0	532	terminal nucleotidyltransferase 5C-like [Callorhinchus milii]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_TENT5A-B-C-D.txt
TENT5A_Homo_sapiens	XP_067841022.1	88.158	380	86	0	698	terminal nucleotidyltransferase 5A [Heptranchias perlo]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_TENT5A-B-C-D.txt
TENT5A_Homo_sapiens	XP_067849052.1	76.053	380	86	0	598	terminal nucleotidyltransferase 5C [Heptranchias perlo]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_TENT5A-B-C-D.txt
TENT5A_Homo_sapiens	XP_067852738.1	74.394	371	84	0	570	terminal nucleotidyltransferase 5A-like [Heptranchias perlo]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_TENT5A-B-C-D.txt
TENT5B_Homo_sapiens	XP_067841022.1	67.546	379	88	0	530	terminal nucleotidyltransferase 5A [Heptranchias perlo]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_067849052.1	82.228	377	96	0	648	terminal nucleotidyltransferase 5C [Heptranchias perlo]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_067841022.1	72.335	394	100	0	592	terminal nucleotidyltransferase 5A [Heptranchias perlo]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_067852738.1	72.222	378	96	0	564	terminal nucleotidyltransferase 5A-like [Heptranchias perlo]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_TENT5A-B-C-D.txt
TENT5D_Homo_sapiens	XP_067852738.1	67.188	384	99	0	536	terminal nucleotidyltransferase 5A-like [Heptranchias perlo]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_TENT5A-B-C-D.txt
TENT5A_Homo_sapiens	XP_067882795.1	88.684	380	86	0	702	terminal nucleotidyltransferase 5A [Heterodontus francisci]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_TENT5A-B-C-D.txt
TENT5A_Homo_sapiens	XP_067896845.1	75.789	380	86	0	599	terminal nucleotidyltransferase 5C [Heterodontus francisci]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_TENT5A-B-C-D.txt
TENT5A_Homo_sapiens	XP_067904101.1	73.713	369	83	0	562	terminal nucleotidyltransferase 5C-like [Heterodontus francisci]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_TENT5A-B-C-D.txt
TENT5B_Homo_sapiens	XP_067882795.1	68.338	379	88	0	537	terminal nucleotidyltransferase 5A [Heterodontus francisci]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_067896845.1	82.228	377	96	0	648	terminal nucleotidyltransferase 5C [Heterodontus francisci]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_067882795.1	72.843	394	100	0	595	terminal nucleotidyltransferase 5A [Heterodontus francisci]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_067904101.1	72.105	380	97	0	561	terminal nucleotidyltransferase 5C-like [Heterodontus francisci]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_TENT5A-B-C-D.txt
TENT5D_Homo_sapiens	XP_067904101.1	66.927	384	99	0	534	terminal nucleotidyltransferase 5C-like [Heterodontus francisci]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_TENT5A-B-C-D.txt
TENT5A_Homo_sapiens	XP_055492050.1	86.579	380	86	0	685	terminal nucleotidyltransferase 5A [Leucoraja erinaceus]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Leucoraja_erinaceus	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Leucoraja_erinaceus/Chondrichthyes_TENT5A-B-C-D.txt
TENT5A_Homo_sapiens	XP_055500212.1	74.737	380	86	0	588	terminal nucleotidyltransferase 5C isoform X3 [Leucoraja erinaceus]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Leucoraja_erinaceus	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Leucoraja_erinaceus/Chondrichthyes_TENT5A-B-C-D.txt
TENT5A_Homo_sapiens	XP_055500211.1	74.737	380	86	0	588	terminal nucleotidyltransferase 5C isoform X2 [Leucoraja erinaceus]	Chondrichthyes_TENT5A-B-C-D.txt	Chondrichthyes_Leucoraja_erinaceus	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Chondrichthyes_Leucoraja_erinaceus/Chondrichthyes_TENT5A-B-C-D.txt
