qseqid	saccver	pident	length	qcovs	evalue	bitscore	stitle	source_file	organism	filepath
TENT5A_Homo_sapiens	XP_070567423.1	63.089	382	85	1.55e-161	461	terminal nucleotidyltransferase 5A-like [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
TENT5B_Homo_sapiens	XP_070567423.1	56.430	381	88	1.00e-143	416	terminal nucleotidyltransferase 5A-like [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_070567423.1	58.690	397	100	2.27e-158	451	terminal nucleotidyltransferase 5A-like [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
TENT5D_Homo_sapiens	XP_070567423.1	58.683	334	86	4.08e-140	405	terminal nucleotidyltransferase 5A-like [Ptychodera flava]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Ptychodera_flava	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Ptychodera_flava/Hemichordata_TENT5A-B-C-D.txt
TENT5A_Homo_sapiens	XP_006825326.1	61.697	389	85	8.55e-162	461	terminal nucleotidyltransferase 5A-like [Saccoglossus kowalevskii]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Saccoglossus_kowalevskii	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Saccoglossus_kowalevskii/Hemichordata_TENT5A-B-C-D.txt
TENT5B_Homo_sapiens	XP_006825326.1	52.926	393	88	1.08e-142	412	terminal nucleotidyltransferase 5A-like [Saccoglossus kowalevskii]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Saccoglossus_kowalevskii	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Saccoglossus_kowalevskii/Hemichordata_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_006825326.1	58.974	390	96	1.03e-156	446	terminal nucleotidyltransferase 5A-like [Saccoglossus kowalevskii]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Saccoglossus_kowalevskii	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Saccoglossus_kowalevskii/Hemichordata_TENT5A-B-C-D.txt
TENT5D_Homo_sapiens	XP_006825326.1	58.284	338	87	2.03e-141	407	terminal nucleotidyltransferase 5A-like [Saccoglossus kowalevskii]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Saccoglossus_kowalevskii	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Saccoglossus_kowalevskii/Hemichordata_TENT5A-B-C-D.txt
TENT5A_Homo_sapiens	XP_077976852.1	69.394	330	74	4.53e-159	454	terminal nucleotidyltransferase 5C-like [Glandiceps talaboti]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Glandiceps_talaboti	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Glandiceps_talaboti/Hemichordata_TENT5A-B-C-D.txt
TENT5B_Homo_sapiens	XP_077976852.1	60.479	334	79	1.56e-142	412	terminal nucleotidyltransferase 5C-like [Glandiceps talaboti]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Glandiceps_talaboti	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Glandiceps_talaboti/Hemichordata_TENT5A-B-C-D.txt
TENT5C_Homo_sapiens	XP_077976852.1	58.209	402	100	6.94e-157	447	terminal nucleotidyltransferase 5C-like [Glandiceps talaboti]	Hemichordata_TENT5A-B-C-D.txt	Hemichordata_Glandiceps_talaboti	/rna/liha/phylogenomics_practice/TENT/TENT5/Blast/Results/Hemichordata_Glandiceps_talaboti/Hemichordata_TENT5A-B-C-D.txt
