qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_013384287.1	XP_047272815.1	0	N/A	34.783	69	26	0.030	38.1	poly(A) RNA polymerase GLD2 isoform X7 [Homo sapiens]	TRUE	TENT2
XP_013384287.1	NP_001375064.1	0	N/A	34.783	69	26	0.030	38.1	poly(A) RNA polymerase GLD2 isoform 13 [Homo sapiens]	TRUE	TENT2
XP_013384287.1	NP_001375063.1	0	N/A	34.783	69	26	0.030	38.1	poly(A) RNA polymerase GLD2 isoform 13 [Homo sapiens]	TRUE	TENT2
XP_013384287.1	NP_001375065.1	0	N/A	34.783	69	26	0.030	38.1	poly(A) RNA polymerase GLD2 isoform 14 [Homo sapiens]	TRUE	TENT2
XP_013384287.1	NP_001375061.1	0	N/A	34.783	69	26	0.030	38.1	poly(A) RNA polymerase GLD2 isoform 12 [Homo sapiens]	TRUE	TENT2
XP_013384287.1	NP_001375060.1	0	N/A	34.783	69	26	0.031	38.1	poly(A) RNA polymerase GLD2 isoform 11 [Homo sapiens]	TRUE	TENT2
XP_013384287.1	XP_047272811.1	0	N/A	34.783	69	26	0.032	38.1	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_013384287.1	XP_047272810.1	0	N/A	34.783	69	26	0.032	38.1	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_013384287.1	XP_047272809.1	0	N/A	34.783	69	26	0.032	38.1	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_013384287.1	NP_001375058.1	0	N/A	34.783	69	26	0.032	38.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_013384287.1	NP_001375057.1	0	N/A	34.783	69	26	0.032	38.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_013384287.1	NP_001375056.1	0	N/A	34.783	69	26	0.032	38.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_013384287.1	NP_001375055.1	0	N/A	34.783	69	26	0.032	38.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_013384287.1	NP_001375054.1	0	N/A	34.783	69	26	0.032	38.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
