qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_002669192.1	NP_689596.4	0	N/A	28.007	557	25	1.93e-40	166	DIS3-like exonuclease 2 isoform 1 [Homo sapiens]	FALSE	NA
XP_002669192.1	NP_001310872.1	0	N/A	25.222	563	25	2.09e-32	139	DIS3-like exonuclease 1 isoform 4 [Homo sapiens]	FALSE	NA
XP_002669192.1	NP_001310869.1	0	N/A	25.222	563	25	2.09e-32	139	DIS3-like exonuclease 1 isoform 4 [Homo sapiens]	FALSE	NA
XP_002669192.1	NP_001310875.1	0	N/A	25.222	563	25	5.58e-32	139	DIS3-like exonuclease 1 isoform 3 [Homo sapiens]	FALSE	NA
XP_002669192.1	NP_001310870.1	0	N/A	25.222	563	25	5.58e-32	139	DIS3-like exonuclease 1 isoform 3 [Homo sapiens]	FALSE	NA
XP_002669192.1	NP_001310868.1	0	N/A	25.222	563	25	5.58e-32	139	DIS3-like exonuclease 1 isoform 3 [Homo sapiens]	FALSE	NA
XP_002669192.1	NP_001310867.1	0	N/A	25.222	563	25	5.58e-32	139	DIS3-like exonuclease 1 isoform 3 [Homo sapiens]	FALSE	NA
XP_002669192.1	NP_001310866.1	0	N/A	25.222	563	25	6.98e-32	139	DIS3-like exonuclease 1 isoform 5 [Homo sapiens]	FALSE	NA
XP_002669192.1	NP_001310877.1	0	N/A	25.222	563	25	8.08e-32	139	DIS3-like exonuclease 1 isoform 7 [Homo sapiens]	FALSE	NA
XP_002669192.1	NP_588616.1	0	N/A	25.222	563	25	8.30e-32	139	DIS3-like exonuclease 1 isoform 2 [Homo sapiens]	FALSE	NA
XP_002669192.1	NP_001310874.1	0	N/A	25.222	563	25	8.30e-32	139	DIS3-like exonuclease 1 isoform 2 [Homo sapiens]	FALSE	NA
XP_002669192.1	NP_001310865.1	0	N/A	25.222	563	25	8.30e-32	139	DIS3-like exonuclease 1 isoform 2 [Homo sapiens]	FALSE	NA
XP_002669192.1	NP_001310873.1	0	N/A	25.222	563	25	1.64e-31	137	DIS3-like exonuclease 1 isoform 6 [Homo sapiens]	FALSE	NA
XP_002669192.1	NP_001137160.1	0	N/A	25.222	563	25	1.80e-31	137	DIS3-like exonuclease 1 isoform 1 [Homo sapiens]	FALSE	NA
XP_002669192.1	XP_005254203.1	0	N/A	25.591	508	22	4.06e-27	123	DIS3-like exonuclease 1 isoform X1 [Homo sapiens]	FALSE	NA
XP_002669192.1	NP_001317647.1	0	N/A	27.456	397	17	2.33e-22	107	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_005252265.1	0	N/A	27.456	397	17	2.42e-22	108	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_047279825.1	0	N/A	27.456	397	17	4.30e-22	107	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_047279824.1	0	N/A	27.456	397	17	4.30e-22	107	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_005252264.1	0	N/A	27.456	397	17	4.30e-22	107	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_011517318.1	0	N/A	27.204	397	17	4.47e-22	107	terminal uridylyltransferase 7 isoform X5 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_011517316.1	0	N/A	27.318	399	17	4.47e-22	107	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_011517315.1	0	N/A	27.318	399	17	4.47e-22	107	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_011517314.1	0	N/A	27.318	399	17	4.47e-22	107	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_011517313.1	0	N/A	27.318	399	17	4.47e-22	107	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_047279823.1	0	N/A	27.204	397	17	4.77e-22	107	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_006717346.1	0	N/A	27.204	397	17	4.77e-22	107	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_016870620.1	0	N/A	27.204	397	17	5.08e-22	107	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_016870619.1	0	N/A	27.204	397	17	5.08e-22	107	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	NP_078893.2	0	N/A	27.204	397	17	5.08e-22	107	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	NP_001171988.1	0	N/A	27.204	397	17	5.08e-22	107	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_011517317.1	0	N/A	27.204	397	17	5.10e-22	107	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
XP_002669192.1	XP_016856292.1	0	N/A	26.648	364	16	2.01e-21	105	terminal uridylyltransferase 4 isoform X9 [Homo sapiens]	TRUE	Tut4
XP_002669192.1	XP_016856293.1	0	N/A	26.648	364	16	2.11e-21	105	terminal uridylyltransferase 4 isoform X16 [Homo sapiens]	TRUE	Tut4
XP_002669192.1	XP_047272285.1	0	N/A	26.648	364	16	2.34e-21	105	terminal uridylyltransferase 4 isoform X7 [Homo sapiens]	TRUE	Tut4
XP_002669192.1	XP_047272288.1	0	N/A	26.648	364	16	2.44e-21	105	terminal uridylyltransferase 4 isoform X10 [Homo sapiens]	TRUE	Tut4
XP_002669192.1	XP_005270735.1	0	N/A	26.648	364	16	2.56e-21	105	terminal uridylyltransferase 4 isoform X2 [Homo sapiens]	TRUE	Tut4
XP_002669192.1	XP_047272280.1	0	N/A	26.648	364	16	2.65e-21	105	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_002669192.1	XP_005270736.1	0	N/A	26.648	364	16	2.65e-21	105	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_002669192.1	XP_011539399.1	0	N/A	26.648	364	16	2.67e-21	105	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
XP_002669192.1	XP_005270733.1	0	N/A	26.648	364	16	2.67e-21	105	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
