qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_024362777.1	NP_001317647.1	0	N/A	26.977	215	33	1.45e-22	105	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_024362777.1	XP_047279825.1	0	N/A	26.977	215	33	2.02e-22	105	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_024362777.1	XP_047279824.1	0	N/A	26.977	215	33	2.02e-22	105	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_024362777.1	XP_005252264.1	0	N/A	26.977	215	33	2.02e-22	105	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_024362777.1	XP_011517316.1	0	N/A	26.977	215	33	2.06e-22	105	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_024362777.1	XP_011517315.1	0	N/A	26.977	215	33	2.06e-22	105	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_024362777.1	XP_011517314.1	0	N/A	26.977	215	33	2.06e-22	105	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_024362777.1	XP_011517313.1	0	N/A	26.977	215	33	2.06e-22	105	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_024362777.1	XP_011517317.1	0	N/A	26.977	215	33	2.28e-22	105	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
XP_024362777.1	XP_047279823.1	0	N/A	26.977	215	33	2.36e-22	105	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_024362777.1	XP_006717346.1	0	N/A	26.977	215	33	2.36e-22	105	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_024362777.1	XP_005252265.1	0	N/A	26.977	215	33	2.45e-22	105	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
XP_024362777.1	XP_016870620.1	0	N/A	26.977	215	33	2.50e-22	105	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_024362777.1	XP_016870619.1	0	N/A	26.977	215	33	2.50e-22	105	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_024362777.1	NP_078893.2	0	N/A	26.977	215	33	2.50e-22	105	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
