NP_003052.2	NP_001264265.2	83.409	1543	100	0.0	2598	slit homolog 1 protein precursor [Gallus gallus]
NP_003052.2	NP_001254004.2	66.600	1503	98	0.0	2087	slit homolog 2 protein precursor [Gallus gallus]
NP_003052.2	XP_060544944.1	65.826	1507	98	0.0	2048	slit homolog 2 protein isoform X3 [Pantherophis guttatus]
NP_003052.2	XP_060544942.1	64.908	1516	98	0.0	2016	slit homolog 2 protein isoform X2 [Pantherophis guttatus]
NP_003052.2	NP_001383050.1	58.974	1521	99	0.0	1868	slit homolog 3 protein precursor [Gallus gallus]
NP_003052.2	NXG07444.1	55.116	1466	98	0.0	1508	SLIT2 protein [Sakesphorus luctuosus]
NP_003052.2	NXG07444.1	65.170	1002	98	0.0	1317	SLIT2 protein [Sakesphorus luctuosus]
NP_003052.2	NXG07444.1	31.564	697	98	6.21e-103	361	SLIT2 protein [Sakesphorus luctuosus]
NP_003052.2	NXG07444.1	32.780	482	98	2.00e-69	258	SLIT2 protein [Sakesphorus luctuosus]
NP_003052.2	NXG07444.1	28.409	264	98	3.27e-23	108	SLIT2 protein [Sakesphorus luctuosus]
NP_003052.2	NXG07444.1	35.802	81	98	2.18e-05	50.1	SLIT2 protein [Sakesphorus luctuosus]
NP_003052.2	NXG07444.1	22.751	189	98	0.022	40.0	SLIT2 protein [Sakesphorus luctuosus]
NP_003052.2	NXP26988.1	56.511	1175	98	0.0	1385	SLIT3 protein [Scytalopus superciliaris]
NP_003052.2	NXP26988.1	32.137	585	98	1.61e-85	306	SLIT3 protein [Scytalopus superciliaris]
NP_003052.2	NXP26988.1	30.426	493	98	4.40e-68	252	SLIT3 protein [Scytalopus superciliaris]
NP_003052.2	AAK94290.1	84.417	738	93	0.0	1278	Slit1 protein, partial [Gallus gallus]
NP_003052.2	AAK94290.1	31.926	379	93	6.10e-54	203	Slit1 protein, partial [Gallus gallus]
NP_003052.2	AAK94290.1	33.425	362	93	8.89e-50	190	Slit1 protein, partial [Gallus gallus]
NP_003052.2	AAK94290.1	28.017	232	93	1.47e-18	92.4	Slit1 protein, partial [Gallus gallus]
NP_003052.2	AAK94290.1	36.283	113	93	1.03e-07	57.4	Slit1 protein, partial [Gallus gallus]
NP_003052.2	AAK94290.1	32.743	113	93	1.12e-05	50.8	Slit1 protein, partial [Gallus gallus]
NP_003052.2	AAK94290.1	29.600	125	93	3.85e-05	48.9	Slit1 protein, partial [Gallus gallus]
NP_003052.2	AAK94290.1	27.536	138	93	1.75e-04	46.6	Slit1 protein, partial [Gallus gallus]
NP_003052.2	AAK94290.1	27.957	93	93	0.001	43.9	Slit1 protein, partial [Gallus gallus]
NP_003052.2	AAK94291.1	60.549	948	98	0.0	1243	Slit2 protein, partial [Gallus gallus]
NP_003052.2	AAK94291.1	32.105	380	98	1.37e-56	214	Slit2 protein, partial [Gallus gallus]
NP_003052.2	AAK94291.1	31.967	366	98	4.33e-52	200	Slit2 protein, partial [Gallus gallus]
NP_003052.2	AAK94291.1	27.652	264	98	1.01e-24	112	Slit2 protein, partial [Gallus gallus]
NP_003052.2	AAK94291.1	26.374	91	98	0.028	39.7	Slit2 protein, partial [Gallus gallus]
NP_003052.2	AAL14447.1	64.487	780	93	0.0	1083	slit-2, partial [Gallus gallus]
NP_003052.2	AAL14447.1	31.429	420	93	2.83e-61	226	slit-2, partial [Gallus gallus]
NP_003052.2	AAL14447.1	32.995	394	93	1.06e-60	224	slit-2, partial [Gallus gallus]
NP_003052.2	AAL14447.1	28.409	264	93	6.44e-24	109	slit-2, partial [Gallus gallus]
NP_003052.2	AAL14447.1	35.922	103	93	1.90e-06	53.1	slit-2, partial [Gallus gallus]
NP_003052.2	AAL14447.1	27.778	126	93	6.49e-05	48.1	slit-2, partial [Gallus gallus]
NP_003052.2	AAL14447.1	27.848	79	93	0.070	38.1	slit-2, partial [Gallus gallus]
NP_003052.2	AAL14447.1	30.488	82	93	0.22	36.6	slit-2, partial [Gallus gallus]
NP_003052.2	AAL14447.1	28.440	109	93	0.24	36.6	slit-2, partial [Gallus gallus]
