qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_005837928.1	XP_047272820.1	0	N/A	32.110	218	89	6.22e-26	103	poly(A) RNA polymerase GLD2 isoform X11 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001336477.1	0	N/A	33.028	218	89	1.09e-25	103	poly(A) RNA polymerase GLD2 isoform 4 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001375065.1	0	N/A	33.028	218	89	6.26e-25	103	poly(A) RNA polymerase GLD2 isoform 14 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001375061.1	0	N/A	32.877	219	89	1.11e-24	103	poly(A) RNA polymerase GLD2 isoform 12 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001375059.1	0	N/A	32.877	219	89	1.19e-24	103	poly(A) RNA polymerase GLD2 isoform 10 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	XP_047272805.1	0	N/A	32.877	219	89	1.23e-24	103	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	XP_047272804.1	0	N/A	32.877	219	89	1.23e-24	103	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	XP_047272803.1	0	N/A	32.877	219	89	1.23e-24	103	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	XP_047272802.1	0	N/A	32.877	219	89	1.23e-24	103	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	XP_016864641.1	0	N/A	32.877	219	89	1.23e-24	103	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001375026.1	0	N/A	32.877	219	89	1.23e-24	103	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001375025.1	0	N/A	32.877	219	89	1.23e-24	103	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001375024.1	0	N/A	32.877	219	89	1.23e-24	103	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001336480.1	0	N/A	32.877	219	89	1.23e-24	103	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001375060.1	0	N/A	32.877	219	89	1.27e-24	103	poly(A) RNA polymerase GLD2 isoform 11 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	XP_047272811.1	0	N/A	32.877	219	89	1.27e-24	103	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	XP_047272810.1	0	N/A	32.877	219	89	1.27e-24	103	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	XP_047272809.1	0	N/A	32.877	219	89	1.27e-24	103	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001375058.1	0	N/A	32.877	219	89	1.27e-24	103	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001375057.1	0	N/A	32.877	219	89	1.27e-24	103	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001375056.1	0	N/A	32.877	219	89	1.27e-24	103	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001375055.1	0	N/A	32.877	219	89	1.27e-24	103	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001375054.1	0	N/A	32.877	219	89	1.27e-24	103	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_005837928.1	NP_001375053.1	0	N/A	32.877	219	89	1.27e-24	103	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
