qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_067526879.1	NP_001317647.1	0	N/A	35.857	251	39	2.26e-32	134	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_047279823.1	0	N/A	35.857	251	39	2.81e-32	135	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_006717346.1	0	N/A	35.857	251	39	2.81e-32	135	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_011517317.1	0	N/A	35.857	251	39	2.99e-32	135	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_047279825.1	0	N/A	35.857	251	39	3.06e-32	135	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_047279824.1	0	N/A	35.857	251	39	3.06e-32	135	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_005252264.1	0	N/A	35.857	251	39	3.06e-32	135	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_011517318.1	0	N/A	35.857	251	39	3.15e-32	134	terminal uridylyltransferase 7 isoform X5 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_016870620.1	0	N/A	35.857	251	39	3.16e-32	134	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_016870619.1	0	N/A	35.857	251	39	3.16e-32	134	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	NP_078893.2	0	N/A	35.857	251	39	3.16e-32	134	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	NP_001171988.1	0	N/A	35.857	251	39	3.16e-32	134	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_005252265.1	0	N/A	35.857	251	39	3.34e-32	134	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_011517316.1	0	N/A	35.857	251	39	3.70e-32	134	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_011517315.1	0	N/A	35.857	251	39	3.70e-32	134	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_011517314.1	0	N/A	35.857	251	39	3.70e-32	134	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_011517313.1	0	N/A	35.857	251	39	3.70e-32	134	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_067526879.1	XP_016856297.1	0	N/A	34.137	249	39	2.29e-29	126	terminal uridylyltransferase 4 isoform X36 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_005270739.1	0	N/A	34.137	249	39	2.31e-29	126	terminal uridylyltransferase 4 isoform X33 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_011539399.1	0	N/A	34.137	249	39	2.43e-29	126	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_005270733.1	0	N/A	34.137	249	39	2.43e-29	126	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_011539401.1	0	N/A	34.137	249	39	2.47e-29	125	terminal uridylyltransferase 4 isoform X29 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_047272280.1	0	N/A	34.137	249	39	2.47e-29	126	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_005270736.1	0	N/A	34.137	249	39	2.47e-29	126	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_005270735.1	0	N/A	34.137	249	39	2.52e-29	125	terminal uridylyltransferase 4 isoform X2 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_047272345.1	0	N/A	34.137	249	39	2.55e-29	125	terminal uridylyltransferase 4 isoform X31 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_047272285.1	0	N/A	34.137	249	39	2.57e-29	125	terminal uridylyltransferase 4 isoform X7 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_047272290.1	0	N/A	34.137	249	39	2.64e-29	125	terminal uridylyltransferase 4 isoform X11 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_016856292.1	0	N/A	34.137	249	39	2.69e-29	125	terminal uridylyltransferase 4 isoform X9 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_047272325.1	0	N/A	34.137	249	39	2.72e-29	125	terminal uridylyltransferase 4 isoform X23 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_047272286.1	0	N/A	34.137	249	39	2.77e-29	125	terminal uridylyltransferase 4 isoform X8 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_047272384.1	0	N/A	34.137	249	39	2.81e-29	125	terminal uridylyltransferase 4 isoform X46 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_047272365.1	0	N/A	34.137	249	39	2.86e-29	125	terminal uridylyltransferase 4 isoform X38 [Homo sapiens]	TRUE	Tut4
XP_067526879.1	XP_016856299.1	0	N/A	34.137	249	39	2.88e-29	125	terminal uridylyltransferase 4 isoform X40 [Homo sapiens]	TRUE	Tut4
