qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_026294736.1	NP_060579.3	0	N/A	22.845	464	67	9.62e-27	117	poly(A) RNA polymerase, mitochondrial precursor [Homo sapiens]	TRUE	mtPAP
XP_026294736.1	NP_001317647.1	0	N/A	26.420	352	52	1.10e-22	105	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	XP_005252265.1	0	N/A	26.420	352	52	1.17e-22	106	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	XP_011517318.1	0	N/A	26.420	352	52	1.29e-22	106	terminal uridylyltransferase 7 isoform X5 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	XP_011517317.1	0	N/A	26.420	352	52	1.41e-22	106	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	XP_047279825.1	0	N/A	26.420	352	52	1.49e-22	105	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	XP_047279824.1	0	N/A	26.420	352	52	1.49e-22	105	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	XP_005252264.1	0	N/A	26.420	352	52	1.49e-22	105	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	XP_016870620.1	0	N/A	26.420	352	52	1.56e-22	105	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	XP_016870619.1	0	N/A	26.420	352	52	1.56e-22	105	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	NP_078893.2	0	N/A	26.420	352	52	1.56e-22	105	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	NP_001171988.1	0	N/A	26.420	352	52	1.56e-22	105	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	XP_011517316.1	0	N/A	26.420	352	52	1.76e-22	105	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	XP_011517315.1	0	N/A	26.420	352	52	1.76e-22	105	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	XP_011517314.1	0	N/A	26.420	352	52	1.76e-22	105	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	XP_011517313.1	0	N/A	26.420	352	52	1.76e-22	105	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	XP_047279823.1	0	N/A	26.420	352	52	1.91e-22	105	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	XP_006717346.1	0	N/A	26.420	352	52	1.91e-22	105	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_026294736.1	NP_001375065.1	0	N/A	30.620	258	37	2.42e-22	101	poly(A) RNA polymerase GLD2 isoform 14 [Homo sapiens]	TRUE	TENT2
XP_026294736.1	NP_001375061.1	0	N/A	30.620	258	37	7.63e-22	101	poly(A) RNA polymerase GLD2 isoform 12 [Homo sapiens]	TRUE	TENT2
XP_026294736.1	XP_047272811.1	0	N/A	30.620	258	37	1.16e-21	101	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_026294736.1	XP_047272810.1	0	N/A	30.620	258	37	1.16e-21	101	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_026294736.1	XP_047272809.1	0	N/A	30.620	258	37	1.16e-21	101	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_026294736.1	NP_001375058.1	0	N/A	30.620	258	37	1.16e-21	101	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_026294736.1	NP_001375057.1	0	N/A	30.620	258	37	1.16e-21	101	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_026294736.1	NP_001375056.1	0	N/A	30.620	258	37	1.16e-21	101	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_026294736.1	NP_001375055.1	0	N/A	30.620	258	37	1.16e-21	101	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
