qseqid	saccver	pident	length	qcovs	evalue	bitscore	stitle	source_file	organism	filepath
sp|Q9NRR4|RNC_HUMAN	XP_019643612.1	67.369	996	82	0	1355	PREDICTED: ribonuclease 3-like [Branchiostoma belcheri]	Cephalochordata_DROSHA.txt	Cephalochordata_Branchiostoma_belcheri	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Cephalochordata_Branchiostoma_belcheri/Cephalochordata_DROSHA.txt
sp|Q9NRR4|RNC_HUMAN	XP_035683787.1	66.568	1014	83	0	1362	ribonuclease 3-like [Branchiostoma floridae]	Cephalochordata_DROSHA.txt	Cephalochordata_Branchiostoma_floridae	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Cephalochordata_Branchiostoma_floridae/Cephalochordata_DROSHA.txt
sp|Q9NRR4|RNC_HUMAN	XP_066294267.1	66.373	1020	84	0	1357	ribonuclease 3-like isoform X1 [Branchiostoma lanceolatum]	Cephalochordata_DROSHA.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_DROSHA.txt
sp|Q9NRR4|RNC_HUMAN	XP_066294268.1	66.535	1013	84	0	1355	ribonuclease 3-like isoform X2 [Branchiostoma lanceolatum]	Cephalochordata_DROSHA.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_DROSHA.txt
sp|Q9NRR4|RNC_HUMAN	XP_007893655.2	68.996	1474	99	0	1860	ribonuclease 3 [Callorhinchus milii]	Chondrichthyes_DROSHA.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_DROSHA.txt
sp|Q9NRR4|RNC_HUMAN	XP_067857978.1	71.768	1431	99	0	1845	ribonuclease 3 [Heptranchias perlo]	Chondrichthyes_DROSHA.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_DROSHA.txt
sp|Q9NRR4|RNC_HUMAN	XP_067909869.1	72.818	1409	99	0	1878	ribonuclease 3 isoform X1 [Heterodontus francisci]	Chondrichthyes_DROSHA.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_DROSHA.txt
sp|Q9NRR4|RNC_HUMAN	XP_067909879.1	72.676	1409	99	0	1870	ribonuclease 3 isoform X2 [Heterodontus francisci]	Chondrichthyes_DROSHA.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_DROSHA.txt
sp|Q9NRR4|RNC_HUMAN	XP_055514316.1	71.408	1420	99	0	1882	ribonuclease 3 [Leucoraja erinaceus]	Chondrichthyes_DROSHA.txt	Chondrichthyes_Leucoraja_erinaceus	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Chondrichthyes_Leucoraja_erinaceus/Chondrichthyes_DROSHA.txt
sp|Q9NRR4|RNC_HUMAN	XP_072139449.1	74.662	1330	95	0	1883	ribonuclease 3 isoform X1 [Mobula birostris]	Chondrichthyes_DROSHA.txt	Chondrichthyes_Mobula_birostris	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Chondrichthyes_Mobula_birostris/Chondrichthyes_DROSHA.txt
sp|Q9NRR4|RNC_HUMAN	XP_072139450.1	73.158	1330	95	0	1832	ribonuclease 3 isoform X2 [Mobula birostris]	Chondrichthyes_DROSHA.txt	Chondrichthyes_Mobula_birostris	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Chondrichthyes_Mobula_birostris/Chondrichthyes_DROSHA.txt
sp|Q9NRR4|RNC_HUMAN	XP_062925728.1	71.399	1430	99	0	1882	ribonuclease 3 [Mobula hypostoma]	Chondrichthyes_DROSHA.txt	Chondrichthyes_Mobula_hypostoma	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Chondrichthyes_Mobula_hypostoma/Chondrichthyes_DROSHA.txt
sp|Q9NRR4|RNC_HUMAN	XP_070735870.1	57.837	638	73	0	628	ribonuclease 3 [Pristiophorus japonicus]	Chondrichthyes_DROSHA.txt	Chondrichthyes_Pristiophorus_japonicus	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Chondrichthyes_Pristiophorus_japonicus/Chondrichthyes_DROSHA.txt
sp|Q9NRR4|RNC_HUMAN	XP_080103107.1	73.929	1331	95	0	1868	ribonuclease 3 [Raja brachyura]	Chondrichthyes_DROSHA.txt	Chondrichthyes_Raja_brachyura	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Chondrichthyes_Raja_brachyura/Chondrichthyes_DROSHA.txt
sp|Q9NRR4|RNC_HUMAN	XP_072366232.1	74.417	1329	95	0	1839	ribonuclease 3 [Scyliorhinus torazame]	Chondrichthyes_DROSHA.txt	Chondrichthyes_Scyliorhinus_torazame	/rna/liha/phylogenomics_practice/TENT/DROSHA/Blast/Results/Chondrichthyes_Scyliorhinus_torazame/Chondrichthyes_DROSHA.txt
