qseqid	saccver	pident	length	qcovs	evalue	bitscore	stitle	source_file	organism	filepath
NP_003052.2	XP_019635574.1	52.922	1523	98	0	1640	PREDICTED: LOW QUALITY PROTEIN: slit homolog 2 protein-like [Branchiostoma belcheri]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_belcheri	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_belcheri/Cephalochordata_SLIT1-2-3.txt
NP_004778.1	XP_019635574.1	55.308	1526	98	0	1731	PREDICTED: LOW QUALITY PROTEIN: slit homolog 2 protein-like [Branchiostoma belcheri]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_belcheri	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_belcheri/Cephalochordata_SLIT1-2-3.txt
NP_001258875.2	XP_019635574.1	51.343	1527	98	0	1571	PREDICTED: LOW QUALITY PROTEIN: slit homolog 2 protein-like [Branchiostoma belcheri]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_belcheri	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_belcheri/Cephalochordata_SLIT1-2-3.txt
NP_003052.2	XP_035675246.1	52.59	1525	98	0	1632	slit homolog 2 protein-like [Branchiostoma floridae]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_floridae	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_floridae/Cephalochordata_SLIT1-2-3.txt
NP_004778.1	XP_035675246.1	55.141	1527	98	0	1726	slit homolog 2 protein-like [Branchiostoma floridae]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_floridae	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_floridae/Cephalochordata_SLIT1-2-3.txt
NP_001258875.2	XP_035675246.1	51.212	1527	98	0	1567	slit homolog 2 protein-like [Branchiostoma floridae]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_floridae	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_floridae/Cephalochordata_SLIT1-2-3.txt
NP_003052.2	XP_066278443.1	53.073	1513	98	0	1644	slit homolog 2 protein-like isoform X4 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_003052.2	XP_066278441.1	52.587	1527	98	0	1639	slit homolog 2 protein-like isoform X2 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_003052.2	XP_066278442.1	52.725	1523	98	0	1637	slit homolog 2 protein-like isoform X3 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_003052.2	XP_066278440.1	52.39	1527	98	0	1629	slit homolog 2 protein-like isoform X1 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_003052.2	XP_066278447.1	52.579	1512	98	0	1612	slit homolog 2 protein-like isoform X7 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_003052.2	XP_066278445.1	51.866	1527	98	0	1602	slit homolog 2 protein-like isoform X5 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_003052.2	XP_066278446.1	51.604	1527	98	0	1600	slit homolog 2 protein-like isoform X6 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_004778.1	XP_066278443.1	55.482	1514	98	0	1734	slit homolog 2 protein-like isoform X4 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_004778.1	XP_066278441.1	54.974	1528	98	0	1729	slit homolog 2 protein-like isoform X2 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_004778.1	XP_066278442.1	55.046	1526	98	0	1727	slit homolog 2 protein-like isoform X3 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_004778.1	XP_066278440.1	54.777	1528	98	0	1719	slit homolog 2 protein-like isoform X1 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
