Target_Clade	Accession	RefSeq_Status	Coverage	N50	Genome_Size	TaxID	Organism_Name
Echinodermata	GCA_029964075.1	reference genome	40	875000	615361208	7594	Patiria pectinifera
Echinodermata	GCF_032118995.1	reference genome	22.68	8054564	491537102	7602	Asterias amurensis
Echinodermata	GCF_902459465.1	reference genome	103	1383654	417601740	7604	Asterias rubens
Echinodermata	GCA_911728455.2	reference genome	49	1872146	520943681	7609	Marthasterias glacialis
Echinodermata	GCA_023634235.1	reference genome	27	3702536	549786689	7611	Pisaster brevispinus
Echinodermata	GCA_010994315.2	reference genome	212.8	7642	401943971	7612	Pisaster ochraceus
Echinodermata	GCA_032158295.1	reference genome	583	2412868	483883685	7614	Pycnopodia helianthoides
Echinodermata	GCA_049308315.2	reference genome	41.78	5359737	540314848	7616	Evasterias troschelii
Echinodermata	GCA_001188425.1	reference genome	50.6	6630	2187261492	7632	Eucidaris tribuloides
Echinodermata	GCA_025617745.1	reference genome	81.8	955812	1064235828	7634	Heliocidaris erythrogramma
Echinodermata	GCA_025618425.1	reference genome	99.4	1137987	897798483	7635	Heliocidaris tuberculata
Echinodermata	GCA_963669155.1	reference genome	36	624507	607877122	7640	Arbacia lixula
Echinodermata	GCA_976925275.1	reference genome	41	259079	1032866170	7648	Echinus esculentus
Echinodermata	GCA_003118195.1	reference genome	100	9641	568911661	7650	Hemicentrotus pulcherrimus
Echinodermata	GCF_037042905.1	reference genome	120	30022000	811721768	7653	Lytechinus pictus
Echinodermata	GCF_018143015.1	reference genome	130	5852084	869582435	7654	Lytechinus variegatus
Echinodermata	GCA_940671915.1	reference genome	80	37479	927475755	7656	Paracentrotus lividus
Echinodermata	GCA_055472035.1	reference genome	30	468613	710046720	7666	Mesocentrotus nudus
Echinodermata	GCA_054410915.1	reference genome	164.47	1459419	704974915	7667	Strongylocentrotus intermedius
Echinodermata	GCF_000002235.5	reference genome	123	2052140	921840143	7668	Strongylocentrotus purpuratus
Echinodermata	GCA_030265145.1	reference genome	105	2522	1044176929	7670	Strongylocentrotus pallidus
Echinodermata	GCA_035222895.1	reference genome	45.9	205453	2467945480	7671	Strongylocentrotus droebachiensis
Echinodermata	GCA_027580055.1	reference genome	110	3334	575466867	7700	Paracaudina chilensis
Echinodermata	GCA_026419785.1	reference genome	63.9	284909	338973358	7710	Sclerodactyla briareus
Echinodermata	GCF_964275005.2	reference genome	40	2178457	912728646	31175	Diadema setosum
Echinodermata	GCA_978021865.1	reference genome	56	10216854	874098947	31178	Echinometra mathaei
Echinodermata	GCA_009936505.3	reference genome	130	5694	1209481808	31192	Holothuria glaberrima
Echinodermata	GCA_047301525.2	reference genome	28.02	2350191	2764329969	35052	Ophiopholis aculeata
Echinodermata	GCA_047678365.2	reference genome	27.05	1603237	2915595457	36326	Cucumaria frondosa
Echinodermata	GCA_965644145.1	reference genome	61	1406822	992269866	39298	Echinocardium cordatum
Echinodermata	GCA_964657215.1	reference genome	40	1661000	991333594	39374	Sphaerechinus granularis
Echinodermata	GCA_027564615.1	reference genome	95	2507	1597988068	42201	Psolus chitonoides
Echinodermata	GCA_032360705.1	reference genome	50	2848	1404964302	42394	Eupentacta quinquesemita
Echinodermata	GCF_015706575.1	reference genome	150	2102889	608344308	46514	Patiria miniata
Echinodermata	GCA_965641785.1	na	110	3192209	419943968	46515	Asterina gibbosa (Pennant, 1777)
Echinodermata	GCA_900067625.1	reference genome	23	218	949333185	46519	Patiriella regularis
Echinodermata	GCA_056903395.1	reference genome	60	1403	2106455756	48271	Amphipholis squamata
Echinodermata	GCA_965119575.1	reference genome	79	900404	1761190681	55617	Ophiocomina nigra
Echinodermata	GCA_963971285.1	reference genome	49	911583	475821439	55651	Astropecten irregularis
Echinodermata	GCA_037783415.2	reference genome	87.81	4344812	629802523	59564	Leptasterias polaris
Echinodermata	GCA_982266855.1	reference genome	63	13798000	488065082	60560	Astropecten polyacanthus
Echinodermata	GCA_037893245.2	reference genome	85.47	1301477	1019337484	60567	Crossaster papposus
