candidate_accession	best_forward_evalue	reciprocal_top_accession	reciprocal_evalue	bitscore	pident	alignment_length	query_coverage	reciprocal_subject_title
NP_001007973.1	0.0	NP_060179.2	0.0	723	89.258	391	100	terminal nucleotidyltransferase 5C [Homo sapiens]
NP_001017206.1	0.0	NP_060103.2	0.0	588	72.280	386	97	terminal nucleotidyltransferase 5A [Homo sapiens]
NP_001026256.1	0.0	NP_060103.2	0.0	750	93.557	388	97	terminal nucleotidyltransferase 5A [Homo sapiens]
NP_001136424.1	0.0	NP_060179.2	0.0	783	95.908	391	100	terminal nucleotidyltransferase 5C [Homo sapiens]
NP_001153850.1	0.0	NP_060103.2	0.0	847	93.665	442	96	terminal nucleotidyltransferase 5A [Homo sapiens]
NP_001153851.1	0.0	NP_060103.2	0.0	848	93.665	442	100	terminal nucleotidyltransferase 5A [Homo sapiens]
NP_001156576.1	0.0	NP_689843.1	0.0	625	77.121	389	99	terminal nucleotidyltransferase 5D [Homo sapiens]
NP_001164045.1	0.0	NP_689843.1	0.0	808	100.000	389	100	terminal nucleotidyltransferase 5D [Homo sapiens]
NP_060103.2	0.0	NP_060103.2	0.0	918	100.000	442	100	terminal nucleotidyltransferase 5A [Homo sapiens]
NP_060179.2	0.0	NP_060179.2	0.0	812	100.000	391	100	terminal nucleotidyltransferase 5C [Homo sapiens]
NP_443175.2	0.0	NP_443175.2	0.0	869	100.000	425	100	terminal nucleotidyltransferase 5B [Homo sapiens]
NP_780516.1	0.0	NP_443175.2	0.0	726	91.335	427	100	terminal nucleotidyltransferase 5B [Homo sapiens]
XP_001750770.1	6.25e-21	NP_689843.1	1.43e-19	93.2	25.979	281	53	terminal nucleotidyltransferase 5D [Homo sapiens]
XP_002111339.1	1.64e-99	NP_060179.2	7.70e-98	297	44.699	349	99	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_002112434.1	1.04e-120	NP_060103.2	7.01e-120	354	54.242	330	100	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_002938504.1	0.0	NP_060103.2	0.0	745	91.327	392	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_002940481.1	0.0	NP_689843.1	0.0	553	69.531	384	98	terminal nucleotidyltransferase 5D [Homo sapiens]
XP_002943490.1	0.0	NP_060179.2	0.0	678	82.952	393	100	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_003386242.1	7.90e-95	NP_060179.2	2.60e-94	292	45.758	330	70	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_003724224.2	4.15e-139	NP_060179.2	3.58e-138	404	59.412	340	72	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_004210423.1	2.73e-129	NP_060103.2	8.12e-129	380	52.273	352	87	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_004990263.1	1.07e-11	NP_060103.2	1.19e-09	65.9	25.698	179	7	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_004991275.1	0.087	NP_060179.2	0.43	33.1	27.273	55	35	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_004995404.1	1.62e-08	NP_443175.2	2.61e-07	55.5	27.344	256	52	terminal nucleotidyltransferase 5B [Homo sapiens]
XP_005991079.1	0.0	NP_060103.2	0.0	644	80.526	380	96	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_005991080.1	0.0	NP_060103.2	0.0	581	81.232	341	99	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_006003359.1	0.0	NP_060103.2	0.0	736	91.451	386	96	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_006006950.1	0.0	NP_060179.2	0.0	647	78.680	394	100	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_006626328.1	0.0	NP_060103.2	0.0	740	91.495	388	96	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_006631331.1	0.0	NP_060103.2	0.0	625	78.158	380	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_006639425.1	0.0	NP_060179.2	0.0	634	78.772	391	100	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_006825326.1	8.55e-162	NP_060103.2	3.04e-161	462	61.697	389	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_007890286.2	0.0	NP_060103.2	0.0	570	73.475	377	94	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_007894052.1	0.0	NP_060179.2	0.0	640	81.432	377	98	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_007903243.1	0.0	NP_060103.2	0.0	699	87.895	380	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_008118874.1	0.0	NP_060103.2	0.0	619	77.023	383	91	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_008120091.2	0.0	NP_060103.2	0.0	727	91.601	381	89	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_012799174.3	1.17e-08	NP_689843.1	3.02e-07	56.2	31.868	91	12	terminal nucleotidyltransferase 5D [Homo sapiens]
XP_013392373.1	7.59e-146	NP_060103.2	3.83e-146	424	62.388	335	81	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_013392374.1	5.63e-146	NP_060103.2	2.96e-146	424	62.388	335	83	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_013400586.1	1.4	NP_689843.1	4.2	31.2	30.435	69	27	terminal nucleotidyltransferase 5D [Homo sapiens]
XP_014347599.1	0.0	NP_060179.2	0.0	555	69.565	391	97	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_014671930.1	2.44e-130	NP_060179.2	2.80e-130	382	57.313	335	82	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_014675022.1	7.99e-113	NP_060103.2	4.89e-118	354	47.700	413	90	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_015140113.2	0.0	NP_060103.2	0.0	752	93.814	388	91	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_015140115.2	0.0	NP_060103.2	0.0	751	93.814	388	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_015206985.2	3.73e-97	NP_060179.2	2.36e-96	307	78.090	178	23	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_018670981.2	4.85e-83	NP_060103.2	2.80e-88	285	50.161	311	44	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_019625416.1	5.90e-157	NP_060103.2	2.12e-155	447	57.286	398	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_019940905.1	9.89e-84	NP_060179.2	4.90e-83	271	70.000	180	23	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_019946020.1	0.0	NP_060103.2	0.0	595	72.895	380	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_019946612.1	0.0	NP_060103.2	0.0	702	86.047	387	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_019947548.1	0.0	NP_060103.2	0.0	634	77.551	392	96	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_019963397.1	0.0	NP_060103.2	0.0	610	76.640	381	96	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_019965638.1	0.0	NP_060179.2	0.0	587	74.934	379	97	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_028415047.1	5.65e-133	NP_060179.2	3.27e-132	387	53.514	370	91	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_030851220.1	3.97e-139	NP_060179.2	4.70e-138	404	59.412	340	72	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_032225299.2	2.91e-146	NP_060103.2	1.07e-145	422	62.037	324	86	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_032829540.1	0.0	NP_060103.2	0.0	588	70.874	412	99	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_033635424.1	1.08e-144	NP_060103.2	1.93e-144	421	62.388	335	75	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_033864625.1	0.0	NP_060179.2	0.0	626	78.272	382	98	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_033866648.1	0.0	NP_060179.2	0.0	626	78.534	382	98	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_033872791.3	0.0	NP_060103.2	0.0	723	88.860	386	96	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_035686171.1	1.78e-157	NP_060103.2	5.73e-156	449	58.040	398	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_038079036.1	4.74e-148	NP_060179.2	1.71e-147	427	61.765	340	78	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_039260901.2	1.71e-75	NP_060179.2	1.67e-74	251	47.350	283	33	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_039595688.1	0.0	NP_060103.2	0.0	628	78.684	380	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_039599665.1	0.0	NP_060179.2	0.0	619	76.215	391	100	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_039603765.1	0.0	NP_060103.2	0.0	724	90.789	380	95	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_039621896.1	8.05e-100	NP_060179.2	6.92e-99	316	75.532	188	21	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_040526195.1	0.0	NP_689843.1	0.0	554	69.010	384	98	terminal nucleotidyltransferase 5D [Homo sapiens]
XP_040546047.1	0.0	NP_060103.2	0.0	627	78.421	380	95	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_041462475.1	2.51e-138	NP_060179.2	1.04e-137	403	59.412	340	71	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_041462532.1	1.70e-138	NP_060179.2	1.23e-137	403	59.412	340	71	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_048387395.1	0.0	NP_060103.2	0.0	702	88.684	380	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_048397321.1	0.0	NP_060179.2	0.0	644	81.963	377	98	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_048400966.1	0.0	NP_060179.2	0.0	563	72.487	378	93	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_048400967.1	0.0	NP_060179.2	0.0	564	72.487	378	93	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_048400968.1	0.0	NP_060179.2	0.0	564	72.487	378	93	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_048400969.1	0.0	NP_060179.2	0.0	564	72.487	378	93	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_048400971.1	0.0	NP_060179.2	0.0	563	72.487	378	94	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_051065502.1	3.39e-06	NP_060179.2	3.82e-05	48.5	50.000	54	10	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_051070340.1	1.27e-65	NP_060179.2	9.50e-65	223	56.075	214	28	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_053179509.1	1.47e-174	NP_060179.2	1.33e-174	498	62.821	390	78	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_053182883.1	0.0	NP_060103.2	0.0	614	75.127	394	98	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_053183877.1	0.0	NP_060103.2	0.0	705	86.563	387	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_053184462.1	0.0	NP_060179.2	0.0	599	75.578	389	99	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_053187094.1	7.57e-173	NP_060179.2	3.88e-172	488	63.467	375	95	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_053190155.1	0.0	NP_060103.2	0.0	587	72.966	381	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_053193485.1	0.0	NP_060103.2	0.0	637	76.427	403	98	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_054753321.1	7.42e-139	NP_060179.2	1.08e-138	405	55.164	397	84	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_055492050.1	0.0	NP_060103.2	0.0	685	86.579	380	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_055499361.1	0.0	NP_060103.2	0.0	563	71.543	376	96	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_055500210.1	0.0	NP_060179.2	0.0	641	80.890	382	97	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_055500211.1	0.0	NP_060179.2	0.0	641	80.890	382	97	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_055500212.1	0.0	NP_060179.2	0.0	640	80.890	382	99	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_058845265.1	2.59e-96	NP_060179.2	8.99e-96	305	76.536	179	24	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_058853527.1	0.0	NP_060103.2	0.0	610	76.579	380	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_058855628.1	0.0	NP_060103.2	0.0	610	76.579	380	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_058857546.1	4.75e-98	NP_060179.2	1.63e-97	309	77.654	179	24	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_058880590.1	0.0	NP_060103.2	0.0	718	88.312	385	96	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_058885092.1	0.0	NP_060179.2	0.0	627	78.534	382	95	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_061422765.1	0.0	NP_060103.2	0.0	589	71.569	408	99	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_062819994.1	0.0	NP_689843.1	0.0	550	67.700	387	98	terminal nucleotidyltransferase 5D [Homo sapiens]
XP_062896412.1	0.0	NP_060103.2	0.0	689	86.842	380	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_062906785.1	0.0	NP_060179.2	0.0	642	81.432	377	98	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_062917399.1	0.0	NP_060179.2	0.0	562	71.314	373	92	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_063676437.1	5.57e-114	NP_060179.2	1.16e-113	340	51.754	342	83	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_063722115.1	9.93e-78	NP_060103.2	2.20e-76	263	43.849	317	24	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_064628772.1	4.01e-156	NP_060179.2	1.78e-155	447	58.690	397	89	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_064628773.1	1.07e-156	NP_060179.2	4.36e-156	447	58.438	397	97	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_065184646.1	6.08e-67	NP_689843.1	3.50e-66	217	37.462	331	82	terminal nucleotidyltransferase 5D [Homo sapiens]
XP_065197531.1	4.68e-78	NP_443175.2	3.30e-74	239	43.363	339	83	terminal nucleotidyltransferase 5B [Homo sapiens]
XP_065648842.1	1.12e-129	NP_060103.2	5.55e-129	380	51.226	367	91	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_065837316.1	0.39	NP_443175.2	9.3	33.1	61.538	26	2	terminal nucleotidyltransferase 5B [Homo sapiens]
XP_065837317.1	0.38	NP_443175.2	9.2	33.1	61.538	26	2	terminal nucleotidyltransferase 5B [Homo sapiens]
XP_065837872.1	2.76e-105	NP_060103.2	2.01e-105	322	50.000	336	74	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_066265811.1	8.53e-154	NP_060103.2	7.53e-153	442	58.701	385	89	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_066265819.1	5.34e-154	NP_060103.2	3.24e-153	442	57.506	393	96	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_066914011.1	3.97e-119	NP_060103.2	2.44e-125	371	53.039	362	90	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_067841022.1	0.0	NP_060103.2	0.0	699	88.158	380	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_067849052.1	0.0	NP_060179.2	0.0	648	82.228	377	98	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_067852738.1	0.0	NP_060103.2	0.0	571	74.394	371	95	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_067882795.1	0.0	NP_060103.2	0.0	702	88.684	380	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_067896845.1	0.0	NP_060179.2	0.0	648	82.228	377	98	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_067904101.1	0.0	NP_060103.2	0.0	563	73.713	369	94	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_067962383.2	2.21e-45	NP_060179.2	1.48e-44	166	44.498	209	30	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_067966876.1	0.0	NP_060103.2	0.0	599	76.316	380	88	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_067966877.1	0.0	NP_060103.2	0.0	599	76.316	380	93	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_069387702.1	1.15e-79	NP_060179.2	5.74e-79	267	72.455	167	14	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_070567423.1	1.55e-161	NP_060103.2	3.24e-161	462	63.089	382	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_070738233.1	0.0	NP_060179.2	0.0	570	73.545	378	96	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_070741672.1	0.0	NP_060103.2	0.0	702	88.684	380	96	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_070749601.1	0.0	NP_060179.2	0.0	642	81.963	377	98	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_071820039.1	1.03e-138	NP_060179.2	2.37e-143	416	56.693	381	90	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_071822417.1	1.9	NP_443175.2	5.6	31.6	66.667	18	5	terminal nucleotidyltransferase 5B [Homo sapiens]
XP_071955683.1	1.58e-134	NP_060179.2	9.69e-134	390	58.516	364	90	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_072036890.1	4.89e-144	NP_060179.2	2.22e-143	415	60.000	340	83	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_072106204.1	0.0	NP_060103.2	0.0	689	86.842	380	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_072116458.1	0.0	NP_060179.2	0.0	645	82.228	377	98	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_072127328.1	0.0	NP_060103.2	0.0	556	72.087	369	94	terminal nucleotidyltransferase 5A [Homo sapiens]
