qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_006846360.2	XP_047272344.1	0	N/A	27.541	305	56	1.26e-17	89.4	terminal uridylyltransferase 4 isoform X30 [Homo sapiens]	TRUE	Tut4
XP_006846360.2	XP_047272350.1	0	N/A	27.541	305	56	1.37e-17	89.4	terminal uridylyltransferase 4 isoform X34 [Homo sapiens]	TRUE	Tut4
XP_006846360.2	XP_047272290.1	0	N/A	27.541	305	56	1.41e-17	89.4	terminal uridylyltransferase 4 isoform X11 [Homo sapiens]	TRUE	Tut4
XP_006846360.2	XP_047272286.1	0	N/A	27.541	305	56	1.41e-17	89.4	terminal uridylyltransferase 4 isoform X8 [Homo sapiens]	TRUE	Tut4
XP_006846360.2	XP_047272296.1	0	N/A	27.541	305	56	1.51e-17	89.0	terminal uridylyltransferase 4 isoform X13 [Homo sapiens]	TRUE	Tut4
XP_006846360.2	XP_047272372.1	0	N/A	27.541	305	56	1.57e-17	89.0	terminal uridylyltransferase 4 isoform X42 [Homo sapiens]	TRUE	Tut4
XP_006846360.2	XP_047272295.1	0	N/A	27.541	305	56	1.59e-17	89.0	terminal uridylyltransferase 4 isoform X12 [Homo sapiens]	TRUE	Tut4
XP_006846360.2	XP_047272305.1	0	N/A	27.541	305	56	1.62e-17	89.0	terminal uridylyltransferase 4 isoform X17 [Homo sapiens]	TRUE	Tut4
XP_006846360.2	XP_047272384.1	0	N/A	28.179	291	54	2.24e-17	88.2	terminal uridylyltransferase 4 isoform X46 [Homo sapiens]	TRUE	Tut4
XP_006846360.2	XP_047272811.1	0	N/A	27.368	285	52	4.99e-17	86.3	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_006846360.2	XP_047272810.1	0	N/A	27.368	285	52	4.99e-17	86.3	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
