qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_052832076.1	NP_001317647.1	0	N/A	50.641	468	34	5.98e-149	472	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	XP_005252265.1	0	N/A	54.048	420	31	2.73e-144	476	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	XP_047272384.1	0	N/A	49.388	490	36	6.85e-143	460	terminal uridylyltransferase 4 isoform X46 [Homo sapiens]	TRUE	Tut4
XP_052832076.1	XP_016870620.1	0	N/A	50.641	468	34	2.29e-142	473	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	XP_016870619.1	0	N/A	50.641	468	34	2.29e-142	473	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	NP_078893.2	0	N/A	50.641	468	34	2.29e-142	473	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	NP_001171988.1	0	N/A	50.641	468	34	2.29e-142	473	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	XP_047279825.1	0	N/A	50.641	468	34	2.61e-142	473	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	XP_047279824.1	0	N/A	50.641	468	34	2.61e-142	473	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	XP_005252264.1	0	N/A	50.641	468	34	2.61e-142	473	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	XP_011517318.1	0	N/A	50.641	468	34	3.76e-142	473	terminal uridylyltransferase 7 isoform X5 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	XP_011517317.1	0	N/A	50.641	468	34	6.13e-142	473	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	XP_047279823.1	0	N/A	50.641	468	34	6.23e-142	473	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	XP_006717346.1	0	N/A	50.641	468	34	6.23e-142	473	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	XP_011517316.1	0	N/A	50.641	468	34	1.40e-141	472	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	XP_011517315.1	0	N/A	50.641	468	34	1.40e-141	472	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	XP_011517314.1	0	N/A	50.641	468	34	1.40e-141	472	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_052832076.1	XP_011517313.1	0	N/A	50.641	468	34	1.40e-141	472	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
