qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_030852755.1	XP_016856296.1	0	N/A	40.264	986	50	0.0	736	terminal uridylyltransferase 4 isoform X28 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_016856295.1	0	N/A	40.264	986	50	0.0	736	terminal uridylyltransferase 4 isoform X25 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272325.1	0	N/A	40.283	988	50	0.0	735	terminal uridylyltransferase 4 isoform X23 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272337.1	0	N/A	40.283	988	50	0.0	734	terminal uridylyltransferase 4 isoform X27 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272350.1	0	N/A	39.655	986	50	0.0	717	terminal uridylyltransferase 4 isoform X34 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272344.1	0	N/A	39.474	988	50	0.0	717	terminal uridylyltransferase 4 isoform X30 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272345.1	0	N/A	38.945	986	50	0.0	690	terminal uridylyltransferase 4 isoform X31 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_011539401.1	0	N/A	38.765	988	50	0.0	689	terminal uridylyltransferase 4 isoform X29 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_016856299.1	0	N/A	38.720	984	50	0.0	684	terminal uridylyltransferase 4 isoform X40 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_016856297.1	0	N/A	38.720	984	50	0.0	683	terminal uridylyltransferase 4 isoform X36 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_005270739.1	0	N/A	38.540	986	50	0.0	682	terminal uridylyltransferase 4 isoform X33 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272365.1	0	N/A	38.742	986	50	0.0	682	terminal uridylyltransferase 4 isoform X38 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272372.1	0	N/A	38.134	986	50	0.0	664	terminal uridylyltransferase 4 isoform X42 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272367.1	0	N/A	37.120	986	50	0.0	649	terminal uridylyltransferase 4 isoform X39 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272362.1	0	N/A	37.146	988	50	0.0	647	terminal uridylyltransferase 4 isoform X37 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272354.1	0	N/A	36.943	988	50	0.0	647	terminal uridylyltransferase 4 isoform X35 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272348.1	0	N/A	36.943	988	50	0.0	647	terminal uridylyltransferase 4 isoform X32 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272369.1	0	N/A	35.628	988	50	0.0	601	terminal uridylyltransferase 4 isoform X41 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272377.1	0	N/A	35.569	984	50	0.0	595	terminal uridylyltransferase 4 isoform X44 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272373.1	0	N/A	35.396	986	50	0.0	593	terminal uridylyltransferase 4 isoform X43 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_016856293.1	0	N/A	42.475	711	36	4.61e-165	550	terminal uridylyltransferase 4 isoform X16 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_016856292.1	0	N/A	42.475	711	36	4.78e-165	551	terminal uridylyltransferase 4 isoform X9 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272283.1	0	N/A	42.475	711	36	1.02e-164	550	terminal uridylyltransferase 4 isoform X6 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_005270737.1	0	N/A	42.475	711	36	1.02e-164	550	terminal uridylyltransferase 4 isoform X6 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272288.1	0	N/A	42.216	713	36	1.79e-164	549	terminal uridylyltransferase 4 isoform X10 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272280.1	0	N/A	42.475	711	36	2.36e-164	549	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_005270736.1	0	N/A	42.475	711	36	2.36e-164	549	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272285.1	0	N/A	42.496	713	36	2.43e-164	549	terminal uridylyltransferase 4 isoform X7 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272282.1	0	N/A	42.496	713	36	4.21e-164	548	terminal uridylyltransferase 4 isoform X5 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	NP_056084.1	0	N/A	42.496	713	36	4.21e-164	548	terminal uridylyltransferase 4 isoform b [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_047272281.1	0	N/A	42.216	713	36	5.07e-164	548	terminal uridylyltransferase 4 isoform X4 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	NP_001009881.1	0	N/A	42.216	713	36	5.07e-164	548	terminal uridylyltransferase 4 isoform a [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_005270735.1	0	N/A	42.496	713	36	8.11e-164	548	terminal uridylyltransferase 4 isoform X2 [Homo sapiens]	TRUE	Tut4
XP_030852755.1	XP_011539399.1	0	N/A	42.216	713	36	9.56e-164	548	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
