qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_009494941.1	XP_011521580.1	0	N/A	38.109	349	34	9.83e-64	227	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
XP_009494941.1	XP_047290433.1	0	N/A	38.507	335	32	1.10e-63	226	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
XP_009494941.1	NP_001165276.2	0	N/A	39.506	324	31	1.29e-63	233	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
XP_009494941.1	NP_008930.2	0	N/A	39.506	324	31	1.39e-63	233	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
XP_009494941.1	NP_001035374.2	0	N/A	37.815	357	34	1.10e-62	228	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
XP_009494941.1	XP_011521577.1	0	N/A	37.815	357	34	1.12e-62	228	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
XP_009494941.1	NP_001035375.2	0	N/A	37.971	345	33	1.25e-62	227	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
XP_009494941.1	XP_011521578.1	0	N/A	37.971	345	33	1.27e-62	227	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
XP_009494941.1	NP_001352252.1	0	N/A	37.815	357	34	2.38e-62	228	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
XP_009494941.1	NP_001352253.1	0	N/A	37.815	357	34	3.49e-62	227	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
XP_009494941.1	XP_047290432.1	0	N/A	38.192	343	33	3.65e-62	226	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
XP_009494941.1	XP_047290431.1	0	N/A	37.971	345	33	4.55e-62	226	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
XP_009494941.1	XP_047272622.1	0	N/A	38.361	305	29	7.16e-58	211	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_009494941.1	XP_047272621.1	0	N/A	38.361	305	29	7.16e-58	211	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_009494941.1	XP_047272620.1	0	N/A	38.361	305	29	7.16e-58	211	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_009494941.1	XP_047272624.1	0	N/A	38.176	296	28	3.36e-55	203	terminal nucleotidyltransferase 4A isoform X3 [Homo sapiens]	TRUE	TENT4A
XP_009494941.1	XP_047272623.1	0	N/A	38.176	296	28	3.49e-55	203	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
