qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_004353585.1	NP_001035375.2	0	N/A	27.988	343	21	4.70e-26	118	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
XP_004353585.1	XP_011521578.1	0	N/A	27.988	343	21	4.72e-26	118	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
XP_004353585.1	NP_001035374.2	0	N/A	27.988	343	21	5.94e-26	118	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
XP_004353585.1	XP_011521577.1	0	N/A	27.988	343	21	5.97e-26	118	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
XP_004353585.1	XP_047290433.1	0	N/A	27.647	340	21	1.35e-25	115	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
XP_004353585.1	NP_001352252.1	0	N/A	28.655	342	21	1.57e-25	117	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
XP_004353585.1	XP_047290432.1	0	N/A	28.655	342	21	1.74e-25	116	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
XP_004353585.1	XP_047290431.1	0	N/A	27.988	343	21	1.83e-25	116	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
XP_004353585.1	XP_011521580.1	0	N/A	27.647	340	21	1.96e-25	115	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
XP_004353585.1	NP_001352253.1	0	N/A	28.655	342	21	2.05e-25	116	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
XP_004353585.1	NP_008930.2	0	N/A	25.731	342	21	3.07e-25	116	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
XP_004353585.1	NP_001165276.2	0	N/A	25.731	342	21	3.09e-25	116	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
XP_004353585.1	XP_047272622.1	0	N/A	26.582	316	20	4.83e-24	111	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_004353585.1	XP_047272621.1	0	N/A	26.582	316	20	4.83e-24	111	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
