qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_014666353.1	NP_060579.3	0	N/A	35.167	418	76	4.11e-75	250	poly(A) RNA polymerase, mitochondrial precursor [Homo sapiens]	TRUE	mtPAP
XP_014666353.1	NP_073741.3	0	N/A	27.530	247	42	4.50e-21	99.8	speckle targeted PIP5K1A-regulated poly(A) polymerase isoform 1 [Homo sapiens]	TRUE	Tut1
XP_014666353.1	NP_001375060.1	0	N/A	25.704	284	52	2.31e-17	87.0	poly(A) RNA polymerase GLD2 isoform 11 [Homo sapiens]	TRUE	TENT2
XP_014666353.1	NP_001375042.1	0	N/A	25.704	284	52	2.61e-17	87.0	poly(A) RNA polymerase GLD2 isoform 16 [Homo sapiens]	TRUE	TENT2
XP_014666353.1	XP_047272808.1	0	N/A	25.704	284	52	2.67e-17	87.0	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_014666353.1	XP_047272807.1	0	N/A	25.704	284	52	2.67e-17	87.0	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_014666353.1	XP_047272806.1	0	N/A	25.704	284	52	2.67e-17	87.0	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_014666353.1	NP_776158.2	0	N/A	25.704	284	52	2.67e-17	87.0	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_014666353.1	NP_001375041.1	0	N/A	25.704	284	52	2.67e-17	87.0	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_014666353.1	NP_001375040.1	0	N/A	25.704	284	52	2.67e-17	87.0	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_014666353.1	NP_001375039.1	0	N/A	25.704	284	52	2.67e-17	87.0	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_014666353.1	NP_001375038.1	0	N/A	25.704	284	52	2.67e-17	87.0	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_014666353.1	NP_001375037.1	0	N/A	25.704	284	52	2.67e-17	87.0	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_014666353.1	NP_001375036.1	0	N/A	25.704	284	52	2.67e-17	87.0	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_014666353.1	NP_001375035.1	0	N/A	25.704	284	52	2.67e-17	87.0	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_014666353.1	NP_001375034.1	0	N/A	25.704	284	52	2.67e-17	87.0	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_014666353.1	NP_001375032.1	0	N/A	25.704	284	52	2.67e-17	87.0	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
