qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_018654326.1	NP_001035375.2	0	N/A	60.828	314	46	1.13e-127	394	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
XP_018654326.1	XP_011521578.1	0	N/A	60.828	314	46	1.16e-127	394	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
XP_018654326.1	NP_001035374.2	0	N/A	57.550	351	51	1.26e-127	395	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
XP_018654326.1	XP_011521577.1	0	N/A	57.550	351	51	1.29e-127	395	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
XP_018654326.1	XP_047290432.1	0	N/A	60.828	314	46	1.87e-127	393	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
XP_018654326.1	NP_001352252.1	0	N/A	57.550	351	51	2.86e-127	394	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
XP_018654326.1	XP_047290431.1	0	N/A	60.828	314	46	4.16e-127	393	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
XP_018654326.1	NP_001352253.1	0	N/A	57.550	351	51	7.22e-127	394	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
XP_018654326.1	XP_047290433.1	0	N/A	56.716	335	49	3.65e-124	379	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
XP_018654326.1	XP_011521580.1	0	N/A	58.036	336	49	6.94e-124	380	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
XP_018654326.1	NP_008930.2	0	N/A	57.895	323	47	8.36e-120	378	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
XP_018654326.1	NP_001165276.2	0	N/A	57.895	323	47	9.17e-120	377	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
XP_018654326.1	XP_047272622.1	0	N/A	58.249	297	44	3.34e-112	350	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_018654326.1	XP_047272621.1	0	N/A	58.249	297	44	3.34e-112	350	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_018654326.1	XP_047272620.1	0	N/A	58.249	297	44	3.34e-112	350	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_018654326.1	XP_047272623.1	0	N/A	58.885	287	42	1.05e-109	343	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_018654326.1	XP_016864477.1	0	N/A	58.885	287	42	1.05e-109	343	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_018654326.1	XP_047272624.1	0	N/A	58.885	287	42	1.19e-109	343	terminal nucleotidyltransferase 4A isoform X3 [Homo sapiens]	TRUE	TENT4A
XP_018654326.1	NP_001375059.1	0	N/A	23.453	307	40	2.05e-11	69.3	poly(A) RNA polymerase GLD2 isoform 10 [Homo sapiens]	TRUE	TENT2
XP_018654326.1	XP_047272811.1	0	N/A	23.453	307	40	2.19e-11	69.3	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_018654326.1	XP_047272810.1	0	N/A	23.453	307	40	2.19e-11	69.3	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_018654326.1	XP_047272809.1	0	N/A	23.453	307	40	2.19e-11	69.3	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_018654326.1	NP_001375058.1	0	N/A	23.453	307	40	2.19e-11	69.3	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_018654326.1	NP_001375057.1	0	N/A	23.453	307	40	2.19e-11	69.3	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_018654326.1	NP_001375056.1	0	N/A	23.453	307	40	2.19e-11	69.3	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_018654326.1	NP_001375055.1	0	N/A	23.453	307	40	2.19e-11	69.3	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_018654326.1	NP_001375054.1	0	N/A	23.453	307	40	2.19e-11	69.3	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_018654326.1	NP_001375053.1	0	N/A	23.453	307	40	2.19e-11	69.3	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_018654326.1	NP_001375052.1	0	N/A	23.453	307	40	2.19e-11	69.3	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
