qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
NP_001107865.1	XP_047272808.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272807.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272806.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_776158.2	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375041.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375040.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375039.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375038.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375037.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375036.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375035.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375034.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375032.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375031.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001336482.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001336481.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001107866.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001107865.1	0	N/A	100.000	484	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375042.1	0	N/A	99.793	484	100	0.0	993	poly(A) RNA polymerase GLD2 isoform 16 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375029.1	0	N/A	97.773	494	100	0.0	989	poly(A) RNA polymerase GLD2 isoform 8 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375028.1	0	N/A	97.773	494	100	0.0	989	poly(A) RNA polymerase GLD2 isoform 8 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272811.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272810.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272809.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375058.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375057.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375056.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375055.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375054.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375053.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375052.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375051.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375050.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375049.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375048.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375047.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375046.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375045.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375044.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375043.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001336483.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001284673.1	0	N/A	99.174	484	100	0.0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272801.1	0	N/A	94.892	509	100	0.0	984	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272800.1	0	N/A	94.892	509	100	0.0	984	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_011541527.1	0	N/A	94.892	509	100	0.0	984	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_011541526.1	0	N/A	94.892	509	100	0.0	984	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_011541523.1	0	N/A	94.892	509	100	0.0	984	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_011541522.1	0	N/A	94.892	509	100	0.0	984	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375023.1	0	N/A	94.892	509	100	0.0	984	poly(A) RNA polymerase GLD2 isoform 5 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375022.1	0	N/A	94.892	509	100	0.0	984	poly(A) RNA polymerase GLD2 isoform 5 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001336479.1	0	N/A	94.892	509	100	0.0	984	poly(A) RNA polymerase GLD2 isoform 5 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001336478.1	0	N/A	94.892	509	100	0.0	984	poly(A) RNA polymerase GLD2 isoform 5 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375059.1	0	N/A	98.967	484	100	0.0	978	poly(A) RNA polymerase GLD2 isoform 10 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375030.1	0	N/A	96.964	494	100	0.0	974	poly(A) RNA polymerase GLD2 isoform 9 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272805.1	0	N/A	94.106	509	100	0.0	969	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272804.1	0	N/A	94.106	509	100	0.0	969	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272803.1	0	N/A	94.106	509	100	0.0	969	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272802.1	0	N/A	94.106	509	100	0.0	969	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_016864641.1	0	N/A	94.106	509	100	0.0	969	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375026.1	0	N/A	94.106	509	100	0.0	969	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375025.1	0	N/A	94.106	509	100	0.0	969	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375024.1	0	N/A	94.106	509	100	0.0	969	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001336480.1	0	N/A	94.106	509	100	0.0	969	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375027.1	0	N/A	93.910	509	100	0.0	963	poly(A) RNA polymerase GLD2 isoform 7 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375060.1	0	N/A	93.595	484	100	0.0	922	poly(A) RNA polymerase GLD2 isoform 11 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375061.1	0	N/A	92.769	484	100	0.0	907	poly(A) RNA polymerase GLD2 isoform 12 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272814.1	0	N/A	90.909	484	100	0.0	888	poly(A) RNA polymerase GLD2 isoform X6 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272813.1	0	N/A	90.909	484	100	0.0	888	poly(A) RNA polymerase GLD2 isoform X6 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272812.1	0	N/A	90.909	484	100	0.0	888	poly(A) RNA polymerase GLD2 isoform X6 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375062.1	0	N/A	90.909	484	100	0.0	888	poly(A) RNA polymerase GLD2 isoform 3 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001284674.1	0	N/A	90.909	484	100	0.0	888	poly(A) RNA polymerase GLD2 isoform 3 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_011541531.1	0	N/A	86.248	509	100	0.0	875	poly(A) RNA polymerase GLD2 isoform X5 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272815.1	0	N/A	90.083	484	100	0.0	873	poly(A) RNA polymerase GLD2 isoform X7 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375064.1	0	N/A	90.083	484	100	0.0	873	poly(A) RNA polymerase GLD2 isoform 13 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375063.1	0	N/A	90.083	484	100	0.0	873	poly(A) RNA polymerase GLD2 isoform 13 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375065.1	0	N/A	98.913	368	76	0.0	746	poly(A) RNA polymerase GLD2 isoform 14 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272818.1	0	N/A	100.000	342	71	0.0	703	poly(A) RNA polymerase GLD2 isoform X10 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272816.1	0	N/A	92.916	367	71	0.0	689	poly(A) RNA polymerase GLD2 isoform X8 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272817.1	0	N/A	91.826	367	71	0.0	674	poly(A) RNA polymerase GLD2 isoform X9 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001336477.1	0	N/A	99.611	257	53	0.0	533	poly(A) RNA polymerase GLD2 isoform 4 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272820.1	0	N/A	95.528	246	51	2.08e-172	486	poly(A) RNA polymerase GLD2 isoform X11 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375066.1	0	N/A	98.148	216	45	2.11e-153	440	poly(A) RNA polymerase GLD2 isoform 15 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_005252265.1	0	N/A	32.440	336	68	1.10e-39	155	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	XP_011517316.1	0	N/A	32.440	336	68	1.15e-39	155	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	XP_011517315.1	0	N/A	32.440	336	68	1.15e-39	155	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	XP_011517314.1	0	N/A	32.440	336	68	1.15e-39	155	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	XP_011517313.1	0	N/A	32.440	336	68	1.15e-39	155	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	XP_011517317.1	0	N/A	32.440	336	68	1.56e-39	155	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	NP_001317647.1	0	N/A	31.551	374	74	1.66e-39	154	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	XP_047279825.1	0	N/A	32.440	336	68	2.01e-39	155	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	XP_047279824.1	0	N/A	32.440	336	68	2.01e-39	155	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	XP_005252264.1	0	N/A	32.440	336	68	2.01e-39	155	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	XP_016870620.1	0	N/A	32.440	336	68	2.16e-39	155	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	XP_016870619.1	0	N/A	32.440	336	68	2.16e-39	155	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	NP_078893.2	0	N/A	32.440	336	68	2.16e-39	155	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	NP_001171988.1	0	N/A	32.440	336	68	2.16e-39	155	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	XP_011517318.1	0	N/A	32.440	336	68	2.28e-39	155	terminal uridylyltransferase 7 isoform X5 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	XP_047279823.1	0	N/A	32.440	336	68	2.28e-39	155	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	XP_006717346.1	0	N/A	32.440	336	68	2.28e-39	155	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
NP_001107865.1	XP_047272350.1	0	N/A	34.058	276	55	6.45e-37	147	terminal uridylyltransferase 4 isoform X34 [Homo sapiens]	TRUE	Tut4
