qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_964090.3	XP_047272384.1	0	N/A	35.811	296	22	6.74e-42	169	terminal uridylyltransferase 4 isoform X46 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_005270739.1	0	N/A	35.811	296	22	3.72e-41	168	terminal uridylyltransferase 4 isoform X33 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_016856297.1	0	N/A	35.811	296	22	3.87e-41	168	terminal uridylyltransferase 4 isoform X36 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_011539401.1	0	N/A	35.811	296	22	4.53e-41	168	terminal uridylyltransferase 4 isoform X29 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_016856299.1	0	N/A	35.811	296	22	4.54e-41	168	terminal uridylyltransferase 4 isoform X40 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_047272365.1	0	N/A	35.811	296	22	4.55e-41	168	terminal uridylyltransferase 4 isoform X38 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_016856292.1	0	N/A	35.811	296	22	4.58e-41	168	terminal uridylyltransferase 4 isoform X9 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_047272345.1	0	N/A	35.811	296	22	4.67e-41	168	terminal uridylyltransferase 4 isoform X31 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_047272285.1	0	N/A	35.811	296	22	4.83e-41	168	terminal uridylyltransferase 4 isoform X7 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_047272325.1	0	N/A	35.811	296	22	5.18e-41	168	terminal uridylyltransferase 4 isoform X23 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_016856293.1	0	N/A	35.811	296	22	5.19e-41	168	terminal uridylyltransferase 4 isoform X16 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_047272280.1	0	N/A	35.811	296	22	5.28e-41	168	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_005270736.1	0	N/A	35.811	296	22	5.28e-41	168	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_047272337.1	0	N/A	35.811	296	22	5.57e-41	168	terminal uridylyltransferase 4 isoform X27 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_047272288.1	0	N/A	35.811	296	22	5.66e-41	168	terminal uridylyltransferase 4 isoform X10 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_016856295.1	0	N/A	35.811	296	22	5.68e-41	168	terminal uridylyltransferase 4 isoform X25 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_011539399.1	0	N/A	35.811	296	22	5.91e-41	168	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_005270733.1	0	N/A	35.811	296	22	5.91e-41	168	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_005270735.1	0	N/A	35.811	296	22	5.96e-41	168	terminal uridylyltransferase 4 isoform X2 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_016856296.1	0	N/A	35.811	296	22	6.10e-41	168	terminal uridylyltransferase 4 isoform X28 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_047272281.1	0	N/A	35.811	296	22	6.36e-41	168	terminal uridylyltransferase 4 isoform X4 [Homo sapiens]	TRUE	Tut4
XP_964090.3	NP_001009881.1	0	N/A	35.811	296	22	6.36e-41	168	terminal uridylyltransferase 4 isoform a [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_047272282.1	0	N/A	35.811	296	22	6.41e-41	168	terminal uridylyltransferase 4 isoform X5 [Homo sapiens]	TRUE	Tut4
XP_964090.3	NP_056084.1	0	N/A	35.811	296	22	6.41e-41	168	terminal uridylyltransferase 4 isoform b [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_047272283.1	0	N/A	35.811	296	22	6.45e-41	167	terminal uridylyltransferase 4 isoform X6 [Homo sapiens]	TRUE	Tut4
XP_964090.3	XP_005270737.1	0	N/A	35.811	296	22	6.45e-41	167	terminal uridylyltransferase 4 isoform X6 [Homo sapiens]	TRUE	Tut4
XP_964090.3	NP_001317647.1	0	N/A	35.811	296	22	9.45e-39	159	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_964090.3	XP_047279823.1	0	N/A	35.135	296	22	1.50e-38	160	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_964090.3	XP_006717346.1	0	N/A	35.135	296	22	1.50e-38	160	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_964090.3	XP_011517317.1	0	N/A	35.135	296	22	1.82e-38	160	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
XP_964090.3	XP_047279825.1	0	N/A	35.135	296	22	2.43e-38	159	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
