qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_015653778.1	NP_001375029.1	0	N/A	24.464	233	55	2.02e-09	62.0	poly(A) RNA polymerase GLD2 isoform 8 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375028.1	0	N/A	24.464	233	55	2.02e-09	62.0	poly(A) RNA polymerase GLD2 isoform 8 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	XP_047272808.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	XP_047272807.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	XP_047272806.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_776158.2	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375041.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375040.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375039.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375038.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375037.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375036.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375035.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375034.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375032.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375031.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001336482.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001336481.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001107866.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001107865.1	0	N/A	24.889	225	53	4.30e-09	60.8	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375060.1	0	N/A	24.889	225	53	4.86e-09	60.5	poly(A) RNA polymerase GLD2 isoform 11 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375042.1	0	N/A	24.889	225	53	4.90e-09	60.5	poly(A) RNA polymerase GLD2 isoform 16 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375030.1	0	N/A	24.783	230	55	7.00e-09	60.1	poly(A) RNA polymerase GLD2 isoform 9 [Homo sapiens]	TRUE	TENT2
XP_015653778.1	NP_001375065.1	0	N/A	25.225	222	53	8.90e-09	59.3	poly(A) RNA polymerase GLD2 isoform 14 [Homo sapiens]	TRUE	TENT2
