qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_064626816.1	XP_047272384.1	0	N/A	56.600	447	19	7.36e-156	510	terminal uridylyltransferase 4 isoform X46 [Homo sapiens]	TRUE	Tut4
XP_064626816.1	NP_001317647.1	0	N/A	53.542	480	19	1.27e-155	505	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_064626816.1	XP_016856299.1	0	N/A	56.600	447	19	1.09e-151	516	terminal uridylyltransferase 4 isoform X40 [Homo sapiens]	TRUE	Tut4
XP_064626816.1	XP_047272365.1	0	N/A	56.600	447	19	1.35e-151	516	terminal uridylyltransferase 4 isoform X38 [Homo sapiens]	TRUE	Tut4
XP_064626816.1	XP_016856297.1	0	N/A	56.600	447	19	1.54e-151	515	terminal uridylyltransferase 4 isoform X36 [Homo sapiens]	TRUE	Tut4
XP_064626816.1	XP_005270739.1	0	N/A	56.600	447	19	2.22e-151	515	terminal uridylyltransferase 4 isoform X33 [Homo sapiens]	TRUE	Tut4
XP_064626816.1	XP_047272345.1	0	N/A	56.600	447	19	2.48e-151	515	terminal uridylyltransferase 4 isoform X31 [Homo sapiens]	TRUE	Tut4
XP_064626816.1	XP_016856293.1	0	N/A	56.600	447	19	2.89e-151	516	terminal uridylyltransferase 4 isoform X16 [Homo sapiens]	TRUE	Tut4
XP_064626816.1	XP_047272288.1	0	N/A	56.600	447	19	3.08e-151	516	terminal uridylyltransferase 4 isoform X10 [Homo sapiens]	TRUE	Tut4
XP_064626816.1	XP_016856296.1	0	N/A	56.600	447	19	3.99e-151	515	terminal uridylyltransferase 4 isoform X28 [Homo sapiens]	TRUE	Tut4
XP_064626816.1	XP_011539401.1	0	N/A	56.600	447	19	4.10e-151	514	terminal uridylyltransferase 4 isoform X29 [Homo sapiens]	TRUE	Tut4
XP_064626816.1	XP_016856292.1	0	N/A	56.600	447	19	4.47e-151	516	terminal uridylyltransferase 4 isoform X9 [Homo sapiens]	TRUE	Tut4
XP_064626816.1	XP_047272285.1	0	N/A	56.600	447	19	4.55e-151	516	terminal uridylyltransferase 4 isoform X7 [Homo sapiens]	TRUE	Tut4
XP_064626816.1	XP_047272337.1	0	N/A	56.600	447	19	4.88e-151	515	terminal uridylyltransferase 4 isoform X27 [Homo sapiens]	TRUE	Tut4
