qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_648914.1	XP_047290433.1	0	N/A	27.273	330	91	3.14e-34	133	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
XP_648914.1	XP_047290432.1	0	N/A	26.686	341	95	5.07e-34	134	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
XP_648914.1	XP_047290431.1	0	N/A	26.686	341	95	5.82e-34	134	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
XP_648914.1	XP_011521580.1	0	N/A	27.273	330	91	6.98e-34	132	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
XP_648914.1	NP_001352252.1	0	N/A	26.686	341	95	9.00e-34	134	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
XP_648914.1	NP_001035375.2	0	N/A	26.686	341	95	9.12e-34	133	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
XP_648914.1	XP_011521578.1	0	N/A	26.686	341	95	9.16e-34	133	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
XP_648914.1	NP_001352253.1	0	N/A	26.686	341	95	1.15e-33	133	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
XP_648914.1	NP_001035374.2	0	N/A	26.686	341	95	1.48e-33	133	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
XP_648914.1	XP_011521577.1	0	N/A	26.686	341	95	1.48e-33	133	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
XP_648914.1	NP_001165276.2	0	N/A	27.545	334	93	3.04e-31	126	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
XP_648914.1	NP_008930.2	0	N/A	27.545	334	93	3.34e-31	126	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
XP_648914.1	XP_047272622.1	0	N/A	27.586	319	89	8.86e-31	124	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_648914.1	XP_047272621.1	0	N/A	27.586	319	89	8.86e-31	124	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_648914.1	XP_047272620.1	0	N/A	27.586	319	89	8.86e-31	124	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_648914.1	XP_047272623.1	0	N/A	27.157	313	87	6.74e-29	119	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_648914.1	XP_016864477.1	0	N/A	27.157	313	87	6.74e-29	119	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_648914.1	XP_047272624.1	0	N/A	27.157	313	87	7.24e-29	119	terminal nucleotidyltransferase 4A isoform X3 [Homo sapiens]	TRUE	TENT4A
XP_648914.1	NP_001317647.1	0	N/A	24.260	169	50	3.86e-07	54.3	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_648914.1	XP_005252265.1	0	N/A	24.260	169	50	5.68e-07	53.9	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
XP_648914.1	XP_011517316.1	0	N/A	24.260	169	50	5.88e-07	53.9	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_648914.1	XP_011517315.1	0	N/A	24.260	169	50	5.88e-07	53.9	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_648914.1	XP_011517314.1	0	N/A	24.260	169	50	5.88e-07	53.9	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_648914.1	XP_011517313.1	0	N/A	24.260	169	50	5.88e-07	53.9	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_648914.1	XP_011517317.1	0	N/A	24.260	169	50	5.93e-07	53.9	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
XP_648914.1	XP_011517318.1	0	N/A	24.260	169	50	6.11e-07	53.9	terminal uridylyltransferase 7 isoform X5 [Homo sapiens]	TRUE	Tut7
XP_648914.1	XP_047279825.1	0	N/A	24.260	169	50	6.27e-07	53.9	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_648914.1	XP_047279824.1	0	N/A	24.260	169	50	6.27e-07	53.9	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_648914.1	XP_005252264.1	0	N/A	24.260	169	50	6.27e-07	53.9	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_648914.1	XP_047279823.1	0	N/A	24.260	169	50	6.71e-07	53.9	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_648914.1	XP_006717346.1	0	N/A	24.260	169	50	6.71e-07	53.9	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_648914.1	XP_016870620.1	0	N/A	24.260	169	50	6.86e-07	53.9	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_648914.1	XP_016870619.1	0	N/A	24.260	169	50	6.86e-07	53.9	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_648914.1	NP_078893.2	0	N/A	24.260	169	50	6.86e-07	53.9	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_648914.1	NP_001171988.1	0	N/A	24.260	169	50	6.86e-07	53.9	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_648914.1	NP_001375065.1	0	N/A	27.419	186	54	2.22e-06	51.6	poly(A) RNA polymerase GLD2 isoform 14 [Homo sapiens]	TRUE	TENT2
XP_648914.1	XP_047279826.1	0	N/A	23.377	154	46	2.52e-06	52.0	terminal uridylyltransferase 7 isoform X8 [Homo sapiens]	TRUE	Tut7
XP_648914.1	NP_001375059.1	0	N/A	27.419	186	54	3.40e-06	51.2	poly(A) RNA polymerase GLD2 isoform 10 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375061.1	0	N/A	27.419	186	54	3.55e-06	50.8	poly(A) RNA polymerase GLD2 isoform 12 [Homo sapiens]	TRUE	TENT2
XP_648914.1	XP_047272811.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_648914.1	XP_047272810.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_648914.1	XP_047272809.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375058.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375057.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375056.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375055.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375054.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375053.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375052.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375051.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375050.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375049.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375048.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375047.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375046.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375045.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375044.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001375043.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001336483.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	NP_001284673.1	0	N/A	27.419	186	54	3.59e-06	51.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_648914.1	XP_005270735.1	0	N/A	24.599	187	54	4.19e-06	51.2	terminal uridylyltransferase 4 isoform X2 [Homo sapiens]	TRUE	Tut4
