qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_007887630.1	NP_001352253.1	0	N/A	63.187	728	100	0.0	801	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
XP_007887630.1	NP_001352252.1	0	N/A	62.429	708	97	0.0	758	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
XP_007887630.1	XP_047290431.1	0	N/A	59.890	728	100	0.0	749	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
XP_007887630.1	XP_011521577.1	0	N/A	66.935	620	84	0.0	734	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
XP_007887630.1	NP_001035374.2	0	N/A	66.935	620	84	0.0	734	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
XP_007887630.1	XP_047290432.1	0	N/A	59.040	708	97	0.0	708	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
XP_007887630.1	XP_011521578.1	0	N/A	63.065	620	84	0.0	684	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
XP_007887630.1	NP_001035375.2	0	N/A	63.065	620	84	0.0	684	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
XP_007887630.1	XP_011521580.1	0	N/A	72.619	504	72	0.0	672	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
XP_007887630.1	XP_047290433.1	0	N/A	67.857	504	72	0.0	621	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
XP_007887630.1	NP_008930.2	0	N/A	60.499	481	67	0.0	564	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
XP_007887630.1	NP_001165276.2	0	N/A	60.499	481	67	0.0	564	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
