qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
NP_014100.2	XP_047290433.1	0	N/A	36.392	316	49	1.93e-54	195	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
NP_014100.2	XP_011521580.1	0	N/A	36.709	316	49	3.95e-54	195	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
NP_014100.2	NP_008930.2	0	N/A	35.256	312	48	1.86e-53	198	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
NP_014100.2	NP_001165276.2	0	N/A	35.256	312	48	2.03e-53	198	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
NP_014100.2	NP_001035375.2	0	N/A	37.582	306	47	6.87e-53	194	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
NP_014100.2	XP_011521578.1	0	N/A	37.582	306	47	6.97e-53	194	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
NP_014100.2	XP_047290432.1	0	N/A	37.255	306	47	8.02e-53	194	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
NP_014100.2	NP_001035374.2	0	N/A	37.582	306	47	9.56e-53	195	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
NP_014100.2	XP_011521577.1	0	N/A	37.582	306	47	9.68e-53	195	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
NP_014100.2	NP_001352252.1	0	N/A	37.255	306	47	1.37e-52	194	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
NP_014100.2	XP_047290431.1	0	N/A	37.255	306	47	1.41e-52	194	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
NP_014100.2	XP_047272622.1	0	N/A	34.884	301	47	1.45e-52	191	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
NP_014100.2	XP_047272621.1	0	N/A	34.884	301	47	1.45e-52	191	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
NP_014100.2	XP_047272620.1	0	N/A	34.884	301	47	1.45e-52	191	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
NP_014100.2	NP_001352253.1	0	N/A	37.255	306	47	1.86e-52	194	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
NP_014100.2	XP_047272623.1	0	N/A	35.052	291	45	1.17e-50	186	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
NP_014100.2	XP_016864477.1	0	N/A	35.052	291	45	1.17e-50	186	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
NP_014100.2	XP_047272624.1	0	N/A	35.052	291	45	1.55e-50	186	terminal nucleotidyltransferase 4A isoform X3 [Homo sapiens]	TRUE	TENT4A
NP_014100.2	NP_001375059.1	0	N/A	22.154	325	44	3.87e-08	58.9	poly(A) RNA polymerase GLD2 isoform 10 [Homo sapiens]	TRUE	TENT2
NP_014100.2	NP_001375061.1	0	N/A	22.154	325	44	3.94e-08	58.9	poly(A) RNA polymerase GLD2 isoform 12 [Homo sapiens]	TRUE	TENT2
NP_014100.2	XP_047272811.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_014100.2	XP_047272810.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_014100.2	XP_047272809.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_014100.2	NP_001375058.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_014100.2	NP_001375057.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_014100.2	NP_001375056.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_014100.2	NP_001375055.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_014100.2	NP_001375054.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_014100.2	NP_001375053.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_014100.2	NP_001375052.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_014100.2	NP_001375051.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_014100.2	NP_001375050.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_014100.2	NP_001375049.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_014100.2	NP_001375048.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_014100.2	NP_001375047.1	0	N/A	22.154	325	44	4.08e-08	58.9	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
