qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_014160402.1	XP_016856292.1	0	N/A	29.855	345	28	1.45e-30	133	terminal uridylyltransferase 4 isoform X9 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272285.1	0	N/A	29.513	349	28	1.62e-30	133	terminal uridylyltransferase 4 isoform X7 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_016856297.1	0	N/A	29.855	345	28	1.81e-30	133	terminal uridylyltransferase 4 isoform X36 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272290.1	0	N/A	29.855	345	28	1.85e-30	133	terminal uridylyltransferase 4 isoform X11 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_005270739.1	0	N/A	29.462	353	28	1.93e-30	133	terminal uridylyltransferase 4 isoform X33 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272280.1	0	N/A	29.855	345	28	1.95e-30	133	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_005270736.1	0	N/A	29.855	345	28	1.95e-30	133	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272286.1	0	N/A	29.462	353	28	2.09e-30	133	terminal uridylyltransferase 4 isoform X8 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_016856293.1	0	N/A	29.855	345	28	2.12e-30	133	terminal uridylyltransferase 4 isoform X16 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272288.1	0	N/A	32.203	295	27	2.12e-30	133	terminal uridylyltransferase 4 isoform X10 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_011539401.1	0	N/A	29.462	353	28	2.15e-30	133	terminal uridylyltransferase 4 isoform X29 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_005270735.1	0	N/A	29.513	349	28	2.16e-30	133	terminal uridylyltransferase 4 isoform X2 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272345.1	0	N/A	29.855	345	28	2.20e-30	133	terminal uridylyltransferase 4 isoform X31 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_011539399.1	0	N/A	29.462	353	28	2.26e-30	133	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_005270733.1	0	N/A	29.462	353	28	2.26e-30	133	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272295.1	0	N/A	32.203	295	27	2.56e-30	132	terminal uridylyltransferase 4 isoform X12 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272344.1	0	N/A	32.203	295	27	2.61e-30	132	terminal uridylyltransferase 4 isoform X30 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272296.1	0	N/A	29.513	349	28	2.65e-30	132	terminal uridylyltransferase 4 isoform X13 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272365.1	0	N/A	29.513	349	28	2.68e-30	132	terminal uridylyltransferase 4 isoform X38 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272282.1	0	N/A	29.513	349	28	2.72e-30	132	terminal uridylyltransferase 4 isoform X5 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	NP_056084.1	0	N/A	29.513	349	28	2.72e-30	132	terminal uridylyltransferase 4 isoform b [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272283.1	0	N/A	29.855	345	28	2.74e-30	132	terminal uridylyltransferase 4 isoform X6 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_005270737.1	0	N/A	29.855	345	28	2.74e-30	132	terminal uridylyltransferase 4 isoform X6 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272372.1	0	N/A	29.513	349	28	2.74e-30	132	terminal uridylyltransferase 4 isoform X42 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272305.1	0	N/A	29.855	345	28	2.76e-30	132	terminal uridylyltransferase 4 isoform X17 [Homo sapiens]	TRUE	Tut4
XP_014160402.1	XP_047272325.1	0	N/A	29.513	349	28	2.80e-30	132	terminal uridylyltransferase 4 isoform X23 [Homo sapiens]	TRUE	Tut4
