Target_Clade	Accession	RefSeq_Status	Coverage	N50	Genome_Size	TaxID	Organism_Name
Cephalochordata	GCF_000003815.2	reference genome	10.32	50413	513445848	7739	Branchiostoma floridae
Cephalochordata	GCF_035083965.1	reference genome	87.25	11195901	458287516	7740	Branchiostoma lanceolatum
Cephalochordata	GCF_001625305.1	reference genome	29.86	47280	426108443	7741	Branchiostoma belcheri
Cephalochordata	GCF_015852565.1	reference genome	48	6372543	490782628	2700039	Branchiostoma floridae x Branchiostoma japonicum
Cephalochordata	GCF_019207075.1	reference genome	43	8162029	405532174	2700040	Branchiostoma floridae x Branchiostoma belcheri
Cyclostomata	GCF_964198595.1	reference genome	36	1289502	1042458987	7748	Lampetra fluviatilis
Cyclostomata	GCF_965212315.1	reference genome	44	3005152	960362263	7750	Lampetra planeri
Cyclostomata	GCF_015708825.2	reference genome	96.13	1412731	1063012140	7753	Lethenteron reissneri
Cyclostomata	GCA_036362905.1	reference genome	400	8019	789044620	7755	Mordacia mordax
Cyclostomata	GCF_048934315.1	reference genome	44	4594409	1808332251	7757	Petromyzon marinus
Cyclostomata	GCA_056783735.1	reference genome	100.64	1450558	1996277198	7764	Eptatretus burgeri
Cyclostomata	GCA_041222605.1	reference genome	134	2770831	1888650646	7767	Eptatretus okinoseanus
Cyclostomata	GCF_964187855.1	reference genome	30	739991	3057504053	7769	Myxine glutinosa
Cyclostomata	GCA_035128595.1	reference genome	250	12689	2517612418	50612	Eptatretus atami
Cyclostomata	GCA_036362915.1	reference genome	90	11576	559983274	71168	Geotria australis
Cyclostomata	GCA_050491395.1	reference genome	45.87	17750	1018031888	104635	Lampetra richardsoni
Cyclostomata	GCA_014621495.2	reference genome	43	19580	927744424	245074	Entosphenus tridentatus
Cyclostomata	GCA_056783725.1	reference genome	50.64	5931492	949764836	682880	Eudontomyzon morii
Cyclostomata	GCA_018977245.1	reference genome	87.8	1601692	1074727531	980415	Lethenteron camtschaticum
Cyclostomata	GCA_029874635.1	reference genome	16.1501	2668	814160352	1483049	Lampetra auremensis
Urochordata	GCF_018327825.1	reference genome	1352	2616636	140258035	7719	Ciona intestinalis
Urochordata	GCF_964204865.1	reference genome	75	17108000	376784849	7725	Styela clava
Urochordata	GCA_963675895.2	reference genome	78	879868	419162547	7726	Styela plicata
Urochordata	GCA_013436055.1	reference genome	200	71606	119682510	7729	Halocynthia roretzi
Urochordata	GCF_051294905.1	reference genome	146	4368170	495547953	30301	Botryllus schlosseri
Urochordata	GCA_965202585.1	reference genome	80	12003043	801799274	34761	Thalia democratica
Urochordata	GCF_907165135.1	reference genome	222	4700139	64272340	34765	Oikopleura dioica
Urochordata	GCA_947561715.1	reference genome	74	11890000	196955708	38561	Ascidia mentula
Urochordata	GCA_054131345.1	reference genome	111	1497412	200650097	51511	Ciona savignyi
Urochordata	GCF_965637545.1	reference genome	100	1013036	240331983	59560	Phallusia mammillata
Urochordata	GCA_982130965.1	reference genome	74	9128188	202696769	62933	Botrylloides diegensis
Urochordata	GCA_031471845.1	reference genome	50	2591	334205069	63515	Boltenia villosa
Urochordata	GCA_004367895.1	reference genome	68	2440	308740099	107032	Oikopleura longicauda
Urochordata	GCF_947623445.1	reference genome	117	8263119	210074726	159417	Clavelina lepadiformis
Urochordata	GCA_965643625.1	reference genome	95	941224	288529684	168635	Diplosoma listerianum
Urochordata	GCA_963924565.2	reference genome	61	6569131	307814533	201961	Ascidiella aspersa
Urochordata	GCA_965234635.1	reference genome	34	6987731	152230394	201963	Halocynthia papillosa
Urochordata	GCA_013436065.1	reference genome	250	19964	128100739	254849	Halocynthia aurantium
Urochordata	GCA_978019705.1	reference genome	44	3267206	559736880	286151	Aplidium elegans
