qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_013760484.1	NP_001317647.1	0	N/A	35.000	220	37	9.49e-30	127	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_013760484.1	XP_047272384.1	0	N/A	36.190	210	35	2.16e-29	126	terminal uridylyltransferase 4 isoform X46 [Homo sapiens]	TRUE	Tut4
XP_013760484.1	XP_047279823.1	0	N/A	35.000	220	37	2.37e-29	126	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_013760484.1	XP_006717346.1	0	N/A	35.000	220	37	2.37e-29	126	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_013760484.1	XP_011517317.1	0	N/A	35.000	220	37	2.64e-29	126	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
XP_013760484.1	XP_011517316.1	0	N/A	35.000	220	37	2.67e-29	126	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_013760484.1	XP_011517315.1	0	N/A	35.000	220	37	2.67e-29	126	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_013760484.1	XP_011517314.1	0	N/A	35.000	220	37	2.67e-29	126	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_013760484.1	XP_011517313.1	0	N/A	35.000	220	37	2.67e-29	126	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_013760484.1	XP_047279825.1	0	N/A	35.000	220	37	2.69e-29	126	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_013760484.1	XP_047279824.1	0	N/A	35.000	220	37	2.69e-29	126	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
