qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
NP_001018181.1	XP_047290433.1	0	N/A	39.233	339	48	6.62e-66	227	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	XP_011521580.1	0	N/A	39.233	339	48	6.76e-66	228	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	NP_001035374.2	0	N/A	38.701	354	50	2.05e-65	231	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	XP_011521577.1	0	N/A	38.701	354	50	2.09e-65	231	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	NP_001035375.2	0	N/A	38.701	354	50	2.23e-65	230	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	XP_011521578.1	0	N/A	38.701	354	50	2.27e-65	230	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	XP_047290432.1	0	N/A	38.701	354	50	4.18e-65	229	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	NP_001352252.1	0	N/A	38.701	354	50	4.78e-65	230	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	NP_001352253.1	0	N/A	38.701	354	50	6.75e-65	230	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	XP_047290431.1	0	N/A	38.701	354	50	8.43e-65	229	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	NP_008930.2	0	N/A	39.185	319	46	3.04e-62	224	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	NP_001165276.2	0	N/A	39.185	319	46	4.41e-62	223	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	XP_047272622.1	0	N/A	39.61	308	44	3.28e-60	213	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	XP_047272621.1	0	N/A	39.61	308	44	3.28e-60	213	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	XP_047272620.1	0	N/A	39.61	308	44	3.28e-60	213	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	XP_047272623.1	0	N/A	39.13	299	43	4.25e-56	202	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	XP_016864477.1	0	N/A	39.13	299	43	4.25e-56	202	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	XP_047272624.1	0	N/A	39.13	299	43	4.85e-56	201	terminal nucleotidyltransferase 4A isoform X3 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	NP_001375061.1	0	N/A	24.537	216	27	5.78e-11	67.8	poly(A) RNA polymerase GLD2 isoform 12 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272811.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272810.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272809.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375058.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375057.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375056.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375055.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375054.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375053.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375052.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375051.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
