qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_004347522.1	NP_008930.2	0	N/A	29.492	295	18	1.79e-32	139	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
XP_004347522.1	NP_001165276.2	0	N/A	29.492	295	18	1.89e-32	139	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
XP_004347522.1	XP_011521580.1	0	N/A	28.425	292	18	1.90e-31	133	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
XP_004347522.1	XP_047290433.1	0	N/A	28.425	292	18	2.46e-31	132	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
XP_004347522.1	NP_001035374.2	0	N/A	28.136	295	18	3.47e-31	134	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
XP_004347522.1	XP_011521577.1	0	N/A	28.136	295	18	3.49e-31	134	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
XP_004347522.1	NP_001035375.2	0	N/A	28.136	295	18	4.79e-31	134	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
XP_004347522.1	XP_011521578.1	0	N/A	28.136	295	18	4.83e-31	134	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
XP_004347522.1	NP_001352252.1	0	N/A	28.136	295	18	6.82e-31	134	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
XP_004347522.1	NP_001352253.1	0	N/A	28.136	295	18	7.96e-31	133	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
XP_004347522.1	XP_047290431.1	0	N/A	28.136	295	18	8.73e-31	133	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
XP_004347522.1	XP_047290432.1	0	N/A	28.136	295	18	9.32e-31	132	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
XP_004347522.1	XP_047272622.1	0	N/A	29.368	269	17	3.32e-29	127	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_004347522.1	XP_047272621.1	0	N/A	29.368	269	17	3.32e-29	127	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_004347522.1	XP_047272620.1	0	N/A	29.368	269	17	3.32e-29	127	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_004347522.1	XP_047272623.1	0	N/A	29.368	269	17	3.93e-29	126	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_004347522.1	XP_016864477.1	0	N/A	29.368	269	17	3.93e-29	126	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_004347522.1	XP_047272624.1	0	N/A	29.368	269	17	4.91e-29	126	terminal nucleotidyltransferase 4A isoform X3 [Homo sapiens]	TRUE	TENT4A
XP_004347522.1	XP_016870620.1	0	N/A	22.101	276	15	2.40e-10	68.6	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_004347522.1	XP_016870619.1	0	N/A	22.101	276	15	2.40e-10	68.6	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_004347522.1	NP_078893.2	0	N/A	22.101	276	15	2.40e-10	68.6	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_004347522.1	NP_001171988.1	0	N/A	22.101	276	15	2.40e-10	68.6	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
