NP_003052.2	XP_067909244.1	75.837	1523	99	0.0	2376	slit homolog 1 protein-like isoform X1 [Heterodontus francisci]
NP_003052.2	XP_032882164.1	64.652	1522	99	0.0	2064	slit homolog 2 protein isoform X4 [Amblyraja radiata]
NP_003052.2	XP_072335773.1	76.507	1277	91	0.0	1989	slit homolog 1 protein-like isoform X5 [Scyliorhinus torazame]
NP_003052.2	XP_072335773.1	35.577	104	91	1.80e-07	57.0	slit homolog 1 protein-like isoform X5 [Scyliorhinus torazame]
NP_003052.2	XP_072335773.1	31.496	127	91	0.014	40.8	slit homolog 1 protein-like isoform X5 [Scyliorhinus torazame]
NP_003052.2	XP_072335773.1	31.818	88	91	0.38	36.2	slit homolog 1 protein-like isoform X5 [Scyliorhinus torazame]
NP_003052.2	GCB68370.1	59.671	1520	99	0.0	1887	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	XP_055498610.1	58.951	1335	98	0.0	1583	slit homolog 3 protein-like isoform X2 [Leucoraja erinaceus]
NP_003052.2	XP_055498610.1	31.322	696	98	3.78e-98	346	slit homolog 3 protein-like isoform X2 [Leucoraja erinaceus]
NP_003052.2	GCB64122.1	58.388	769	86	0.0	977	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB64122.1	32.184	174	86	1.25e-20	99.4	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB64122.1	31.111	180	86	7.39e-19	93.6	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB64122.1	35.433	127	86	2.36e-17	89.0	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB64122.1	26.263	99	86	8.53e-05	48.1	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB64122.1	42.105	57	86	0.001	44.3	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB72530.1	72.171	654	59	0.0	960	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB72530.1	32.805	631	59	7.07e-99	333	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB72530.1	31.915	517	59	3.71e-80	279	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB72530.1	30.479	397	59	3.14e-55	205	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB72530.1	33.333	99	59	8.79e-05	47.8	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB79762.1	78.998	419	75	0.0	676	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB79762.1	32.258	372	75	4.23e-56	202	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB79762.1	32.642	386	75	1.84e-52	192	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB79762.1	25.103	243	75	1.51e-17	87.8	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB79762.1	31.250	160	75	8.44e-13	73.2	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB79762.1	29.762	84	75	0.001	43.9	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB79762.1	35.938	64	75	0.015	40.4	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB79762.1	32.432	74	75	0.082	38.1	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB79762.1	31.081	74	75	3.9	32.7	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB81169.1	65.385	182	42	3.35e-68	226	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB81169.1	40.476	126	42	1.34e-23	98.6	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB81169.1	36.923	130	42	3.06e-20	89.0	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB81169.1	31.783	129	42	1.57e-18	84.0	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB81169.1	35.000	80	42	3.84e-04	42.7	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB81169.1	33.898	59	42	0.005	39.7	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB82280.1	75.969	129	11	1.61e-63	212	hypothetical protein [Scyliorhinus torazame]
NP_003052.2	GCB82280.1	40.426	47	11	0.047	36.6	hypothetical protein [Scyliorhinus torazame]
