Target_Clade	Accession	RefSeq_Status	Coverage	N50	Genome_Size	TaxID	Organism_Name
Choanoflagellata	GCF_000002865.3	reference genome	na	49874	41633360	431895	Monosiga brevicollis MX1
Choanoflagellata	GCF_000188695.1	reference genome	33.07	34760	55440309	946362	Salpingoeca rosetta
Choanoflagellata	GCA_056507845.1	reference genome	350	454500	52290666	2572930	Choanoeca flexa
Porifera	GCF_947507565.1	reference genome	393	506373	65248392	121494	Oscarella lobularis
Porifera	GCF_964019385.1	reference genome	121	620096	539574681	27933	Sycon ciliatum
Porifera	GCA_057556815.1	reference genome	107.03	7075925	160239288	97977	Farrea occa
Porifera	GCF_000090795.2	reference genome	8	12197	164242647	400682	Amphimedon queenslandica
Porifera	GCA_049114765.1	reference genome	100	2184802	230252502	6052	Ephydatia muelleri
Porifera	GCA_982936665.1	reference genome	400	547198	293539101	263142	Cinachyrella apion
Porifera	GCA_965643675.1	reference genome	63	3862293	197672554	289398	Aplysina cauliformis
Porifera	GCA_977118375.1	reference genome	72	5341898	96282735	86007	Suberites ficus
Porifera	GCA_963924555.1	reference genome	459	3453662	143177948	3722	Crambe crambe
Porifera	GCA_964205185.2	reference genome	464	5505224	111574530	283519	Tethya californiana
Ctenophora	GCA_946803715.1	reference genome	48	18289	91597139	10201	Beroe ovata
Ctenophora	GCA_048537945.1	reference genome	450	3726882	208176570	27923	Mnemiopsis leidyi
Ctenophora	GCA_046161365.1	reference genome	160	2465	132711383	34499	Pleurobrachia bachei
Ctenophora	GCA_011033025.1	reference genome	290	208539	218968635	140453	Beroe forskalii
Ctenophora	GCA_965231305.1	reference genome	155	164823	313740538	140496	Mertensia ovum
Ctenophora	GCA_976929535.1	reference genome	34	487362	547923199	320166	Beroe abyssicola
Ctenophora	GCA_020137815.1	reference genome	499	595295	110678691	1403702	Hormiphora californensis
Ctenophora	GCA_031471255.1	reference genome	50	1625	465244027	1566677	Dryodora glandiformis
Ctenophora	GCA_976914215.1	reference genome	180	808598	288346793	2516999	Bolinopsis mikado
Ctenophora	GCF_026151205.1	reference genome	108	3068845	265435384	2820187	Bolinopsis microptera
Ctenophora	GCA_977014805.1	na	62	216517	199480560	3027315	Bolinopsis sp. AMAMI
Placozoa	GCF_000150275.1	reference genome	na	204191	105631681	10228	Trichoplax adhaerens
Placozoa	GCA_003344405.1	na	80	91942	94878730	287889	Trichoplax sp. H2
Cnidaria	GCF_037890685.1	reference genome	20	56075473	834212037	6087	Hydra vulgaris
