qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_077863534.1	NP_001035375.2	0	N/A	56.873	371	53	1.60e-132	404	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
XP_077863534.1	XP_011521578.1	0	N/A	56.873	371	53	1.64e-132	404	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
XP_077863534.1	XP_047290432.1	0	N/A	56.720	372	53	2.24e-132	404	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
XP_077863534.1	NP_001035374.2	0	N/A	56.873	371	53	2.89e-132	405	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
XP_077863534.1	XP_011521577.1	0	N/A	56.873	371	53	2.97e-132	405	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
XP_077863534.1	NP_001352252.1	0	N/A	56.873	371	53	2.98e-132	405	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
XP_077863534.1	XP_047290431.1	0	N/A	56.873	371	53	5.00e-132	404	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
XP_077863534.1	NP_001352253.1	0	N/A	56.873	371	53	7.53e-132	405	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
XP_077863534.1	XP_047290433.1	0	N/A	67.273	275	44	2.23e-129	390	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
XP_077863534.1	XP_011521580.1	0	N/A	67.273	275	44	3.08e-129	392	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
XP_077863534.1	NP_008930.2	0	N/A	54.768	367	53	4.39e-128	397	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
XP_077863534.1	NP_001165276.2	0	N/A	54.768	367	53	6.70e-128	397	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
XP_077863534.1	XP_047272622.1	0	N/A	63.860	285	46	7.57e-128	389	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_077863534.1	XP_047272621.1	0	N/A	63.860	285	46	7.57e-128	389	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_077863534.1	XP_047272620.1	0	N/A	63.860	285	46	7.57e-128	389	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_077863534.1	XP_047272624.1	0	N/A	63.860	285	46	1.28e-127	388	terminal nucleotidyltransferase 4A isoform X3 [Homo sapiens]	TRUE	TENT4A
XP_077863534.1	XP_047272623.1	0	N/A	63.860	285	46	1.30e-127	388	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_077863534.1	XP_016864477.1	0	N/A	63.860	285	46	1.30e-127	388	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_077863534.1	NP_001336477.1	0	N/A	24.272	206	28	2.97e-09	60.8	poly(A) RNA polymerase GLD2 isoform 4 [Homo sapiens]	TRUE	TENT2
XP_077863534.1	XP_047272820.1	0	N/A	24.272	206	28	3.66e-09	60.5	poly(A) RNA polymerase GLD2 isoform X11 [Homo sapiens]	TRUE	TENT2
XP_077863534.1	XP_047272811.1	0	N/A	24.272	206	28	6.03e-09	61.2	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_077863534.1	XP_047272810.1	0	N/A	24.272	206	28	6.03e-09	61.2	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_077863534.1	XP_047272809.1	0	N/A	24.272	206	28	6.03e-09	61.2	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_077863534.1	NP_001375058.1	0	N/A	24.272	206	28	6.03e-09	61.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_077863534.1	NP_001375057.1	0	N/A	24.272	206	28	6.03e-09	61.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_077863534.1	NP_001375056.1	0	N/A	24.272	206	28	6.03e-09	61.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_077863534.1	NP_001375055.1	0	N/A	24.272	206	28	6.03e-09	61.2	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
