qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_005718582.1	XP_047290433.1	0	N/A	38.267	277	29	6.29e-51	189	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
XP_005718582.1	NP_008930.2	0	N/A	33.618	351	36	9.19e-51	194	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
XP_005718582.1	NP_001165276.2	0	N/A	33.618	351	36	1.04e-50	194	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
XP_005718582.1	NP_001035375.2	0	N/A	37.627	295	30	2.04e-50	191	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
XP_005718582.1	XP_011521578.1	0	N/A	37.627	295	30	2.07e-50	191	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
XP_005718582.1	XP_011521580.1	0	N/A	38.519	270	28	2.64e-50	188	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
XP_005718582.1	NP_001035374.2	0	N/A	37.847	288	29	4.45e-50	191	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
XP_005718582.1	XP_011521577.1	0	N/A	37.847	288	29	4.50e-50	191	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
XP_005718582.1	XP_047290431.1	0	N/A	37.627	295	30	4.95e-50	190	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
XP_005718582.1	XP_047290432.1	0	N/A	37.627	295	30	5.29e-50	190	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
XP_005718582.1	NP_001352253.1	0	N/A	37.847	288	29	1.06e-49	190	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
XP_005718582.1	NP_001352252.1	0	N/A	37.847	288	29	1.15e-49	190	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
XP_005718582.1	XP_047272622.1	0	N/A	37.255	255	27	2.13e-47	180	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_005718582.1	XP_047272621.1	0	N/A	37.255	255	27	2.13e-47	180	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_005718582.1	XP_047272620.1	0	N/A	37.255	255	27	2.13e-47	180	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_005718582.1	XP_047272623.1	0	N/A	37.143	245	26	2.98e-45	174	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_005718582.1	XP_016864477.1	0	N/A	37.143	245	26	2.98e-45	174	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_005718582.1	XP_047272624.1	0	N/A	37.143	245	26	3.89e-45	173	terminal nucleotidyltransferase 4A isoform X3 [Homo sapiens]	TRUE	TENT4A
