Target_Clade	Accession	RefSeq_Status	Coverage	N50	Genome_Size	TaxID	Organism_Name
Choanoflagellata	GCF_000002865.3	reference genome	na	49874	41633360	431895	Monosiga brevicollis MX1
Choanoflagellata	GCF_000188695.1	reference genome	33.07	34760	55440309	946362	Salpingoeca rosetta
Choanoflagellata	GCA_056507845.1	reference genome	350	454500	52290666	2572930	Choanoeca flexa
Porifera	GCA_963924555.1	reference genome	459	3453662	143177948	3722	Crambe crambe
Porifera	GCA_049114765.1	reference genome	100	2184802	230252502	6052	Ephydatia muelleri
Porifera	GCA_949361645.1	reference genome	34	254100	248704581	6055	Spongilla lacustris
Porifera	GCF_963675165.1	reference genome	221	1456123	131456761	6063	Halichondria panicea
Porifera	GCA_964261215.2	reference genome	514	606803	137764085	12959	Axinella polypoides
Porifera	GCF_964019385.1	reference genome	121	620096	539574681	27933	Sycon ciliatum
Porifera	GCA_963970385.1	reference genome	65	729369	144146287	37505	Theonella swinhoei
Porifera	GCA_947044365.1	reference genome	25	3950187	191254924	68564	Petrosia ficiformis
Porifera	GCA_947172415.1	reference genome	70	4706000	117372766	68574	Chondrosia reniformis
Porifera	GCA_963931865.1	reference genome	228	298719	234878808	72671	Axinella damicornis
Porifera	GCA_949130485.1	reference genome	101	2293598	260658830	72715	Agelas oroides
Porifera	GCA_965653895.1	reference genome	67	1952367	159956449	77183	Pachymatisma johnstonia
Porifera	GCA_977118375.1	reference genome	72	5341898	96282735	86007	Suberites ficus
Porifera	GCA_963681505.1	reference genome	118	486828	218913622	91661	Eunapius fragilis
Porifera	GCA_057556815.1	reference genome	107.03	7075925	160239288	97977	Farrea occa
Porifera	GCA_024704765.1	reference genome	186	303044	61460524	111878	Oopsacas minuta
Porifera	GCA_964659575.1	reference genome	108	5100857	168115279	121477	Aplysina cavernicola
Porifera	GCF_963422355.1	reference genome	70	1297407	185491545	121492	Corticium candelabrum
Porifera	GCF_947507565.1	reference genome	393	506373	65248392	121494	Oscarella lobularis
Porifera	GCA_964277205.1	reference genome	244	2687627	85671308	177572	Haliclona xena
Porifera	GCA_977006895.1	reference genome	61	3657595	133497951	177573	Hymeniacidon perlevis
Porifera	GCA_977071075.1	reference genome	96	1350000	116804784	178540	Callyspongia vaginalis
Porifera	GCA_982297855.1	reference genome	380	5429708	95285205	178543	Haliclona vansoesti
Porifera	GCA_963693285.1	reference genome	72	1868977	158517255	178552	Xestospongia muta
Porifera	GCA_963678975.2	reference genome	37	1714350	550830897	190527	Dysidea cf. avara
