taxid	taxonomy	selected_accession	n_proteins_in_selected_assembly
352472	Amoebozoa-Evosea	GCA_000004695.1	28729
294381	Amoebozoa-Evosea	GCA_057946535.1	16910
1257118	Amoebozoa-Discosea	GCF_000313135.1	14958
461836	Obazoa-Apusomonadida	GCF_000142905.1	10600
691883	Obazoa-Holomycota-Nucleariida	GCF_000388065.1	6414
284813	Obazoa-Holomycota-Microsporidia	GCF_000091225.2	2422
684364	Obazoa-Holomycota-Chytridiomycota	GCA_000203795.2	8562
246409	Obazoa-Holomycota-Mucoromycota	GCF_000149305.1	19760
588596	Obazoa-Holomycota-Glomeromycota	GCF_026210795.1	32496
559292	Obazoa-Holomycota-Ascomycota	GCA_016858165.1	11192
4896	Obazoa-Holomycota-Ascomycota	GCF_000002945.2	5247
367110	Obazoa-Holomycota-Ascomycota	GCF_000182925.2	12013
5270	Obazoa-Holomycota-Basidiomycota	GCF_000328475.2	6783
667725	Obazoa-Holozoa-Ichthyosporea	GCF_001186125.1	18857
595528	Obazoa-Holozoa-Filasterea	GCF_000151315.2	8942
431895	Obazoa-Holozoa-Choanoflagellatea	GCF_000002865.3	9106
946362	Obazoa-Holozoa-Choanoflagellatea	GCF_000188695.1	11676
400682	Obazoa-Holozoa-Metazoa	GCF_000090795.2	25553
2820187	Obazoa-Holozoa-Metazoa	GCF_026151205.1	25548
9606	Obazoa-Holozoa-Metazoa	GCF_000001405.40	699387
7668	Obazoa-Holozoa-Metazoa-Echinodermata	GCF_000002235.5	53110
10224	Obazoa-Holozoa-Metazoa-Hemichordata	GCF_978046115.1	11027
7739	Obazoa-Holozoa-Metazoa-Chordata-Cephalochordata	GCF_000003815.2	57999
7719	Obazoa-Holozoa-Metazoa-Chordata-Tunicata	GCF_018327825.1	20947
34765	Obazoa-Holozoa-Metazoa-Chordata-Tunicata	GCF_907165135.1	19147
7757	Obazoa-Holozoa-Metazoa-Chordata-Cyclostomata	GCF_048934315.1	109964
7868	Obazoa-Holozoa-Metazoa-Chordata-Chondrichthyes	GCF_018977255.1	47184
7897	Obazoa-Holozoa-Metazoa-Chordata-Sarcopterygii	GCF_037176945.1	47206
6669	Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Arthropoda-Crustacea	GCF_021134715.1	50492
7460	Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Arthropoda-Insecta	GCF_003254395.2	40914
7091	Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Arthropoda-Insecta	GCF_030269925.1	51703
6945	Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Arthropoda-Chelicerata	GCF_016920785.2	46830
6279	Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Nematoda	GCF_000002995.4	14091
37621	Obazoa-Holozoa-Metazoa-Protostomia-Ecdysozoa-Priapulida	GCF_000485595.1	28334
6412	Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Annelida	GCA_000326865.1	23854
7574	Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Brachiopoda	GCF_001039355.2	76384
88925	Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Nemertea	GCF_910592395.1	51951
6183	Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Platyhelminthes	GCF_000237925.1	11837
225164	Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Mollusca-Gastropoda	GCF_000327385.1	24483
6526	Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Mollusca-Gastropoda	GCF_947242115.1	137535
400727	Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Mollusca-Gastropoda	GCF_003073045.1	71510
29159	Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Mollusca-Bivalvia	GCF_963853765.1	87883
37653	Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Mollusca-Cephalopoda	GCF_001194135.2	53093
5762	Discoba-Heterolobosea	GCF_000004985.1	15915
679716	Discoba-Euglenozoa	GCF_000210295.1	10155
347515	Discoba-Euglenozoa	GCF_000002725.2	10130
157538	Discoba-Euglenozoa	GCF_001293395.1	32753
556484	SAR-Stramenopila	GCF_000150955.2	10475
296543	SAR-Stramenopila	GCF_000149405.2	11757
403677	SAR-Stramenopila	GCF_000142945.1	16095
312017	SAR-Alveolata	GCF_000189635.1	24032
5888	SAR-Alveolata	GCF_000165425.1	40176
36329	SAR-Alveolata	GCF_000002765.6	5407
508771	SAR-Alveolata	GCA_000006565.2	16420
227086	SAR-Rhizaria	GCF_000002455.1	320
280699	Archaeplastida-Rhodophyta	GCF_000091205.1	4793
2769	Archaeplastida-Rhodophyta	GCF_000350225.1	10854
3055	Archaeplastida-Chlorophyta	GCF_000002595.2	23041
70448	Archaeplastida-Chlorophyta	GCF_000214015.3	7767
296587	Archaeplastida-Chlorophyta	GCF_000090985.2	8378
1480154	Archaeplastida-Bryophyta	GCA_039105155.1	155
3218	Archaeplastida-Bryophyta	GCF_000002425.5	127438
13333	Archaeplastida-Angiosperm	GCA_054954075.1	68281
39947	Archaeplastida-Angiosperm	GCF_034140825.1	82468
905079	Cryptista	GCF_000315625.1	25517
280463	Haptophyta-Haptista	GCF_000372725.1	45139
