candidate_accession	representative_accession
NP_001008373.1	NP_001008373.1
NP_001009881.1	NP_001009881.1
NP_001012968.3	NP_001012968.3
NP_001018181.1	NP_001018181.1
NP_001018436.1	NP_001018436.1
NP_001021433.1	NP_001021433.1
NP_001021434.1	NP_001021434.1
NP_001021844.1	NP_001021844.1
NP_001025359.1	NP_001025359.1
NP_001029073.1	NP_001029073.1
NP_001035374.2	NP_001035374.2
NP_001035375.2	NP_001035375.2
NP_001039826.1	NP_001039826.1
NP_001072915.1	NP_001072915.1
NP_001073791.1	NP_001073791.1
NP_001086580.1	NP_001086580.1
NP_001087078.1	NP_001087078.1
NP_001087892.1	NP_001087892.1
NP_001096913.1	NP_001096913.1
NP_001100803.2	NP_001100803.2
NP_001101423.1	NP_001101423.1
NP_001107865.1	NP_001107865.1
NP_001124898.1	NP_001124898.1
NP_001142471.1	NP_001142471.1
NP_001153629.1	NP_001153629.1
NP_001157969.1	NP_001157969.1
NP_001162602.2	NP_001162602.2
NP_001165276.2	NP_001165276.2
NP_001169620.1	NP_001169620.1
NP_001169645.1	NP_001169645.1
NP_001171988.1	NP_001171988.1
NP_001172003.1	NP_001172003.1
NP_001190015.1	NP_001190015.1
NP_001190016.1	NP_001190016.1
NP_001192681.1	NP_001192681.1
NP_001193859.1	NP_001193859.1
NP_001248228.1	NP_001248228.1
NP_001248668.1	NP_001248668.1
NP_001256593.1	NP_001256593.1
NP_001258876.2	NP_001258876.2
NP_001259129.1	NP_001259129.1
NP_001259340.1	NP_001259340.1
NP_001262829.1	NP_001262829.1
NP_001262941.1	NP_001262941.1
NP_001263887.1	NP_001263887.1
NP_001267295.1	NP_001267295.1
NP_001284673.1	NP_001284673.1
NP_001284674.1	NP_001284674.1
NP_001285143.1	NP_001285143.1
NP_001285144.1	NP_001285144.1
NP_001286981.1	NP_001286981.1
NP_001297032.1	NP_001297032.1
NP_001300477.1	NP_001300477.1
NP_001300478.1	NP_001300478.1
NP_001304011.2	NP_001304011.2
NP_001310843.1	NP_001310843.1
NP_001313625.1	NP_001313625.1
NP_001315985.1	NP_001315985.1
NP_001317647.1	NP_001317647.1
NP_001318386.1	NP_001318386.1
NP_001326897.1	NP_001326897.1
NP_001326898.1	NP_001326898.1
NP_001336477.1	NP_001336477.1
NP_001336478.1	NP_001336478.1
NP_001336480.1	NP_001336480.1
NP_001347937.1	NP_001347937.1
NP_001348465.1	NP_001348465.1
NP_001348466.1	NP_001348466.1
NP_001352252.1	NP_001352252.1
NP_001352253.1	NP_001352253.1
NP_001359262.1	NP_001359262.1
NP_001360891.1	NP_001360891.1
NP_001360893.1	NP_001360893.1
NP_001366592.1	NP_001366592.1
NP_001366593.1	NP_001366593.1
NP_001366594.1	NP_001366594.1
NP_001375027.1	NP_001375027.1
NP_001375028.1	NP_001375028.1
NP_001375030.1	NP_001375030.1
NP_001375042.1	NP_001375042.1
NP_001375059.1	NP_001375059.1
NP_001375060.1	NP_001375060.1
NP_001375061.1	NP_001375061.1
NP_001375063.1	NP_001375063.1
NP_001375065.1	NP_001375065.1
NP_001375066.1	NP_001375066.1
NP_001376385.2	NP_001376385.2
NP_001386242.1	NP_001386242.1
NP_001386243.1	NP_001386243.1
NP_001388155.1	NP_001388155.1
NP_001401932.1	NP_001401932.1
NP_001401933.1	NP_001401933.1
