qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
NP_585909.2	XP_047290433.1	0	N/A	31.889	323	88	2.17e-38	145	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
NP_585909.2	XP_011521580.1	0	N/A	31.889	323	88	4.59e-38	144	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
NP_585909.2	NP_001035375.2	0	N/A	33.803	284	77	1.88e-37	144	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
NP_585909.2	XP_011521578.1	0	N/A	33.803	284	77	1.89e-37	144	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
NP_585909.2	XP_047290431.1	0	N/A	33.803	284	77	1.96e-37	144	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
NP_585909.2	XP_047290432.1	0	N/A	33.803	284	77	2.35e-37	144	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
NP_585909.2	NP_001352252.1	0	N/A	33.803	284	77	2.64e-37	144	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
NP_585909.2	NP_001035374.2	0	N/A	33.803	284	77	3.00e-37	144	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
NP_585909.2	XP_011521577.1	0	N/A	33.803	284	77	3.02e-37	144	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
NP_585909.2	NP_001352253.1	0	N/A	33.803	284	77	3.47e-37	144	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
NP_585909.2	NP_001165276.2	0	N/A	30.634	284	77	1.87e-32	130	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
NP_585909.2	NP_008930.2	0	N/A	30.634	284	77	1.87e-32	130	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
NP_585909.2	XP_047272622.1	0	N/A	28.754	313	85	4.11e-32	128	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
NP_585909.2	XP_047272621.1	0	N/A	28.754	313	85	4.11e-32	128	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
NP_585909.2	XP_047272620.1	0	N/A	28.754	313	85	4.11e-32	128	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
NP_585909.2	XP_047272624.1	0	N/A	29.043	303	82	3.94e-31	125	terminal nucleotidyltransferase 4A isoform X3 [Homo sapiens]	TRUE	TENT4A
NP_585909.2	XP_047272623.1	0	N/A	29.043	303	82	4.43e-31	125	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
NP_585909.2	XP_016864477.1	0	N/A	29.043	303	82	4.43e-31	125	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
NP_585909.2	XP_005252265.1	0	N/A	23.397	312	75	9.70e-14	75.1	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
NP_585909.2	NP_001317647.1	0	N/A	25.333	225	61	1.19e-13	74.7	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
NP_585909.2	XP_016870620.1	0	N/A	23.397	312	75	1.23e-13	74.7	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
NP_585909.2	XP_016870619.1	0	N/A	23.397	312	75	1.23e-13	74.7	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
NP_585909.2	NP_078893.2	0	N/A	23.397	312	75	1.23e-13	74.7	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
NP_585909.2	NP_001171988.1	0	N/A	23.397	312	75	1.23e-13	74.7	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
NP_585909.2	XP_011517316.1	0	N/A	23.397	312	75	1.30e-13	74.7	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
NP_585909.2	XP_011517315.1	0	N/A	23.397	312	75	1.30e-13	74.7	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
