qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_064410755.1	NP_060579.3	0	N/A	59.398	532	99	0.0	658	poly(A) RNA polymerase, mitochondrial precursor [Homo sapiens]	TRUE	mtPAP
XP_064410755.1	NP_073741.3	0	N/A	32.510	243	43	4.73e-36	145	speckle targeted PIP5K1A-regulated poly(A) polymerase isoform 1 [Homo sapiens]	TRUE	Tut1
XP_064410755.1	XP_047272285.1	0	N/A	25.237	317	57	1.62e-22	104	terminal uridylyltransferase 4 isoform X7 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_005270735.1	0	N/A	25.237	317	57	1.80e-22	104	terminal uridylyltransferase 4 isoform X2 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_016856292.1	0	N/A	25.237	317	57	1.80e-22	104	terminal uridylyltransferase 4 isoform X9 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_047272280.1	0	N/A	25.237	317	57	1.86e-22	104	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_005270736.1	0	N/A	25.237	317	57	1.86e-22	104	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_011539399.1	0	N/A	25.237	317	57	1.97e-22	104	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_005270733.1	0	N/A	25.237	317	57	1.97e-22	104	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_011539401.1	0	N/A	25.237	317	57	2.00e-22	104	terminal uridylyltransferase 4 isoform X29 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_005270739.1	0	N/A	25.237	317	57	2.05e-22	104	terminal uridylyltransferase 4 isoform X33 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_047272345.1	0	N/A	25.237	317	57	2.11e-22	104	terminal uridylyltransferase 4 isoform X31 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_016856297.1	0	N/A	25.237	317	57	2.24e-22	104	terminal uridylyltransferase 4 isoform X36 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_047272282.1	0	N/A	25.237	317	57	2.32e-22	104	terminal uridylyltransferase 4 isoform X5 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	NP_056084.1	0	N/A	25.237	317	57	2.32e-22	104	terminal uridylyltransferase 4 isoform b [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_047272288.1	0	N/A	25.237	317	57	2.33e-22	104	terminal uridylyltransferase 4 isoform X10 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_047272283.1	0	N/A	25.237	317	57	2.47e-22	104	terminal uridylyltransferase 4 isoform X6 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_005270737.1	0	N/A	25.237	317	57	2.47e-22	104	terminal uridylyltransferase 4 isoform X6 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_047272281.1	0	N/A	25.237	317	57	2.47e-22	104	terminal uridylyltransferase 4 isoform X4 [Homo sapiens]	TRUE	Tut4
XP_064410755.1	NP_001009881.1	0	N/A	25.237	317	57	2.47e-22	104	terminal uridylyltransferase 4 isoform a [Homo sapiens]	TRUE	Tut4
XP_064410755.1	XP_016856295.1	0	N/A	25.237	317	57	2.48e-22	104	terminal uridylyltransferase 4 isoform X25 [Homo sapiens]	TRUE	Tut4
