qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_042930986.1	NP_001375060.1	0	N/A	32.065	368	41	3.83e-44	168	poly(A) RNA polymerase GLD2 isoform 11 [Homo sapiens]	TRUE	TENT2
XP_042930986.1	NP_001375042.1	0	N/A	32.065	368	41	4.97e-44	169	poly(A) RNA polymerase GLD2 isoform 16 [Homo sapiens]	TRUE	TENT2
XP_042930986.1	XP_047272808.1	0	N/A	32.065	368	41	5.16e-44	169	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_042930986.1	XP_047272807.1	0	N/A	32.065	368	41	5.16e-44	169	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_042930986.1	XP_047272806.1	0	N/A	32.065	368	41	5.16e-44	169	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_042930986.1	NP_776158.2	0	N/A	32.065	368	41	5.16e-44	169	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_042930986.1	NP_001375041.1	0	N/A	32.065	368	41	5.16e-44	169	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_042930986.1	NP_001375040.1	0	N/A	32.065	368	41	5.16e-44	169	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_042930986.1	NP_001375039.1	0	N/A	32.065	368	41	5.16e-44	169	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_042930986.1	NP_001375038.1	0	N/A	32.065	368	41	5.16e-44	169	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_042930986.1	NP_001375037.1	0	N/A	32.065	368	41	5.16e-44	169	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_042930986.1	NP_001375036.1	0	N/A	32.065	368	41	5.16e-44	169	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_042930986.1	NP_001375035.1	0	N/A	32.065	368	41	5.16e-44	169	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
