qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_035657908.1	NP_060579.3	0	N/A	48.000	500	80	1.35e-160	474	poly(A) RNA polymerase, mitochondrial precursor [Homo sapiens]	TRUE	mtPAP
XP_035657908.1	NP_073741.3	0	N/A	34.025	241	37	7.74e-35	143	speckle targeted PIP5K1A-regulated poly(A) polymerase isoform 1 [Homo sapiens]	TRUE	Tut1
XP_035657908.1	XP_005252265.1	0	N/A	28.819	288	45	8.01e-23	106	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	XP_047279823.1	0	N/A	28.819	288	45	8.96e-23	106	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	XP_006717346.1	0	N/A	28.819	288	45	8.96e-23	106	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	XP_011517316.1	0	N/A	28.819	288	45	9.06e-23	106	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	XP_011517315.1	0	N/A	28.819	288	45	9.06e-23	106	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	XP_011517314.1	0	N/A	28.819	288	45	9.06e-23	106	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	XP_011517313.1	0	N/A	28.819	288	45	9.06e-23	106	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	XP_011517317.1	0	N/A	28.819	288	45	9.11e-23	106	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	XP_016870620.1	0	N/A	28.819	288	45	9.67e-23	106	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	XP_016870619.1	0	N/A	28.819	288	45	9.67e-23	106	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	NP_078893.2	0	N/A	28.819	288	45	9.67e-23	106	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	NP_001171988.1	0	N/A	28.819	288	45	9.67e-23	106	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	XP_047279825.1	0	N/A	28.819	288	45	9.80e-23	106	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	XP_047279824.1	0	N/A	28.819	288	45	9.80e-23	106	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	XP_005252264.1	0	N/A	28.819	288	45	9.80e-23	106	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	XP_011517318.1	0	N/A	28.819	288	45	1.00e-22	106	terminal uridylyltransferase 7 isoform X5 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	NP_001317647.1	0	N/A	28.819	288	45	1.19e-22	105	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_035657908.1	XP_005270739.1	0	N/A	26.545	275	42	1.30e-18	93.2	terminal uridylyltransferase 4 isoform X33 [Homo sapiens]	TRUE	Tut4
XP_035657908.1	XP_047272345.1	0	N/A	26.545	275	42	1.32e-18	93.2	terminal uridylyltransferase 4 isoform X31 [Homo sapiens]	TRUE	Tut4
XP_035657908.1	XP_011539401.1	0	N/A	26.545	275	42	1.34e-18	93.2	terminal uridylyltransferase 4 isoform X29 [Homo sapiens]	TRUE	Tut4
XP_035657908.1	XP_016856296.1	0	N/A	26.545	275	42	1.37e-18	93.2	terminal uridylyltransferase 4 isoform X28 [Homo sapiens]	TRUE	Tut4
XP_035657908.1	XP_047272337.1	0	N/A	26.545	275	42	1.41e-18	93.2	terminal uridylyltransferase 4 isoform X27 [Homo sapiens]	TRUE	Tut4
XP_035657908.1	XP_047272344.1	0	N/A	26.545	275	42	1.41e-18	93.2	terminal uridylyltransferase 4 isoform X30 [Homo sapiens]	TRUE	Tut4
XP_035657908.1	XP_047272295.1	0	N/A	26.545	275	42	1.42e-18	93.2	terminal uridylyltransferase 4 isoform X12 [Homo sapiens]	TRUE	Tut4
XP_035657908.1	XP_047272288.1	0	N/A	26.545	275	42	1.44e-18	93.2	terminal uridylyltransferase 4 isoform X10 [Homo sapiens]	TRUE	Tut4
XP_035657908.1	XP_047272325.1	0	N/A	26.545	275	42	1.45e-18	93.2	terminal uridylyltransferase 4 isoform X23 [Homo sapiens]	TRUE	Tut4
XP_035657908.1	XP_047272296.1	0	N/A	26.545	275	42	1.47e-18	93.2	terminal uridylyltransferase 4 isoform X13 [Homo sapiens]	TRUE	Tut4
XP_035657908.1	XP_047272305.1	0	N/A	26.545	275	42	1.48e-18	93.2	terminal uridylyltransferase 4 isoform X17 [Homo sapiens]	TRUE	Tut4
XP_035657908.1	XP_016856292.1	0	N/A	26.545	275	42	1.48e-18	93.2	terminal uridylyltransferase 4 isoform X9 [Homo sapiens]	TRUE	Tut4
XP_035657908.1	XP_016856295.1	0	N/A	26.545	275	42	1.48e-18	93.2	terminal uridylyltransferase 4 isoform X25 [Homo sapiens]	TRUE	Tut4
XP_035657908.1	XP_011539399.1	0	N/A	26.545	275	42	1.49e-18	93.2	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
