qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_006680218.1	NP_001375065.1	0	N/A	37.267	161	14	3.43e-22	102	poly(A) RNA polymerase GLD2 isoform 14 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375061.1	0	N/A	37.267	161	14	7.59e-22	102	poly(A) RNA polymerase GLD2 isoform 12 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	XP_047272811.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	XP_047272810.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	XP_047272809.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375058.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375057.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375056.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375055.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375054.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375053.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375052.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375051.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375050.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375049.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375048.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375047.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375046.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375045.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375044.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375043.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001336483.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001284673.1	0	N/A	37.267	161	14	7.92e-22	102	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375059.1	0	N/A	37.267	161	14	9.23e-22	102	poly(A) RNA polymerase GLD2 isoform 10 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375030.1	0	N/A	37.267	161	14	1.16e-21	102	poly(A) RNA polymerase GLD2 isoform 9 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375060.1	0	N/A	36.585	164	14	3.39e-21	100	poly(A) RNA polymerase GLD2 isoform 11 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	XP_047272808.1	0	N/A	36.585	164	14	3.98e-21	100	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	XP_047272807.1	0	N/A	36.585	164	14	3.98e-21	100	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	XP_047272806.1	0	N/A	36.585	164	14	3.98e-21	100	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_776158.2	0	N/A	36.585	164	14	3.98e-21	100	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375041.1	0	N/A	36.585	164	14	3.98e-21	100	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375040.1	0	N/A	36.585	164	14	3.98e-21	100	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375039.1	0	N/A	36.585	164	14	3.98e-21	100	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375038.1	0	N/A	36.585	164	14	3.98e-21	100	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375037.1	0	N/A	36.585	164	14	3.98e-21	100	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375036.1	0	N/A	36.585	164	14	3.98e-21	100	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375035.1	0	N/A	36.585	164	14	3.98e-21	100	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375034.1	0	N/A	36.585	164	14	3.98e-21	100	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375032.1	0	N/A	36.585	164	14	3.98e-21	100	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_006680218.1	NP_001375031.1	0	N/A	36.585	164	14	3.98e-21	100	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
