qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_025171211.1	NP_001317647.1	0	N/A	34.713	314	27	2.21e-46	182	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_047279823.1	0	N/A	34.713	314	27	2.05e-45	181	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_006717346.1	0	N/A	34.713	314	27	2.05e-45	181	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_011517318.1	0	N/A	34.713	314	27	2.21e-45	181	terminal uridylyltransferase 7 isoform X5 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_016870620.1	0	N/A	34.713	314	27	2.42e-45	181	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_016870619.1	0	N/A	34.713	314	27	2.42e-45	181	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	NP_078893.2	0	N/A	34.713	314	27	2.42e-45	181	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	NP_001171988.1	0	N/A	34.713	314	27	2.42e-45	181	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_047279825.1	0	N/A	34.713	314	27	2.45e-45	181	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_047279824.1	0	N/A	34.713	314	27	2.45e-45	181	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_005252264.1	0	N/A	34.713	314	27	2.45e-45	181	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_011517317.1	0	N/A	34.713	314	27	2.64e-45	181	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_005252265.1	0	N/A	34.713	314	27	2.81e-45	181	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_011517316.1	0	N/A	34.713	314	27	2.96e-45	181	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_011517315.1	0	N/A	34.713	314	27	2.96e-45	181	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_011517314.1	0	N/A	34.713	314	27	2.96e-45	181	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_011517313.1	0	N/A	34.713	314	27	2.96e-45	181	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_025171211.1	XP_047272384.1	0	N/A	34.783	299	26	9.19e-42	168	terminal uridylyltransferase 4 isoform X46 [Homo sapiens]	TRUE	Tut4
XP_025171211.1	XP_016856292.1	0	N/A	34.783	299	26	1.87e-41	169	terminal uridylyltransferase 4 isoform X9 [Homo sapiens]	TRUE	Tut4
XP_025171211.1	XP_016856297.1	0	N/A	34.783	299	26	2.03e-41	169	terminal uridylyltransferase 4 isoform X36 [Homo sapiens]	TRUE	Tut4
XP_025171211.1	XP_047272285.1	0	N/A	34.783	299	26	2.09e-41	169	terminal uridylyltransferase 4 isoform X7 [Homo sapiens]	TRUE	Tut4
XP_025171211.1	XP_005270739.1	0	N/A	34.783	299	26	2.22e-41	168	terminal uridylyltransferase 4 isoform X33 [Homo sapiens]	TRUE	Tut4
XP_025171211.1	XP_016856299.1	0	N/A	34.783	299	26	2.32e-41	168	terminal uridylyltransferase 4 isoform X40 [Homo sapiens]	TRUE	Tut4
