qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_002508084.1	XP_047290433.1	0	N/A	31.438	299	27	7.28e-30	127	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
XP_002508084.1	XP_011521580.1	0	N/A	31.438	299	27	9.25e-30	127	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
XP_002508084.1	NP_001035374.2	0	N/A	31.544	298	27	4.98e-29	127	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
XP_002508084.1	XP_011521577.1	0	N/A	31.544	298	27	5.00e-29	127	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
XP_002508084.1	NP_001352253.1	0	N/A	31.544	298	27	5.51e-29	127	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
XP_002508084.1	NP_001035375.2	0	N/A	31.544	298	27	5.96e-29	126	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
XP_002508084.1	XP_011521578.1	0	N/A	31.544	298	27	5.99e-29	126	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
XP_002508084.1	XP_047290431.1	0	N/A	31.544	298	27	6.36e-29	126	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
XP_002508084.1	NP_001352252.1	0	N/A	31.544	298	27	8.39e-29	126	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
XP_002508084.1	XP_047290432.1	0	N/A	31.544	298	27	8.69e-29	125	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
XP_002508084.1	NP_008930.2	0	N/A	29.530	298	27	2.99e-28	125	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
XP_002508084.1	NP_001165276.2	0	N/A	29.530	298	27	3.14e-28	125	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
XP_002508084.1	XP_047272622.1	0	N/A	30.292	274	25	7.92e-27	119	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_002508084.1	XP_047272621.1	0	N/A	30.292	274	25	7.92e-27	119	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_002508084.1	XP_047272620.1	0	N/A	30.292	274	25	7.92e-27	119	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
XP_002508084.1	XP_047272623.1	0	N/A	30.292	274	25	9.16e-27	118	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_002508084.1	XP_016864477.1	0	N/A	30.292	274	25	9.16e-27	118	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
XP_002508084.1	XP_047272624.1	0	N/A	30.292	274	25	9.94e-27	118	terminal nucleotidyltransferase 4A isoform X3 [Homo sapiens]	TRUE	TENT4A
XP_002508084.1	NP_001375060.1	0	N/A	27.500	280	22	2.78e-16	85.5	poly(A) RNA polymerase GLD2 isoform 11 [Homo sapiens]	TRUE	TENT2
XP_002508084.1	NP_001375042.1	0	N/A	27.500	280	22	4.89e-16	84.7	poly(A) RNA polymerase GLD2 isoform 16 [Homo sapiens]	TRUE	TENT2
