qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_032814652.2	NP_060579.3	0	N/A	52.446	511	82	0.0	532	poly(A) RNA polymerase, mitochondrial precursor [Homo sapiens]	TRUE	mtPAP
XP_032814652.2	NP_073741.3	0	N/A	31.086	267	40	7.79e-33	137	speckle targeted PIP5K1A-regulated poly(A) polymerase isoform 1 [Homo sapiens]	TRUE	Tut1
XP_032814652.2	NP_001317647.1	0	N/A	27.174	276	43	1.18e-22	105	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_047279823.1	0	N/A	27.174	276	43	1.38e-22	105	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_006717346.1	0	N/A	27.174	276	43	1.38e-22	105	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_005252265.1	0	N/A	27.174	276	43	1.39e-22	105	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_047279825.1	0	N/A	27.174	276	43	1.52e-22	105	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_047279824.1	0	N/A	27.174	276	43	1.52e-22	105	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_005252264.1	0	N/A	27.174	276	43	1.52e-22	105	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_011517316.1	0	N/A	27.174	276	43	1.53e-22	105	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_011517315.1	0	N/A	27.174	276	43	1.53e-22	105	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_011517314.1	0	N/A	27.174	276	43	1.53e-22	105	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_011517313.1	0	N/A	27.174	276	43	1.53e-22	105	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_016870620.1	0	N/A	27.174	276	43	1.55e-22	105	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_016870619.1	0	N/A	27.174	276	43	1.55e-22	105	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	NP_078893.2	0	N/A	27.174	276	43	1.55e-22	105	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	NP_001171988.1	0	N/A	27.174	276	43	1.55e-22	105	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_011517318.1	0	N/A	27.174	276	43	1.72e-22	105	terminal uridylyltransferase 7 isoform X5 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_011517317.1	0	N/A	27.174	276	43	1.77e-22	105	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
XP_032814652.2	XP_047272286.1	0	N/A	25.362	276	43	1.00e-19	96.7	terminal uridylyltransferase 4 isoform X8 [Homo sapiens]	TRUE	Tut4
XP_032814652.2	XP_047272290.1	0	N/A	25.362	276	43	1.09e-19	96.7	terminal uridylyltransferase 4 isoform X11 [Homo sapiens]	TRUE	Tut4
XP_032814652.2	XP_047272372.1	0	N/A	25.362	276	43	1.13e-19	96.7	terminal uridylyltransferase 4 isoform X42 [Homo sapiens]	TRUE	Tut4
