qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_063676426.1	NP_073741.3	0	N/A	27.350	234	39	7.15e-14	77.4	speckle targeted PIP5K1A-regulated poly(A) polymerase isoform 1 [Homo sapiens]	TRUE	Tut1
XP_063676426.1	NP_001375061.1	0	N/A	27.869	244	39	1.84e-12	72.0	poly(A) RNA polymerase GLD2 isoform 12 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	XP_047272811.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	XP_047272810.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	XP_047272809.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375058.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375057.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375056.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375055.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375054.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375053.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375052.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375051.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375050.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375049.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375048.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375047.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375046.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375045.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375044.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375043.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001336483.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001284673.1	0	N/A	27.869	244	39	1.88e-12	72.4	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375065.1	0	N/A	27.869	244	39	1.91e-12	71.6	poly(A) RNA polymerase GLD2 isoform 14 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375059.1	0	N/A	27.869	244	39	2.25e-12	72.0	poly(A) RNA polymerase GLD2 isoform 10 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375060.1	0	N/A	27.419	248	39	6.38e-12	70.5	poly(A) RNA polymerase GLD2 isoform 11 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375042.1	0	N/A	27.419	248	39	7.22e-12	70.5	poly(A) RNA polymerase GLD2 isoform 16 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	XP_047272808.1	0	N/A	27.419	248	39	7.24e-12	70.5	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	XP_047272807.1	0	N/A	27.419	248	39	7.24e-12	70.5	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	XP_047272806.1	0	N/A	27.419	248	39	7.24e-12	70.5	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_776158.2	0	N/A	27.419	248	39	7.24e-12	70.5	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375041.1	0	N/A	27.419	248	39	7.24e-12	70.5	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375040.1	0	N/A	27.419	248	39	7.24e-12	70.5	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375039.1	0	N/A	27.419	248	39	7.24e-12	70.5	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375038.1	0	N/A	27.419	248	39	7.24e-12	70.5	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375037.1	0	N/A	27.419	248	39	7.24e-12	70.5	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
XP_063676426.1	NP_001375036.1	0	N/A	27.419	248	39	7.24e-12	70.5	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
