qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
XP_011386925.1	XP_047272288.1	0	N/A	25.478	314	33	9.84e-15	82.0	terminal uridylyltransferase 4 isoform X10 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_016856293.1	0	N/A	25.478	314	33	1.03e-14	82.0	terminal uridylyltransferase 4 isoform X16 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_047272283.1	0	N/A	25.478	314	33	1.03e-14	82.0	terminal uridylyltransferase 4 isoform X6 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_005270737.1	0	N/A	25.478	314	33	1.03e-14	82.0	terminal uridylyltransferase 4 isoform X6 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_016856292.1	0	N/A	25.478	314	33	1.15e-14	81.6	terminal uridylyltransferase 4 isoform X9 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_047272282.1	0	N/A	25.478	314	33	1.17e-14	81.6	terminal uridylyltransferase 4 isoform X5 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	NP_056084.1	0	N/A	25.478	314	33	1.17e-14	81.6	terminal uridylyltransferase 4 isoform b [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_047272281.1	0	N/A	25.478	314	33	1.18e-14	81.6	terminal uridylyltransferase 4 isoform X4 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	NP_001009881.1	0	N/A	25.478	314	33	1.18e-14	81.6	terminal uridylyltransferase 4 isoform a [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_047272285.1	0	N/A	25.478	314	33	1.19e-14	81.6	terminal uridylyltransferase 4 isoform X7 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_047272365.1	0	N/A	25.478	314	33	1.32e-14	81.6	terminal uridylyltransferase 4 isoform X38 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_016856299.1	0	N/A	25.478	314	33	1.33e-14	81.6	terminal uridylyltransferase 4 isoform X40 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_005270735.1	0	N/A	25.478	314	33	1.42e-14	81.3	terminal uridylyltransferase 4 isoform X2 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_011539399.1	0	N/A	25.478	314	33	1.44e-14	81.3	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_005270733.1	0	N/A	25.478	314	33	1.44e-14	81.3	terminal uridylyltransferase 4 isoform X1 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_016856297.1	0	N/A	25.478	314	33	1.45e-14	81.3	terminal uridylyltransferase 4 isoform X36 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_047272280.1	0	N/A	25.478	314	33	1.45e-14	81.3	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_005270736.1	0	N/A	25.478	314	33	1.45e-14	81.3	terminal uridylyltransferase 4 isoform X3 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_047272345.1	0	N/A	25.478	314	33	1.65e-14	81.3	terminal uridylyltransferase 4 isoform X31 [Homo sapiens]	TRUE	Tut4
XP_011386925.1	XP_005270739.1	0	N/A	25.478	314	33	1.67e-14	81.3	terminal uridylyltransferase 4 isoform X33 [Homo sapiens]	TRUE	Tut4
